dataset	contrast	contrast_type	case_group	control_group	submodule	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	target_route	therapeutic_multiplier	submodule_class	fdr
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	tam_receptor_ligand	-0.2696697069026681			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	fpr2_anxa1_axis	-0.8643277286106967			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	lxr_efflux	-0.13674246908549142			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	trem2_lipid_sensing	-1.3475312197659188			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	scavenger_receptors	-0.7282358049273624			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	complement_efferocytosis	-1.630666912780099			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	repair_cytokine_matrix	-0.7679839805497854			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	mhcII_ciita	0.8949282966051135			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	cathepsin_lysosome	-0.9998549391737557			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	foam_dam_lipid	-1.1686817351672647			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ifn_core	0.5834826374536392			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
