dataset	contrast	contrast_type	case_group	control_group	statistical_status	note	target_route	therapeutic_multiplier	therapeutic_target	plausible_autoimmune_route	route	best_resolution_submodule	best_resolution_submodule_delta	best_lipid_apc_reduced_submodule	best_lipid_apc_submodule_delta	ifn_core_delta	stress_core_delta	fibrosis_core_delta	n_resolution_genes_up_ge_0_5	top_resolution_genes_up	n_lipid_apc_genes_down_le_minus_0_5	top_lipid_apc_genes_down	wave35_resolution_efferocytosis_directed	wave35_lipid_lysosomal_apc_directed	wave35_generic_ifn_directed	wave35_stress_cytotoxicity_directed	submodule_gate	gene_rescue_shape
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	welch_t	human iPSC macrophage LIPA loss	LIPA_augmentation	-1.0	LIPA	True	LIPA/LAL augmentation by enzyme, gene, or macrophage-directed expression rescue	scavenger_receptors	0.6151310593657598	mhcII_ciita	0.4115723016499092	0.2548708925993237	-0.5648025947896795	-0.769763883499363	10	LPL;PROS1;CD36;CD163;LYVE1;ABCA1;MRC1;ABCG1	1	APOE	0.0433155189199787	0.5739519763629953	0.2548708925993236	-0.5648025947896795	False	False
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0		False		repair_cytokine_matrix	0.13047151226006426	foam_dam_lipid	-0.9966605903516088	-1.4165342200682045	-0.479720710373813	-1.2803667205284852	2	IL10;TGFB1	10	TYROBP;CTSS;APOE;H2-DMA;LPL;LIPA;PLIN2;CTSD	-0.7985489669474586	-0.3561799472283261	-1.4165342200682045	-0.479720710373813	False	False
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0		False		repair_cytokine_matrix	0.8115175363080225	cathepsin_lysosome	0.3891759856880558	0.04763688057149551	1.0803931906991666	-1.6923658440364884	9	IL10;AXL;ANXA1;NR1H3;ABCG1;MRC1;LPL;CD36	5	CIITA;H2-DMA;APOE;LIPA;TYROBP	0.1832422153264774	0.6735061556821131	0.0476368805714955	1.0803931906991666	False	False
GSE156234_Mertk_scRNA_pseudobulk	Mertk_dependency_2h_interaction	interaction	WT_2h_AC_vs_WT_Ctrl	MertkKO_2h_AC_vs_MertkKO_Ctrl	descriptive_interaction_from_gene_or_submodule_deltas	MERTK-dependent component of 2h efferocytosis response; descriptive	MERTK_TAM_activation	1.0	MERTK/TAM	True	MERTK/TAM pro-efferocytic activation or agonist biologic	tam_receptor_ligand	0.42407223908668246	cathepsin_lysosome	-0.2241846695663584	2.0000168575218438	0.40223681486753493	1.274927199603536	9	CD163;ABCG1;MERTK;TREM2;MARCO;PROS1;GAS6;TYROBP	7	SPP1;H2-EB1;LAMP1;LAMP2;H2-AA;H2-AB1;GPNMB	0.0233879509038438	0.0299109656864703	2.000016857521844	0.402236814867535	False	False
GSE156234_Mertk_scRNA_pseudobulk	Mertk_dependency_6h_interaction	interaction	WT_6h_AC_vs_WT_Ctrl	MertkKO_6h_AC_vs_MertkKO_Ctrl	descriptive_interaction_from_gene_or_submodule_deltas	MERTK-dependent component of 6h efferocytosis response; descriptive	MERTK_TAM_activation	1.0	MERTK/TAM	True	MERTK/TAM pro-efferocytic activation or agonist biologic	tam_receptor_ligand	-0.44855858940629345	cathepsin_lysosome	-1.2171042608834255	-0.729372247138496	-1.5859003011397301	1.0883159090449475	2	TYRO3;TGFB1	15	H2-AB1;SPP1;LAMP2;CTSS;CTSL;H2-DMB1;H2-AA;H2-EB1	-0.883723145672304	-0.9098198410936518	-0.7293722471384959	-1.58590030113973	False	False
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0		False		lxr_efflux	-0.13674246908549142	foam_dam_lipid	-1.1686817351672647	0.5834826374536392	-0.07748389550627804	-0.005439520924949065	2	ABCG1;NR1H2	12	TYROBP;LAMP1;CTSS;SPP1;APOE;LPL;LAMP2;CTSL	-0.7751610160436148	-0.3262689815418557	0.5834826374536392	-0.077483895506278	False	True
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0		False		repair_cytokine_matrix	0.2650767505689101	cathepsin_lysosome	-0.8279282751953696	-0.6817353665670005	-0.5055071104405635	-0.6040499349915408	8	TYRO3;TGFB1;ABCG1;AXL;GAS6;LPL;ANXA1;NR1H3	8	CTSS;APOE;TYROBP;LIPA;LAMP2;LAMP1;CIITA;H2-DMA	-0.7004809303458266	-0.2363136854115386	-0.6817353665670004	-0.5055071104405635	True	True
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	welch_t	human macrophage apoptotic-cell exposure		1.0		False		lxr_efflux	0.6106082275692333	mhcII_ciita	-0.2973602100497865	-0.08091406230559475	0.2021288665951133	0.2823980563086089	6	NR1H3;ABCG1;LPL;ABCA1;CD36;TGFB1	4	LAMP2;CIITA;HLA-DRA;CTSS	0.0245077088081445	0.0130683312214816	-0.0809140623055947	0.2021288665951133	True	True
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	welch_t	mouse peritoneal macrophage Lipa overexpression	LIPA_augmentation	1.0	LIPA	True	LIPA/LAL augmentation by enzyme, gene, or macrophage-directed expression rescue	lxr_efflux	0.8434374042504038	foam_dam_lipid	-0.6886154074913932	1.3633957507809225	-0.6190896791394225	-0.07373794432268217	13	MARCO;FPR2;IL10;C1QB;AXL;ABCG1;TYRO3;MERTK	7	PLIN2;APOE;SPP1;CTSL;TYROBP;CTSD;CTSB	0.1060508738894187	0.477750460932677	1.3633957507809225	-0.6190896791394225	True	True
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	welch_t	mouse efferocytosis time course		1.0		False		lxr_efflux	1.402454865039578	cathepsin_lysosome	0.4477618950861708	-2.006017173572605	0.2102421654334575	0.4241981249051062	16	TREM2;TYRO3;NR1H2;NR1H3;ANXA1;C1QA;CD36;MARCO	4	CIITA;GPNMB;LIPA;APOE	0.5634090231236193	0.5428144617036591	-2.006017173572605	0.2102421654334575	False	False
