dataset	feature_type	feature	present	n_present	n_requested	present_genes	missing_genes	submodule_class
GSE156234_Mertk_scRNA_pseudobulk	gene	ABCA1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	ABCG1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	ACTA2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	ANXA1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	APOE	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	ATF4	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	AXL	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	BAX	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	C1QA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	C1QB	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	C1QC	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CASP3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CD163	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CD36	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CD74	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CIITA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	COL1A1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	COL1A2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	COL3A1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CTGF	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	CTSB	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CTSD	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CTSL	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CTSS	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	CXCL10	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	DDIT3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	DNAJB1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	F13A1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	FN1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	FOS	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	FPR2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	GAS6	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	GBP1	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	GPNMB	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	H2-AA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	H2-AB1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	H2-DMA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	H2-DMB1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	H2-EB1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DMA	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DMB	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DPA1	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DPB1	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DRA	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HLA-DRB1	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	HSP90AA1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	HSPA1A	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	HSPA1B	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFI30	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFI44	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFI44L	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFIT1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFIT2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFIT3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IFITM3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IL10	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IRF1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	IRF7	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	ISG15	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	JUN	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	LAMP1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	LAMP2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	LIPA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	LPL	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	LYVE1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	MARCO	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	MERTK	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	MRC1	True					
