pert_id	cmap_name	target	moa	n_opposite_queries	opposite_queries	best_opposite_rank	min_opposite_qval	max_opposite_abs_score	n_opposite_signatures	n_similar_queries	similar_queries	target_antigen_presentation_best_rank	target_antigen_presentation_min_qval	target_antigen_presentation_max_reversal_strength	generic_ifn_jak_best_rank	generic_ifn_jak_min_qval	generic_ifn_jak_max_reversal_strength	l1000_target_minus_generic_reversal_strength	l1000_selectivity_call	wave24_call	wave24_blocker	recurrence_strength	contradicted_by_similar_hit	promotion_gate
BRD-K41859756	NVP-AUY922	HSP90AA1	HSP inhibitor	3	gse111972_ms_wm_full_top150;ifn_lysosomal_apc_state;mif_cd74_receptor_state	20	8.83733908701768e-06	11.983223112892274	3			15.0	4.02605924679944e-07	14.607758850456218			0.0	14.607758850456218	target_opposite_hit_absent_from_generic_top50	NO_GO	oncology/cell-cycle/stress target HSP90AA1	7.878573645422091	False	NO_GO
BRD-K69023402	thapsigargin	ATP2A1	ATPase inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	2	3.33468284702094e-07	17.082030143641155	2			25.0	9.49690051214448e-06	12.782452707189144			0.0	12.782452707189144	target_opposite_hit_absent_from_generic_top50	NO_GO	high-risk cytotoxic/steroid/stress compound	6.21253948390488	False	NO_GO
BRD-A39996500	radicicol			2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	5	3.08543314439944e-07	16.313147964173787	2	1.0	mif_cd74_receptor_state	1.0	2.9024127052720002e-11	25.436513674297142			0.0	25.436513674297142	target_opposite_hit_absent_from_generic_top50	NO_GO	high-risk cytotoxic/steroid/stress compound	6.162537775359829	True	NO_GO
BRD-K61323504	SB-225002	CXCR2	CCK receptor antagonist	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	7	4.7161861024928e-06	14.11547676636583	2			28.0	8.22156671099179e-06	12.830082394918492			0.0	12.830082394918492	target_opposite_hit_absent_from_generic_top50	NO_GO_PRIOR	generic/prior-art inflammatory target CXCR2	6.07969555152332	False	NO_GO
BRD-K64890080	BI-2536	PLK1	PLK inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	8	4.88465195996193e-06	12.76715642196588	4	1.0	gse111972_ms_wm_full_top150	2.0	5.93137893210366e-10	20.839945176805728			0.0	20.839945176805728	target_opposite_hit_absent_from_generic_top50	NO_GO	oncology/cell-cycle/stress target PLK1	6.026094179349034	True	NO_GO
BRD-K82109576	vincristine	TUBB	Tubulin inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	11	4.70712929556801e-06	14.387397878432148	2			7.0	1.6383192693224e-08	19.51984664751406			0.0	19.51984664751406	target_opposite_hit_absent_from_generic_top50	NO_GO	high-risk cytotoxic/steroid/stress compound	6.047982254032058	False	NO_GO
BRD-K30296925	flavokavain-b	IKBKB	Anti-cancer agent	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	12	4.71443193564889e-06	14.66526833992302	2					0.0	8.0	2.15740486115298e-06	14.079995561909795	-14.079995561909795	generic_ifn_reversal_at_least_as_strong	NO_GO	oncology/cell-cycle/stress target IKBKB	6.046290013956983	False	NO_GO
BRD-K61829047	7b-cis	XPO1	Exportin antagonist	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	15	8.83733908701768e-06	13.736165540626429	2											NO_GO	oncology/cell-cycle/stress target XPO1	5.9878655160599195	False	NO_GO
BRD-K30707190	PNU-74654	CTNNB1	Beta-catenin inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	16	8.83733908701768e-06	13.162351638455757	2			10.0	1.75367878889045e-08	19.32263013487157			0.0	19.32263013487157	target_opposite_hit_absent_from_generic_top50	NO_GO	oncology/cell-cycle/stress target CTNNB1	5.959333489001663	False	NO_GO
BRD-K30351863	BRD-K30351863	APEX1	APEX inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	22	9.03442048884882e-06	12.737656901802026	2											NO_GO	oncology/cell-cycle/stress target APEX1	5.885089546664504	False	NO_GO
BRD-A72596465	GW-6471	PPARA	PPAR receptor antagonist	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	26	8.83733908701768e-06	11.843640608571592	2											NO_GO_PRIOR	generic/prior-art inflammatory target PPARA	5.813485220392177	False	NO_GO
BRD-A01643550	prednisolone-acetate	NR3C1	Glucocorticoid receptor agonist	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	34	8.83733908701768e-06	13.28766883741419	2			34.0	8.53026975405682e-06	13.01085262890902			0.0	13.01085262890902	target_opposite_hit_absent_from_generic_top50	NO_GO	high-risk cytotoxic/steroid/stress compound	5.7834487958524425	False	NO_GO
BRD-A56020723	CA-074-Me	CTSB	Cathepsin inhibitor	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	41	8.83733908701768e-06	13.944452359401405	2			13.0	4.02605924679944e-07	16.993630126263277			0.0	16.993630126263277	target_opposite_hit_absent_from_generic_top50	NO_GO_PRIOR	generic/prior-art inflammatory target CTSB	5.734401462886022	False	NO_GO
BRD-K36529613	PU-H71	HSP90AA1	HSP inhibitor	2	gse111972_ms_wm_full_top150;mif_cd74_receptor_state	47	0.0002426697405796	9.220179856098763	2											NO_GO	oncology/cell-cycle/stress target HSP90AA1	5.494739392826881	False	NO_GO
BRD-K88378636	withaferin-a	NAMPT	IKK inhibitor	1	gse111972_ms_wm_full_top150	2	0.596745389998244	6.217142808229098	1											NO_GO	high-risk cytotoxic/steroid/stress compound	3.7735908432590275	False	NO_GO
BRD-K36198571	WAY-170523	MMP13	Metalloproteinase inhibitor	1	mif_cd74_receptor_state	3	3.27392831556839e-07	16.9113711542581	1			36.0	9.0050056086294e-06	12.677513445035997	9.0	2.36730754054808e-06	12.862640056737613	-0.1851266117016177	generic_ifn_reversal_at_least_as_strong	PARK_REVIEW	non-obvious target requires prior-art and safety review	4.198178821115594	False	NO_GO
BRD-A79803969	memantine	GRIN1	Glutamate receptor antagonist	1	gse111972_ms_wm_full_top150	3	0.566910809286373	7.187086554972128	1											PARK_REVIEW	non-obvious target requires prior-art and safety review	3.826552875150392	False	NO_GO
BRD-K81473043	tanespimycin	HSP90AA1	HSP inhibitor	1	mif_cd74_receptor_state	4	3.08543314439944e-07	17.240524709404088	1			8.0	1.6383192693224e-08	19.454917654309323			0.0	19.454917654309323	target_opposite_hit_absent_from_generic_top50	NO_GO	high-risk cytotoxic/steroid/stress compound	4.19655047929212	False	NO_GO
BRD-K34092021	arvanil	CNR1	TRPV agonist	1	ifn_lysosomal_apc_state	4	4.70712929556801e-06	15.376579635335606	1					0.0	4.0	2.15740486115298e-06	16.286749608568396	-16.286749608568396	generic_ifn_reversal_at_least_as_strong	PARK_REVIEW	non-obvious target requires prior-art and safety review	4.146859741791891	False	NO_GO
BRD-K11742128	triprolidine	HRH1	Histamine receptor antagonist	1	gse111972_ms_wm_full_top150	4	0.805603902146875	5.276130949829359	1											PARK_REVIEW	non-obvious target requires prior-art and safety review	3.6823155658892146	False	NO_GO
BRD-K89329876	BRD-K89329876	KIF11	Kinesin inhibitor	1	gse111972_ms_wm_full_top150	5	0.74950198399974	5.727363806201572	1											NO_GO	oncology/cell-cycle/stress target KIF11	3.7079547706823206	False	NO_GO
BRD-K06426971	ryuvidine	CDK4	Histone lysine methyltransferase inhibitor	1	gse111972_ms_wm_full_top150	6	0.768581834015827	5.252295932848271	1											NO_GO	oncology/cell-cycle/stress target CDK4	3.6603491877872547	False	NO_GO
BRD-K64642496	KO-143	ABCG2	Breast cancer resistance protein inhibitor	1	ifn_lysosomal_apc_state	9	4.70712929556801e-06	14.82274321283012	1											PARK_REVIEW	non-obvious target requires prior-art and safety review	4.080928585016225	False	NO_GO
BRD-K20168484	BRD-K20168484	ALOX5AP	Lipoxygenase inhibitor	1	mif_cd74_receptor_state	9	8.83733908701768e-06	13.094051648830566	1											NO_GO_PRIOR	generic/prior-art inflammatory target ALOX5AP	4.027074049642177	False	NO_GO
BRD-A06352508	SB-218078	CHEK1	CHK inhibitor	1	gse111972_ms_wm_full_top150	9	0.869167133307089	4.890005052864237	1											NO_GO	oncology/cell-cycle/stress target CHEK1	3.5993093078822955	False	NO_GO
