gene	route	class	broad_tested_compartment_count	broad_positive_disease_count	broad_negative_disease_count	broad_positive_fdr10_compartment_count	broad_negative_fdr10_compartment_count	broad_positive_diseases	broad_negative_diseases	broad_ms_wm_delta_log2	broad_ms_wm_hedges_g	broad_ms_wm_p	broad_existing_positive_disease_count	broad_existing_negative_disease_count	broad_existing_positive_diseases	broad_existing_negative_diseases	broad_ms_positive_nominal	broad_ms_positive_trend	broad_discovery_priority_score	cross_n_diseases_tested	cross_n_strong_diseases	cross_n_supportive_or_strong_diseases	cross_n_trend_or_better_diseases	cross_n_negative_trend_diseases	cross_median_positive_hedges_g	cross_supporting_diseases	surface_family	surface_druggability_score	surface_n_delta_trend_or_better_diseases	surface_n_delta_fdr10_positive_diseases	surface_n_delta_negative_trend_diseases	surface_delta_supporting_diseases	surface_delta_negative_diseases	surface_n_state_raw_r_ge_0_5_diseases	surface_n_state_resid_non_ifn_r_ge_0_35_diseases	surface_n_state_resid_with_ifn_r_ge_0_25_diseases	surface_n_confounder_dominant_diseases	surface_raw_state_supporting_diseases	surface_resid_non_ifn_supporting_diseases	surface_rank_score	surface_go_no_go	surface_demotion_or_support_reason	orchestrator_candidate_class	orchestrator_n_expr_trend_or_better_diseases	orchestrator_n_expr_fdr10_positive_diseases	orchestrator_n_expr_negative_trend_diseases	orchestrator_n_resid_state_support_diseases	orchestrator_n_raw_state_support_diseases	orchestrator_expression_supporting_diseases	orchestrator_resid_state_supporting_diseases	orchestrator_raw_state_supporting_diseases	orchestrator_priority_score	foundation_foundation_source	foundation_contexts_with_token	foundation_disease_cells_with_token	foundation_mean_projection_shift	foundation_mean_cosine_z_vs_random	foundation_support_contexts	foundation_strong_support_contexts	foundation_positive_projection_contexts	foundation_negative_projection_contexts	local_recurrence_disease_count_max	local_state_support_disease_count_max	local_negative_disease_count_max	foundation_any_support	local_gate_flag
TFEB	TFEB_TFE3_CLEAR_activation	CLEAR transcription factor	17	0	1	0	0		ulcerative colitis	0.2616412793437703	0.5900602434302097	0.1677365293947767					False	False	-4.0																																											0.0		1.0	False	weak_or_absent
TFE3	TFEB_TFE3_CLEAR_activation	CLEAR transcription factor	17	0	1	0	0		Sjogren syndrome	0.0200878545803053	0.0493324209683517	0.9102984423769684					False	False	-4.0																																											0.0		1.0	False	weak_or_absent
MCOLN1	MCOLN1_TRPML1_activation	lysosomal calcium channel	17	0	1	0	0		type 1 diabetes mellitus	-0.1960648846678339	-0.2869835530050065	0.511653070663803					False	False	-4.0																																											0.0		1.0	False	weak_or_absent
PIKFYVE	PIKFYVE_inhibition	endolysosomal lipid kinase	17	2	0	0	0	Crohn disease;psoriasis		0.018184324050269	0.0477389780872623	0.9141341743012624					False	False	8.0																																											2.0		0.0	False	weak_or_absent
MTOR	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	1	0	0	0	Crohn disease		-0.209161511669091	-0.4305466813570733	0.3383389768553605	0.0	0.0			False	False	4.0667616795894785																																											1.0		0.0	False	weak_or_absent
TSC1	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	0	0	0	0			0.0364246955213065	0.1056662007502238	0.7995019245596273	1.0	0.0	MS		False	False	0.215578912552781																																											1.0		0.0	False	weak_or_absent
TSC2	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	0	1	0	0		ulcerative colitis	-0.1146375753797528	-0.3564504897677225	0.4105045228693362					False	False	-4.0																																											0.0		1.0	False	weak_or_absent
RPTOR	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	1	0	0	0	type 1 diabetes mellitus		-1.0147867320606796	-0.5042051544335443	0.2793531937860193	0.0	1.0		MS	False	False	3.989980831326424																																											1.0		1.0	False	weak_or_absent
RHEB	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	2	1	0	0	Crohn disease;type 1 diabetes mellitus	psoriasis	0.2500402978959446	0.6495492600382783	0.1496527813244645	0.0	0.0			False	True	6.16368264609862																																											2.0		1.0	False	weak_or_absent
ULK1	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	0	2	0	0		psoriasis;type 1 diabetes mellitus	-0.2052009694439984	-0.304178890471272	0.4781543101316301					False	False	-8.0																																											0.0		2.0	False	weak_or_absent_mixed_negative
BECN1	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	0	0	0	0			0.4308568468672717	1.1484634137483003	0.0134046054507933					True	True	7.0																																											0.0		0.0	False	weak_or_absent
ATG5	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	1	0	0	0	psoriasis		0.0405112074596498	0.0936053913460918	0.8250652155075388					False	False	4.0																																											1.0		0.0	False	weak_or_absent
ATG7	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	3	0	0	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.3458460116218482	0.5394776014839906	0.2326137674343736	1.0	0.0	MS		False	False	12.358109997243991																																											3.0		0.0	False	recurrence_without_state
SQSTM1	mTOR_autophagy_modulation	mTOR/autophagy regulator	17	0	1	0	0		ulcerative colitis	-0.048961706297387	-0.1067895383647901	0.8072582830303654	1.0	0.0	MS		False	False	-3.765635775963731																																											1.0		1.0	False	weak_or_absent
LIPA	LIPA_LAL_enhancement	lysosomal neutral-lipid hydrolase	17	3	1	1	0	Crohn disease;psoriasis;type 1 diabetes mellitus	ulcerative colitis	0.4580110941773352	0.492824360482639	0.2725305004844303	4.0	2.0	Sjogren,UC,lupus_nephritis,psoriasis	Crohn,RA	False	False	12.637249662017132	7.0	0.0	0.0	3.0	0.0	1.559069063826943	Crohn disease;psoriasis;type 1 diabetes mellitus	lysosome_membrane_or_lipid	2.0	4.0	2.0	0.0	Crohn disease;Hashimoto thyroiditis;psoriasis;type 1 diabetes mellitus		6.0	5.0	4.0	6.0	Graves disease;Hashimoto thyroiditis;MS;celiac disease;psoriasis;type 1 diabetes mellitus	MS;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	20.5	NO_GO	confounder/myeloid coupling dominates state coupling	lysosome_endosome_lipid	3.0	1.0	0.0	3.0	3.0	Crohn disease;psoriasis;type 1 diabetes mellitus	Crohn disease;rheumatoid arthritis;ulcerative colitis	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	11.0	results_v3/geneformer_candidate_delete/geneformer_candidate_delete_gene_summary.tsv	2.0	6.0	-0.0045194975100458	1.2860612190027745	2.0	0.0			4.0	5.0	2.0	True	state_supported_confounded_mixed_negative
NPC1	NPC1_NPC2_cholesterol_egress	lysosomal cholesterol transporter	17	2	0	0	0	Crohn disease;psoriasis		-0.2072235220169123	-0.5682929508489173	0.2084882644038883	0.0	1.0		MS	False	False	9.039881794298454								lysosome_membrane_or_lipid	2.0	3.0	1.0	0.0	Crohn disease;psoriasis;ulcerative colitis		6.0	7.0	3.0	6.0	Crohn disease;Graves disease;Hashimoto thyroiditis;Sjogren syndrome;psoriasis;ulcerative colitis	Crohn disease;MS;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	20.0	NO_GO	near-confounder-dominant; not cleanly independent of myeloid/phagocytic state	lysosome_endosome_lipid	3.0	0.0	0.0	2.0	2.0	Crohn disease;psoriasis;ulcerative colitis	Crohn disease;psoriasis	Crohn disease;psoriasis	7.0										3.0	7.0	1.0	False	state_supported
NPC2	NPC1_NPC2_cholesterol_egress	lysosomal cholesterol transporter	17	1	0	0	0	type 1 diabetes mellitus		0.2195673330536856	0.4353401323335356	0.3105004991993616	1.0	0.0	MS		False	False	6.271922131757944								lysosome_membrane_or_lipid	2.0	2.0	2.0	0.0	Hashimoto thyroiditis;type 1 diabetes mellitus		8.0	4.0	4.0	7.0	Crohn disease;Graves disease;Hashimoto thyroiditis;MS;celiac disease;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	18.25	NO_GO	confounder/myeloid coupling dominates state coupling	lysosome_endosome_lipid	1.0	1.0	0.0	2.0	2.0	type 1 diabetes mellitus	Crohn disease;rheumatoid arthritis	rheumatoid arthritis;type 1 diabetes mellitus	7.0										2.0	4.0	0.0	False	weak_or_absent_confounded
GBA	GBA_GBA2_sphingolipid_modulation	lysosomal sphingolipid enzyme	6	0	0	0	0			-0.1001534998395801	-0.1998644822520123	0.6462813891007144					False	False	0.0																																											0.0		0.0	False	weak_or_absent
GBA2	GBA_GBA2_sphingolipid_modulation	non-lysosomal sphingolipid enzyme	17	0	1	0	0		ulcerative colitis	-0.403083023644843	-1.35280360573655	0.0097512555991416					False	False	-4.0																																		results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_gene_summary.tsv	6.0	15.0	0.0104257371276617	-0.2522224013697639	1.0	0.0	4.0	2.0	0.0		1.0	True	weak_or_absent
LRRK2	LRRK2_inhibition	lysosomal/vesicle kinase	16	2	0	1	0	Crohn disease;ulcerative colitis		0.6195523948131534	0.7702275262064633	0.1043486548165995					False	True	12.0																																											2.0		0.0	False	weak_or_absent
PPARG	PPAR_LXR_cholesterol_efflux_activation	lipid nuclear receptor	16	1	2	0	0	ulcerative colitis	psoriasis;ulcerative colitis	1.33861418076643	1.4721350014716328	0.0023372069061631					True	True	4.0																																											1.0		2.0	False	weak_or_absent_mixed_negative
NR1H3	PPAR_LXR_cholesterol_efflux_activation	lipid nuclear receptor	17	1	2	0	0	type 1 diabetes mellitus	psoriasis;ulcerative colitis	0.9212173629129756	0.5340748443118246	0.2094063049703438					False	False	-3.0																																											1.0		2.0	False	weak_or_absent_mixed_negative
NR1H2	PPAR_LXR_cholesterol_efflux_activation	lipid nuclear receptor	17	1	0	0	0	type 1 diabetes mellitus		0.0646192467591699	0.0904160790158108	0.8274524136837126					False	False	4.0																																											1.0		0.0	False	weak_or_absent
ABCA1	PPAR_LXR_cholesterol_efflux_activation	cholesterol efflux transporter	17	0	1	0	0		type 1 diabetes mellitus	0.6056046515502906	0.9473719198656124	0.0344909063382469					True	True	3.0																																											0.0		1.0	False	weak_or_absent
ABCG1	PPAR_LXR_cholesterol_efflux_activation	cholesterol efflux transporter	17	0	3	0	0		Crohn disease;psoriasis;type 1 diabetes mellitus	0.8150581476256988	1.1366601392043985	0.014073891674355					True	True	-6.0																																											0.0		3.0	False	weak_or_absent_mixed_negative
CTSH	cathepsin_IFI30_local_controls	lysosomal protease control	17	3	0	0	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.1857297887366638	0.4194601754178125	0.3199162871104055	0.0	0.0			False	False	16.096457020631767								cathepsin_protease	3.0	5.0	1.0	0.0	Crohn disease;Graves disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis		8.0	8.0	6.0	3.0	Crohn disease;Graves disease;Hashimoto thyroiditis;Sjogren syndrome;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	30.0	GO_SCOUT	passes local dependency gate	hla_ii_loading_editing	3.0	1.0	0.0	4.0	5.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;psoriasis;rheumatoid arthritis;ulcerative colitis	Crohn disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	13.5	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_gene_summary.tsv	9.0	43.0	0.0071296108783119	0.0112325700164483	3.0	0.0	4.0	5.0	5.0	8.0	0.0	True	state_supported
CTSS	cathepsin_IFI30_local_controls	lysosomal protease control	17	1	0	0	0	type 1 diabetes mellitus		0.189873422640673	0.6388917205212462	0.1407159118865243					False	False	6.5	9.0	1.0	1.0	4.0	0.0	1.9135788462282448	Crohn disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis	cathepsin_protease	3.0	4.0	2.0	0.0	Crohn disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis		10.0	6.0	4.0	4.0	Crohn disease;Graves disease;Hashimoto thyroiditis;MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	28.25	GO_SCOUT	passes local dependency gate	hla_ii_loading_editing	4.0	1.0	0.0	2.0	6.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;psoriasis	Crohn disease;Sjogren syndrome;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	12.0	results_v3/wave14_geneformer_narrowed_candidate_delete/wave14_geneformer_narrowed_candidate_gene_summary.tsv	7.0	85.0	-0.0149789990058966	-0.5229534445007865	1.0	1.0	2.0	5.0	4.0	6.0	0.0	True	state_supported
CTSB	cathepsin_IFI30_local_controls	lysosomal protease control	17	2	0	0	0	psoriasis;ulcerative colitis		-0.0599954640789519	-0.1033313175720312	0.8140537383462653	5.0	1.0	Crohn,SLE_myeloid,UC,lupus_nephritis,psoriasis	RA	False	False	11.16618835278028	9.0	0.0	0.0	3.0	0.0	1.2735695179550923	Crohn disease;psoriasis;type 1 diabetes mellitus	cathepsin_protease	3.0	3.0	0.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus		2.0	3.0	4.0	7.0	psoriasis;type 1 diabetes mellitus	Crohn disease;celiac disease;psoriasis	8.5	NO_GO	confounder/myeloid coupling dominates state coupling	hla_ii_loading_editing	4.0	0.0	0.0	1.0	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	Crohn disease;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	7.5	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_gene_summary.tsv	11.0	105.0	0.0544015919281677	0.1749014082930456	4.0	1.0	10.0	1.0	5.0	3.0	1.0	True	recurrence_without_state_confounded
