disease	disease_id	study_id	trait_from_source	study_type	has_sumstats	n_cases	n_controls	n_samples	pubmed_id	publication_first_author	publication_date	mapped_diseases	credible_set_count	disease_study_count_from_api	study_cap
MS	MONDO_0005301	FINNGEN_R12_G6_MS	MS-disease / Multiple Sclerosis	gwas	True	2926	495931	498857	36653562			multiple sclerosis	14	75	60
MS	MONDO_0005301	GCST000062	Multiple sclerosis	gwas	False	0	2431	3362	17660530	Hafler DA	2007-07-29	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000252	Multiple sclerosis	gwas	False	242	242	484	18941528	Comabella M	2008-10-22	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000263	Multiple sclerosis	gwas	False	45	45	45	18997785	Aulchenko YS	2008-11-09	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST000265	Brain lesion load	gwas	False	791	883	1674	19010793	Baranzini SE	2008-11-14	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000266	Multiple sclerosis (severity)	gwas	False	794	883	1677	19010793	Baranzini SE	2008-11-14	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000268	Normalized brain volume	gwas	False	753	883	1636	19010793	Baranzini SE	2008-11-14	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000269	Multiple sclerosis	gwas	False	978	883	1861	19010793	Baranzini SE	2008-11-14	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000424	Multiple sclerosis	gwas	False	2624	7220	9844	19525953	De Jager PL	2009-06-14	multiple sclerosis	4	75	60
MS	MONDO_0005301	GCST000425	Multiple sclerosis	gwas	False	1618	3413	5031	19525955	Bahlo M	2009-06-14	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST000577	Multiple sclerosis (severity)	gwas	False	1040	0	1040	20117844	Brynedal B	2010-02-01	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000593	Multiple sclerosis	gwas	False	68	136	204	20159113	Jakkula E	2010-02-12	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST000680	Multiple sclerosis	gwas	False	882	872	1754	20453840	Sanna S	2010-05-09	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST000716	Multiple sclerosis	gwas	False	590	825	1415	20598377	Nischwitz S	2010-06-30	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000783	Multiple sclerosis--Brain Glutamate Levels	gwas	False	382	0	382	20802204	Baranzini SE	2010-09-01	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST000949	Multiple sclerosis	gwas	False	2124	6720	8844	21244703	Wang JH	2011-01-18	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST001096	Multiple sclerosis	gwas	False	1470	0	1470	21654844	Briggs FB	2011-06-09	multiple sclerosis	0	75	60
