gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity
RGS1	regulator of G protein signaling 1	6.883494989496564	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8937927484512329	T1D	4	Celiac;MS;Psoriasis;T1D	4	Celiac;MS;Psoriasis;T1D	0.884235680103302	6652f4f8d59c6d7879b7f344f54c8368;325f92074fd836eb9409b8542ebe59e8	2	Celiac;MS	2	Celiac;MS	2	0.9897022410453306	0.9856571406462533	0.9856571406462533	B cell;CD14-low, CD16-positive monocyte;CD14-positive, CD16-negative classical monocyte;macrophage;neutrophil	Celiac:B cell:-0.0105;Celiac:B cell:-0.254;Celiac:B cell:-0.262;Celiac:CD14-low, CD16-positive monocyte:-0.0105;Celiac:CD14-low, CD16-positive monocyte:-0.254;Celiac:CD14-low, CD16-positive monocyte:-0.262;Celiac:CD14-positive, CD16-negative classical monocyte:-0.0105;Celiac:CD14-positive, CD16-negative classical monocyte:-0.254;Celiac:CD14-positive, CD16-negative classical monocyte:-0.262;Celiac:CD14-positive, CD16-negative classical monocyte:0;Celiac:macrophage:-0.0105;Celiac:macrophage:-0.262;Celiac:macrophage:0;Celiac:neutrophil:-0.0105;Celiac:neutrophil:-0.254;Celiac:neutrophil:-0.262;Celiac:neutrophil:0;MS:B cell:-0.0635;MS:B cell:-0.16;MS:CD14-low, CD16-positive monocyte:-0.0635;MS:CD14-low, CD16-positive monocyte:-0.16;MS:CD14-positive, CD16-negative classical monocyte:-0.0635;MS:CD14-positive, CD16-negative classical monocyte:-0.16;MS:CD14-positive, CD16-negative classical monocyte:0;MS:macrophage:-0.0635;MS:neutrophil:-0.0635;MS:neutrophil:-0.16	1.0	2.0	type 1 diabetes mellitus	-0.0425294777030735	0.8978310658595267	0.9847461495953936	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0		0.0				21.0	Celiac;MS;Psoriasis;SLE;T1D			0.0	0.0
INAVA	innate immunity activator	6.872153629325313	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8847459554672241	UC	4	AS;Crohn;MS;UC	4	AS;Crohn;MS;UC	0.6894342303276062	0e9ccc53b7b8f2c41b1f7c32fe99c0e8	5	AS;Crohn;MS;PBC;UC	5	AS;Crohn;MS;PBC;UC	0	0.9874076738580888	0.9828462411264802	0.9828462411264802	skin of body;suprapubic skin	AS:skin of body:-0;AS:skin of body:-0.016;AS:skin of body:0.0391;AS:suprapubic skin:-0.016;AS:suprapubic skin:0.0391;Crohn:skin of body:0.0309;Crohn:suprapubic skin:0.0309;MS:skin of body:-0;MS:skin of body:0.116;MS:suprapubic skin:0.116;PBC:skin of body:0.0368;PBC:suprapubic skin:0.0368;UC:skin of body:-0;UC:skin of body:0.0133;UC:skin of body:0.0149;UC:skin of body:0.0179;UC:suprapubic skin:-0;UC:suprapubic skin:0.0133;UC:suprapubic skin:0.0149	1.0	1.0	type 1 diabetes mellitus	0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.0		0.0				23.0	AS;Celiac;Crohn;MS;Psoriasis;RA;UC			0.0	0.0
ANKRD55	ankyrin repeat domain 55	6.823852360248566	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8238523602485657	RA	4	Crohn;MS;RA;T1D	4	Crohn;MS;RA;T1D	0.7806254625320435	7c7e63077ef4f7e7570e2ea2b79253fe;9e75ad1e86ce1369a2a63a8cc42bac9e	3	Crohn;MS;RA	3	Crohn;MS;RA	0	1.0	0.9983304925105229	0.9983304925105229	CD4-positive, alpha-beta T cell;naive regulatory T cell	Crohn:CD4-positive, alpha-beta T cell:-0.0374;Crohn:CD4-positive, alpha-beta T cell:-0.0874;Crohn:CD4-positive, alpha-beta memory T cell:-0.0374;Crohn:T cell:-0.0374;Crohn:T cell:-0.0874;Crohn:blood:-0.0374;Crohn:blood:-0.0874;Crohn:central memory CD4-positive, alpha-beta T cell:-0.0374;Crohn:memory regulatory T cell:-0.0374;Crohn:memory regulatory T cell:-0.0874;Crohn:naive regulatory T cell:-0.0374;Crohn:naive regulatory T cell:-0.0874;MS:CD4-positive, alpha-beta T cell:-0.045;MS:CD4-positive, alpha-beta T cell:-0.117;MS:naive regulatory T cell:-0.045;MS:naive regulatory T cell:-0.117;RA:CD4-positive, alpha-beta T cell:-0.0113;RA:CD4-positive, alpha-beta T cell:-0.106;RA:CD4-positive, alpha-beta T cell:-0.112;RA:CD4-positive, alpha-beta T cell:-0.186;RA:CD4-positive, alpha-beta T cell:-0.196;RA:CD4-positive, alpha-beta T cell:-0.207;RA:CD4-positive, alpha-beta memory T cell:-0.112;RA:CD4-positive, alpha-beta memory T cell:-0.196;RA:T cell:-0.0113;RA:T cell:-0.106;RA:T cell:-0.186;RA:	0.0	0.0		-0.248205733458104	0.8213839388878235	0.9761732664217524	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	22.0		0.0				22.0	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC			0.0	0.0
IL7R	interleukin 7 receptor	6.446508829028122	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	prior_art_CD127_autoimmune_axis		0.9528712630271912	PBC	4	Crohn;MS;PBC;T1D	4	Crohn;MS;PBC;T1D	0.9447864890098572	da961026624084f1518c046f355ad310	4	Crohn;MS;PBC;T1D	4	Crohn;MS;PBC;T1D	4	0.9936375660009308	0.9844688660839737	0.9844688660839737	CD14-positive, CD16-negative classical monocyte;CD4-positive, alpha-beta T cell;blood;fibroblast;macrophage	Crohn:CD14-positive, CD16-negative classical monocyte:-0.00196;Crohn:CD14-positive, CD16-negative classical monocyte:0.00196;Crohn:CD4-positive, alpha-beta T cell:-0.00196;Crohn:blood:-0.00196;Crohn:fibroblast:-0.00196;Crohn:fibroblast:0.00196;Crohn:macrophage:-0.00196;Crohn:macrophage:0.00196;MS:CD14-positive, CD16-negative classical monocyte:-0;MS:CD14-positive, CD16-negative classical monocyte:0.111;MS:CD4-positive, alpha-beta T cell:-0.111;MS:blood:-0.111;MS:fibroblast:-0;MS:macrophage:-0;MS:macrophage:-0.111;MS:macrophage:0.111;PBC:CD14-positive, CD16-negative classical monocyte:-0.0621;PBC:CD14-positive, CD16-negative classical monocyte:-0.248;PBC:CD14-positive, CD16-negative classical monocyte:-0.264;PBC:CD14-positive, CD16-negative classical monocyte:0.0621;PBC:CD4-positive, alpha-beta T cell:-0;PBC:CD4-positive, alpha-beta T cell:-0.0621;PBC:blood plasma:-0;PBC:blood:0.0621;PBC:blood:0.264;PBC:fibroblast:-0;PBC:fibroblast:0.0621;PBC:macrophage:-0;PBC:macrophage:-0.0621;PBC:mac	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.6536992297096775	0.5724603142052797	0.9431647247323408	False	2.0	1.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13.0		0.0				26.0	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D			0.0	0.0
SP140	SP140 nuclear body protein	6.36468645455028	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8754889965057373	MS	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	0.8754889965057373	d500cf1bf626a4da032d49faaba8ea22	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	3	0.9891974580445424	0.9868116204726999	0.9868116204726999	CD14-positive, CD16-negative classical monocyte;T cell;blood;lymphoblastoid cell line;naive regulatory T cell;transverse colon	Crohn:B cell:0.0361;Crohn:CD14-positive, CD16-negative classical monocyte:-0.0361;Crohn:CD14-positive, CD16-negative classical monocyte:0.0361;Crohn:T cell:0.0361;Crohn:blood:-0.0361;Crohn:blood:0.0361;Crohn:lymphoblastoid cell line:-0.0361;Crohn:lymphoblastoid cell line:0.0361;Crohn:neutrophil:-0.0361;Crohn:spleen:0.0361;MS:CD14-positive, CD16-negative classical monocyte:-0.154;MS:CD14-positive, CD16-negative classical monocyte:0.154;MS:T cell:-0.154;MS:blood:0;MS:blood:0.154;MS:lymphoblastoid cell line:-0.154;MS:lymphoblastoid cell line:0;MS:lymphoblastoid cell line:0.154;MS:naive regulatory T cell:-0.154;MS:naive regulatory T cell:0.154;MS:transverse colon:-0.154;Psoriasis:CD14-positive, CD16-negative classical monocyte:0;Psoriasis:CD4-positive, alpha-beta T cell:0;Psoriasis:T cell:0;Psoriasis:blood:0;Psoriasis:lymphoblastoid cell line:0;Psoriasis:macrophage:0.0725;Psoriasis:microglial cell:0;Psoriasis:naive regulatory T cell:0;Psoriasis:spleen:0;Psoriasis:spleen:0.0725;Psoriasis:tr	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.0867628128456026	0.7262224269643743	0.9677805697088556	False	1.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	8.0	CHEMBL3108643	0.0				26.0	AS;Crohn;MS;Psoriasis;RA;UC			0.0	0.0
GALC	galactosylceramidase	6.189795435748273	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.7024610638618469	MS	2	Crohn;MS	3	AS;Crohn;MS	0.7024610638618469	5a6af436f7838697327eeeeb801fc248;877cf385878d6d4b6c01cb3acd784536	3	AS;Crohn;MS	1	MS	1	0.9873343718864264	0.9873343718864264	0.9873343718864264	CD14-positive, CD16-negative classical monocyte;fibroblast;neutrophil;thyroid gland	MS:CD14-positive, CD16-negative classical monocyte:0.271;MS:fibroblast:-0;MS:neutrophil:0.233;MS:thyroid gland:0.233	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1897668310526405	0.4547265367950667	0.9234563450681982	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	7.0		0.0				21.0	AS;Crohn;MS;SLE;UC			0.0	0.0
IL2RA	interleukin 2 receptor subunit alpha	4.443186856221253	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	CD25_IL2_axis_prior_art_directionality	prior_branch_blocker_or_directionality_unresolved	0.9520419239997864	RA	5	Crohn;MS;Psoriasis;RA;T1D	5	Crohn;MS;Psoriasis;RA;T1D	0.8340961933135986	04dd88fa1a61762c89a1272f16601116;3ddd2b679e81602e7f249374da22c7be	2	MS;RA	2	MS;RA	0	0.9911449322214665	0.8424868378351196	0.8424868378351196	lymphoblastoid cell line	MS:lymphoblastoid cell line:0;RA:blood plasma:0.0427;RA:lymphoblastoid cell line:0	0.0	0.0		-0.9245064384447704	0.3809924198671314	0.9141270983319502	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	35.0		0.0	DEMOTE_PRIOR_ART_BLOCKED	increase Treg-biased IL-2 signaling or selectively deplete pathogenic CD25-high cells depending context	Direct clinical or therapeutic-class prior art blocks novelty.	18.5	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC			0.0	0.0
STAT4	signal transducer and activator of transcription 4	4.377520842140743	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	STAT4_TF_not_selectively_druggable	prior_branch_blocker_or_directionality_unresolved	0.8833943605422974	RA	8	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	8	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	0.845672070980072	0f1f8ab0ab136934feb8e1412e26fe3b	7	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	7	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	2	0.9941264815984456	0.955404271318453	0.955404271318453	CD14-positive, CD16-negative classical monocyte;CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;T-helper 17 cell;blood;fibroblast;macrophage;naive regulatory T cell;right lobe of liver;transverse colon	Celiac:CD4-positive, alpha-beta T cell:0.237;Crohn:T-helper 17 cell:0.00709;MS:CD14-positive, CD16-negative classical monocyte:0;MS:CD4-positive, alpha-beta T cell:0;MS:CD8-positive, alpha-beta T cell:0;MS:T-helper 17 cell:0.103;MS:blood:0.103;MS:fibroblast:0.103;MS:macrophage:0;MS:macrophage:0.103;MS:naive regulatory T cell:0;MS:right lobe of liver:0.103;MS:transverse colon:0.103;PBC:T-helper 17 cell:-0.0629;RA:CD14-positive, CD16-negative classical monocyte:0;RA:T-helper 17 cell:-0.131;RA:T-helper 17 cell:-0.147;RA:T-helper 17 cell:0.0122;RA:T-helper 17 cell:0.0128;SLE:CD4-positive, alpha-beta T cell:0.358;SLE:T-helper 17 cell:-0.278;SLE:T-helper 17 cell:-0.466;SLE:T-helper 17 cell:0.13;Sjogren:T-helper 17 cell:-0.0211;Sjogren:T-helper 17 cell:-0.29	2.0	0.0	Crohn disease;ulcerative colitis	0.8684079555977076	0.4607005214454064	0.9239963547089984	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	31.0	CHEMBL4523296	0.0	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	reduce STAT4-driven Th1/Th17 polarization	Genetics may be broad, but current modality is absent or wrong-direction restoration.	24.0	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0502650068931169
PTGER4	prostaglandin E receptor 4	4.24586032993851	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	EP4_directionality_prior_art_conflicted	prior_branch_blocker_or_directionality_unresolved	0.7531872987747192	T1D	5	Crohn;MS;Psoriasis;T1D;UC	5	Crohn;MS;Psoriasis;T1D;UC	0.5558526515960693	2ad375b01e7862b75a4b31c0339dae3c	3	Crohn;MS;UC	3	Crohn;MS;UC	1	0.9926730311637908	0.9291922636901229	0.9291922636901229	CD4-positive, alpha-beta T cell;central memory CD4-positive, alpha-beta T cell	Crohn:CD14-positive, CD16-negative classical monocyte:0.000695;Crohn:CD14-positive, CD16-negative classical monocyte:0.0253;Crohn:CD4-positive, alpha-beta T cell:-0.00316;Crohn:CD4-positive, alpha-beta T cell:-0.00464;Crohn:CD4-positive, alpha-beta T cell:0.000695;Crohn:central memory CD4-positive, alpha-beta T cell:-0.00316;Crohn:central memory CD4-positive, alpha-beta T cell:-0.00464;Crohn:lymphoblastoid cell line:0.000695;Crohn:lymphoblastoid cell line:0.0253;MS:CD4-positive, alpha-beta T cell:-0.019;MS:CD4-positive, alpha-beta T cell:-0.194;MS:central memory CD4-positive, alpha-beta T cell:-0.019;MS:central memory CD4-positive, alpha-beta T cell:-0.194;UC:CD4-positive, alpha-beta T cell:-0.0298;UC:central memory CD4-positive, alpha-beta T cell:-0.0298	2.0	3.0	Crohn disease;type 1 diabetes mellitus	0.272141637998347	0.3034072589589571	0.9075477698307116	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	unresolved; likely context-specific EP4 agonism for barrier/tolerance versus antagonism in some inflammatory settings	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.	14.0	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC			0.0	0.0
MMEL1	membrane metalloendopeptidase like 1	5.329183466048283	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			0.8332656621932983	MS	2	Celiac;MS	3	Celiac;MS;RA	0.8332656621932983	fe2145c23effb37fbff18ed384f43e15	3	Celiac;MS;RA	3	Celiac;MS;RA	2	0.995917803854985	0.995917803854985	0.9565789491198184	CD14-positive, CD16-negative classical monocyte;CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;blood;spleen;thyroid gland	Celiac:thyroid gland:-0.136;MS:CD14-positive, CD16-negative classical monocyte:-0;MS:CD14-positive, CD16-negative classical monocyte:-0.129;MS:CD14-positive, CD16-negative classical monocyte:-0.149;MS:CD14-positive, CD16-negative classical monocyte:2;MS:CD4-positive, alpha-beta T cell:-0;MS:CD4-positive, alpha-beta T cell:-0.129;MS:CD4-positive, alpha-beta T cell:2;MS:CD8-positive, alpha-beta T cell:-0;MS:blood:-0;MS:blood:2;MS:spleen:-0;MS:spleen:0.00296;MS:spleen:2;MS:thyroid gland:2;RA:CD14-low, CD16-positive monocyte:-0.00494;RA:CD14-positive, CD16-negative classical monocyte:-0.00494;RA:CD8-positive, alpha-beta T cell:-0.00494;RA:spleen:0.00494	1.0	2.0	type 1 diabetes mellitus	0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	14.0		0.0				15.0	AITD;Celiac;MS;RA			0.0	0.0
