gene	gate	passed	wave62_call
RGS1	ms_l2g_ge_0_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	ms_relevant_qtl_h4_ge_0_8	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	cross_disease_l2g_ge_4_or_supporting_ge_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	qtl_coloc_multiple_diseases	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	module_link	False	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	druggable_or_modality	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	no_manual_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS1	no_prior_context_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	ms_l2g_ge_0_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	ms_relevant_qtl_h4_ge_0_8	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	cross_disease_l2g_ge_4_or_supporting_ge_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	qtl_coloc_multiple_diseases	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	module_link	False	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	druggable_or_modality	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	no_manual_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
INAVA	no_prior_context_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	ms_l2g_ge_0_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	ms_relevant_qtl_h4_ge_0_8	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	cross_disease_l2g_ge_4_or_supporting_ge_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	qtl_coloc_multiple_diseases	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	module_link	False	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	druggable_or_modality	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	no_manual_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
ANKRD55	no_prior_context_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	ms_l2g_ge_0_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	ms_relevant_qtl_h4_ge_0_8	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	cross_disease_l2g_ge_4_or_supporting_ge_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	qtl_coloc_multiple_diseases	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	module_link	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	druggable_or_modality	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	no_manual_blocker	False	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
IL7R	no_prior_context_blocker	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
SP140	ms_l2g_ge_0_5	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
SP140	ms_relevant_qtl_h4_ge_0_8	True	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
