analysis	dataset_path	disease_name	compartment	role	module	module_class	n_genes_present	genes_present	mean_effect	median_effect	combined_z	combined_p	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	gpr183_receptor_anchor	receptor_anchor	1	GPR183	1.1297090802321064	1.1297090802321064	2.1406368314203097	0.03230333620112478	0.08107503987733278	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	lymphoid_trafficking_response	receptor_response	7	CCL19;CCL21;CCR7;CXCR5;GPR183;LTA;LTB	0.4353942628017466	0.2475198258959371	2.3658749160657475	0.017987520517713892	0.05232733241516769	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	myeloid_apc_migration_response	receptor_response	6	CCL19;CCR7;CD83;GPR183;ITGAX;LAMP3	0.5304906355401753	0.43285013016868557	3.298123344835457	0.0009733336779273299	0.0044495253848106505	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ifn_apc_comparator	specificity_comparator	8	CD74;CXCL10;GBP1;HLA-DRA;IFI30;IRF1;ISG15;STAT1	1.2518534276821285	0.9991523027794078	3.698070218680479	0.00021724479899960325	0.0012090145335630093	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	generic_inflammation_comparator	specificity_comparator	8	CCL2;CCL3;CCL4;CXCL8;IL1B;NFKBIA;TNF;TNFAIP3	0.7682078925269215	0.9062925375747888	3.160887487012225	0.001572892422638409	0.006494523551539237	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	apc_lysosome_comparator	specificity_comparator	9	CD74;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;LAMP1;LAMP2	1.6789178900524637	2.3550918440553503	3.815794082181924	0.00013574567530740081	0.0008687723219673652	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ligand_production_core	ligand_production	4	CH25H;CYP27A1;CYP7B1;HSD3B7	0.23452243275661966	0.2633357445587745	0.7046904137076824	0.48100291834929787	0.5648474637496342	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	gpr183_receptor_anchor	receptor_anchor	1	GPR183	0.975302839797214	0.975302839797214	1.4708234490831993	0.14133886917618182	0.25126910075765657	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	lymphoid_trafficking_response	receptor_response	5	CCL19;CCR7;CXCR5;GPR183;LTB	2.8046547137624556	3.2923207706293787	5.362434375300859	8.210780236716197e-08	2.1019597405993466e-06	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	myeloid_apc_migration_response	receptor_response	8	CCL17;CCL19;CCL22;CCR7;CD83;GPR183;ITGAX;LAMP3	2.5166383272467368	2.30583796493603	5.836809337124495	5.320992591828428e-09	6.810870517540388e-07	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ifn_apc_comparator	specificity_comparator	8	CD74;CXCL10;GBP1;HLA-DRA;IFI30;IRF1;ISG15;STAT1	1.3989076770610038	1.3569891167075827	5.096906848967249	3.452481037219356e-07	6.313108182343966e-06	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	generic_inflammation_comparator	specificity_comparator	9	CCL2;CCL3;CCL4;CXCL8;IL1B;IL6;NFKBIA;TNF;TNFAIP3	1.630948999020061	1.998686453892681	4.398183244190192	1.0916079722345052e-05	0.00017465727555752083	True	False	True	False
