accession	file_role	file_name	url	local_file	expected_size	size_bytes	sha256	sample_id	description	disease_state	group
GSE227835	series_matrix	GSE227835_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227835/matrix/GSE227835_series_matrix.txt.gz	data/raw_v3/gse227835/GSE227835_series_matrix.txt.gz		3749	fc97307925af1eef4b4db7a58daa252f0eba34c86014e465d2c07ae899cd48dc				
GSE227835	family_soft	GSE227835_family.soft.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227835/soft/GSE227835_family.soft.gz	data/raw_v3/gse227835/GSE227835_family.soft.gz		4219	c2f90da3663f815a248328e6f044d53e681ce53b5537a172ccc0ca6731fde905				
GSE227835	supplement_filelist	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227835/suppl/filelist.txt	data/raw_v3/gse227835/filelist.txt		2478	611427c47132b8f28393ebaccb32ba6ae922597ed7d5410abfe931226ebb8ea7				
GSE227835	processed_sample_count_matrix	GSM7266236_A1.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266236/suppl/GSM7266236_A1.txt.gz	data/raw_v3/gse227835/raw/GSM7266236_A1.txt.gz	14169551	14169551	bb0a25c5912ad78faa82d4a80a21e3048bf38639d77b7550b3da988b6191e2a7	GSM7266236	A1	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266237_A10.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266237/suppl/GSM7266237_A10.txt.gz	data/raw_v3/gse227835/raw/GSM7266237_A10.txt.gz	26062358	26062358	51641b05f7c046bc45f500e20c4d9133633266a94e3f4e2c54d620d8fe98d4df	GSM7266237	A10	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266238_A2.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266238/suppl/GSM7266238_A2.txt.gz	data/raw_v3/gse227835/raw/GSM7266238_A2.txt.gz	19011014	19011014	e6ed9b736a6387df20276891ed7390017b96c683a3cd59d9543210b50816a2d3	GSM7266238	A2	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266239_A3.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266239/suppl/GSM7266239_A3.txt.gz	data/raw_v3/gse227835/raw/GSM7266239_A3.txt.gz	17946467	17946467	8abba38f453fc4f098909473b5324fbbfdc5ad324c49ea6502ec1619979db4e9	GSM7266239	A3	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266240_A4.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266240/suppl/GSM7266240_A4.txt.gz	data/raw_v3/gse227835/raw/GSM7266240_A4.txt.gz	23006728	23006728	e4d6fdd2f4b9c96740081c1ae4f5f8419721b46074a82fc6860bb9e145e63729	GSM7266240	A4	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266241_A5.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266241/suppl/GSM7266241_A5.txt.gz	data/raw_v3/gse227835/raw/GSM7266241_A5.txt.gz	25599913	25599913	3217e1684c0cb3b21751e82e58c74532a18f3b16fff0cba219a545b2d418883c	GSM7266241	A5	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266242_A6.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266242/suppl/GSM7266242_A6.txt.gz	data/raw_v3/gse227835/raw/GSM7266242_A6.txt.gz	26271236	26271236	3948acc50713b7194079da66f0f2f1606eef81b8e074039369d32018f8e13d73	GSM7266242	A6	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266243_A7.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266243/suppl/GSM7266243_A7.txt.gz	data/raw_v3/gse227835/raw/GSM7266243_A7.txt.gz	22304824	22304824	4eb95502ffa911e0c92b9791a65564acb16a3f480eaf319afba7e6c59fc7b698	GSM7266243	A7	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266244_A8.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266244/suppl/GSM7266244_A8.txt.gz	data/raw_v3/gse227835/raw/GSM7266244_A8.txt.gz	24010427	24010427	5bebeca3707524968b978bb760c2ab3a56a2942a8301179a0dd4add9be36e278	GSM7266244	A8	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266245_A9.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266245/suppl/GSM7266245_A9.txt.gz	data/raw_v3/gse227835/raw/GSM7266245_A9.txt.gz	27126881	27126881	e208877a24ba3a23fdd2197682ed77c32ac21b46bc0b0e108aa8d8bd4928f200	GSM7266245	A9	AChR-positive MG	achr_positive_mg
GSE227835	processed_sample_count_matrix	GSM7266246_H1.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266246/suppl/GSM7266246_H1.txt.gz	data/raw_v3/gse227835/raw/GSM7266246_H1.txt.gz	18445765	18445765	205bf0633939d6d20bafb1a74df5a6742d4df5a6fd0fb050b5e330f2c2c04d60	GSM7266246	H1	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266247_H10.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266247/suppl/GSM7266247_H10.txt.gz	data/raw_v3/gse227835/raw/GSM7266247_H10.txt.gz	20226965	20226965	d0e9a0676835e490d6569b96e80f273d15cfd5bb6fe81a93affd8204fb3b031f	GSM7266247	H10	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266248_H2.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266248/suppl/GSM7266248_H2.txt.gz	data/raw_v3/gse227835/raw/GSM7266248_H2.txt.gz	19721624	19721624	858ed481651f2dd80ab5b6fdd32bc98dd789769b3e0943b49e3cd0e76126726b	GSM7266248	H2	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266249_H3.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266249/suppl/GSM7266249_H3.txt.gz	data/raw_v3/gse227835/raw/GSM7266249_H3.txt.gz	17836163	17836163	13f759a1632b3e8fd19c23adb71a151187a0072878412a00ed2e417c134ff285	GSM7266249	H3	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266250_H4.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266250/suppl/GSM7266250_H4.txt.gz	data/raw_v3/gse227835/raw/GSM7266250_H4.txt.gz	17989196	17989196	1f380cab2f49112c4997920ba1a080b4c2ef4b1de1453bd999faaf88c2e2cabb	GSM7266250	H4	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266251_H5.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266251/suppl/GSM7266251_H5.txt.gz	data/raw_v3/gse227835/raw/GSM7266251_H5.txt.gz	19192323	19192323	7c18df4a3d130c6ae7365be16a56813559102888efa70051df4f0c4d31c3a34a	GSM7266251	H5	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266252_H6.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266252/suppl/GSM7266252_H6.txt.gz	data/raw_v3/gse227835/raw/GSM7266252_H6.txt.gz	16844662	16844662	87607a3e800a5b697a36666e7d6568873c68f3aad495329a40af73a65ccde67b	GSM7266252	H6	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266253_H7.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266253/suppl/GSM7266253_H7.txt.gz	data/raw_v3/gse227835/raw/GSM7266253_H7.txt.gz	19528935	19528935	88b1e19ada55db6958eb0d15d76ceb9321add355db8aa92795e16b2144a58ca5	GSM7266253	H7	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266254_H8.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266254/suppl/GSM7266254_H8.txt.gz	data/raw_v3/gse227835/raw/GSM7266254_H8.txt.gz	19294255	19294255	d206b29ea91a2d454051900d3d56776b40033b29d941c62c13bc55fbfde5b141	GSM7266254	H8	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266255_H9.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266255/suppl/GSM7266255_H9.txt.gz	data/raw_v3/gse227835/raw/GSM7266255_H9.txt.gz	28690163	28690163	a862ee05d12bc1ab6d85dd0b79320ed6bf9f694f1a6d343ec02783ccd727dd09	GSM7266255	H9	Healthy control	healthy_control
GSE227835	processed_sample_count_matrix	GSM7266256_N10a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266256/suppl/GSM7266256_N10a.txt.gz	data/raw_v3/gse227835/raw/GSM7266256_N10a.txt.gz	20959277	20959277	03b47301a3545fa9f3b78df445877404e553baf5d2602110e70b9c8048376625	GSM7266256	N10a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266257_N10b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266257/suppl/GSM7266257_N10b.txt.gz	data/raw_v3/gse227835/raw/GSM7266257_N10b.txt.gz	23858487	23858487	705aefabb96ca1db1521125aacc3bf97416589b6f4862e272b182528af860f4a	GSM7266257	N10b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266258_N1a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266258/suppl/GSM7266258_N1a.txt.gz	data/raw_v3/gse227835/raw/GSM7266258_N1a.txt.gz	21933100	21933100	e02a57c872b914883cbe3c2de6be59569d35c924d1adfd70675ff956aa6261f5	GSM7266258	N1a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266259_N1b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266259/suppl/GSM7266259_N1b.txt.gz	data/raw_v3/gse227835/raw/GSM7266259_N1b.txt.gz	21636826	21636826	a389999cea0e105bb73acdd44a0ad2cabb2c3f582a3801503e36d40f0f4e06e6	GSM7266259	N1b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266260_N2a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266260/suppl/GSM7266260_N2a.txt.gz	data/raw_v3/gse227835/raw/GSM7266260_N2a.txt.gz	18405298	18405298	78dbcce7c606122dd0f4189fa94ab70a27c4d34993c26ebc3934b71c0e4e1778	GSM7266260	N2a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266261_N2b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266261/suppl/GSM7266261_N2b.txt.gz	data/raw_v3/gse227835/raw/GSM7266261_N2b.txt.gz	20656666	20656666	8347230afc689defec33d88a0111724483db909c2a4062cc2f99ea44bb6ffc62	GSM7266261	N2b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266262_N3a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266262/suppl/GSM7266262_N3a.txt.gz	data/raw_v3/gse227835/raw/GSM7266262_N3a.txt.gz	25801374	25801374	a0866824069cdbe3176c7324a03074a7617d2615559de394e1dd5cea3b07c54e	GSM7266262	N3a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266263_N3b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266263/suppl/GSM7266263_N3b.txt.gz	data/raw_v3/gse227835/raw/GSM7266263_N3b.txt.gz	27916215	27916215	4285bcf19622296df8c259f5d2e05b964890d701bc334a0a8f3ac43e73b38ab5	GSM7266263	N3b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266264_N4a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266264/suppl/GSM7266264_N4a.txt.gz	data/raw_v3/gse227835/raw/GSM7266264_N4a.txt.gz	23772920	23772920	c41f2a354b55dd4305dd226d4c01c0b45ef25a5ddae99b1db15516ffb5ad4b23	GSM7266264	N4a	Seronegative MG pre-treatment	seronegative_mg_pre
