accession	contrast	interpretation_scope	marker_compartment	module	metric	n_paired_donors	mean_post_minus_pre	paired_t	p	fdr
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	complement_phagocytosis	mean_score	10	0.008246871605342047	1.1673093169635462	0.2730805687938866	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	complement_phagocytosis	high_fraction	10	0.008885274360089295	1.2906224730657867	0.22900227838568205	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	hla_ii_cd74	mean_score	10	0.04455748651875101	1.7023178040237943	0.12290142964185158	0.3584625031220671
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	hla_ii_cd74	high_fraction	10	0.023127707708085088	1.4481647682042182	0.1814953308256187	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	ifng_hlaii_cd74	mean_score	10	0.03398264957274272	2.4300141203804033	0.037981675747928156	0.19869274238048873
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	ifng_hlaii_cd74	high_fraction	10	0.026835452845432713	1.8239784715015785	0.10146080906295711	0.3228298470184999
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	lipid_loader_repair	mean_score	10	0.0036916723399114853	0.2890152839575109	0.7791164039179138	0.8656848932421264
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	lipid_loader_repair	high_fraction	10	0.02713779609401327	1.4506620379555033	0.18081642788499044	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	lysosomal_apc	mean_score	10	0.01173305100532524	0.6373079557970951	0.5397959782446484	0.6997355273541739
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	lysosomal_apc	high_fraction	10	0.007372423337064815	0.43990939382825395	0.6703772769309417	0.7953628709350156
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	mixscale_validated_ifng_readout	mean_score	10	0.023752366285896137	1.1983632716304713	0.2613785325580473	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	mixscale_validated_ifng_readout	high_fraction	10	0.005737240909721536	0.26436195361835035	0.7974552686074488	0.8722167000393971
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	slc15a4_tasl_branch	mean_score	10	0.0007280654569110472	0.043190829198493236	0.9664924760198894	0.980499613353511
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_b_cell_apc_like	slc15a4_tasl_branch	high_fraction	10	-0.003071879082986917	-0.15537861937049077	0.8799518659049882	0.9293227098462328
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	complement_phagocytosis	mean_score	10	0.008404078405745205	0.5727673388212238	0.5808274026514082	0.7260342533142602
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	complement_phagocytosis	high_fraction	10	0.025376338789480545	2.830552556416552	0.019704628141585936	0.15325821887900173
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	hla_ii_cd74	mean_score	10	-0.10174099443798638	-2.237757616347075	0.05203346854315715	0.21884029929500118
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	hla_ii_cd74	high_fraction	10	-0.021486915146657598	-1.554170405432885	0.15456406688043497	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	ifng_hlaii_cd74	mean_score	10	-0.05761993247558215	-2.248684658036458	0.05111298338294733	0.21884029929500118
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	ifng_hlaii_cd74	high_fraction	10	-0.010414870739683706	-0.6180127286939839	0.5518829279886566	0.7023964538037447
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	lipid_loader_repair	mean_score	10	0.017598164108604507	0.46305472736056963	0.6543180482922588	0.7896941962147951
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	lipid_loader_repair	high_fraction	10	0.013807302973785348	0.3306910392352102	0.748446512272207	0.8577881463895117
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	lysosomal_apc	mean_score	10	-0.060525462804145835	-1.462184377517362	0.1777125496312411	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	lysosomal_apc	high_fraction	10	0.003183136909902054	0.14661796898851978	0.88666524892979	0.9293227098462328
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	mixscale_validated_ifng_readout	mean_score	10	-0.05234418176487292	-2.0077636738106754	0.07560030942256993	0.2899199942428477
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	mixscale_validated_ifng_readout	high_fraction	10	-0.006619875992953886	-0.37159129360304277	0.7187946657237403	0.8385937766776971
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	slc15a4_tasl_branch	mean_score	10	-0.08710908975371616	-3.0779055866092437	0.013184497488469078	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_myeloid_apc_like	slc15a4_tasl_branch	high_fraction	10	-0.06555867877841749	-3.331920893005249	0.008772221416587825	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	complement_phagocytosis	mean_score	10	0.013682086899058993	1.337824535471998	0.21377294796421578	0.44012077522044424
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	complement_phagocytosis	high_fraction	10	0.006284554316777664	3.3161514503885807	0.00899529865410217	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	hla_ii_cd74	mean_score	10	0.04437182368700409	2.5363030961357937	0.03190371414706292	0.18610499919120035
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	hla_ii_cd74	high_fraction	10	0.033713221867460307	2.4024406182790616	0.03973854847609775	0.19869274238048873
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	ifng_hlaii_cd74	mean_score	10	0.021393094704576017	1.1809478052298032	0.26789027120759273	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	ifng_hlaii_cd74	high_fraction	10	0.015148852775345955	0.8711306315816595	0.40631958508402544	0.5804565501200364
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	lipid_loader_repair	mean_score	10	0.015526322142518922	1.9828902534994157	0.0786925698659158	0.2899199942428477
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	lipid_loader_repair	high_fraction	10	0.010818315698391794	1.0999994488738971	0.2998829894900777	0.4664846503178986
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	lysosomal_apc	mean_score	10	0.012030903364932077	1.0433680955377103	0.3239920428469208	0.4891979555483283
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	lysosomal_apc	high_fraction	10	0.012641777177606645	1.4552714720007744	0.17956911994798155	0.3970210361810409
