module	n_primary_tests	n_fdr10_positive_tests	n_trend_or_better_tests	n_negative_trend_tests	best_positive_hedges_g	supporting_compartment_contrasts	negative_compartment_contrasts
lysosomal_apc	15	3	4	1	2.2518720120336972	untreated_mg_vs_healthy_control:marker_b_cell_apc_like:g=1.729;achr_positive_mg_vs_healthy_control:marker_b_cell_apc_like:g=2.252;achr_positive_mg_vs_healthy_control:marker_t_cell_like:g=1.017;seronegative_mg_pre_vs_healthy_control:marker_b_cell_apc_like:g=1.332	seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-1.135
mixscale_validated_ifng_readout	15	2	3	2	1.5350840675840682	achr_positive_mg_vs_healthy_control:marker_b_cell_apc_like:g=1.193;achr_positive_mg_vs_healthy_control:marker_nk_like:g=0.819;achr_positive_mg_vs_healthy_control:marker_t_cell_like:g=1.535	seronegative_mg_pre_vs_healthy_control:marker_nk_like:g=-0.879;seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-0.99
lipid_loader_repair	15	1	7	1	1.6472710342105108	untreated_mg_vs_healthy_control:marker_b_cell_apc_like:g=0.648;untreated_mg_vs_healthy_control:marker_myeloid_apc_like:g=0.765;untreated_mg_vs_healthy_control:marker_t_cell_like:g=0.705;achr_positive_mg_vs_healthy_control:marker_t_cell_like:g=0.95;seronegative_mg_pre_vs_healthy_control:marker_b_cell_apc_like:g=1.167;seronegative_mg_pre_vs_healthy_control:marker_myeloid_apc_like:g=1.647;seronegative_mg_pre_vs_healthy_control:marker_nk_like:g=0.787	seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-0.885
ifng_hlaii_cd74	15	1	1	2	1.6439953822377582	achr_positive_mg_vs_healthy_control:marker_t_cell_like:g=1.644	seronegative_mg_pre_vs_healthy_control:marker_b_cell_apc_like:g=-1.618;seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-1.07
hla_ii_cd74	15	1	1	4	1.3873551742559689	achr_positive_mg_vs_healthy_control:marker_t_cell_like:g=1.387	untreated_mg_vs_healthy_control:marker_b_cell_apc_like:g=-0.743;untreated_mg_vs_healthy_control:marker_plasmablast_like:g=-0.715;seronegative_mg_pre_vs_healthy_control:marker_b_cell_apc_like:g=-1.757;seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-1.006
slc15a4_tasl_branch	15	0	2	0	1.066505005287892	untreated_mg_vs_healthy_control:marker_b_cell_apc_like:g=0.751;achr_positive_mg_vs_healthy_control:marker_b_cell_apc_like:g=1.067	
complement_phagocytosis	15	0	0	3			untreated_mg_vs_healthy_control:marker_plasmablast_like:g=-1.32;achr_positive_mg_vs_healthy_control:marker_plasmablast_like:g=-0.889;seronegative_mg_pre_vs_healthy_control:marker_plasmablast_like:g=-1.955
