sample_id	description	group	status	n_cells	n_gene_rows	n_selected_genes_present
GSM7266236	A1	achr_positive_mg	completed	5776	36601	105
GSM7266237	A10	achr_positive_mg	completed	13453	36601	105
GSM7266238	A2	achr_positive_mg	completed	8161	36601	105
GSM7266239	A3	achr_positive_mg	completed	8493	36601	105
GSM7266240	A4	achr_positive_mg	completed	10463	36601	105
GSM7266241	A5	achr_positive_mg	completed	12528	36601	105
GSM7266242	A6	achr_positive_mg	completed	13856	36601	105
GSM7266243	A7	achr_positive_mg	completed	10751	36601	105
GSM7266244	A8	achr_positive_mg	completed	11762	36601	105
GSM7266245	A9	achr_positive_mg	completed	14184	36601	105
GSM7266246	H1	healthy_control	completed	8552	36601	105
GSM7266247	H10	healthy_control	completed	10642	36601	105
GSM7266248	H2	healthy_control	completed	9151	36601	105
GSM7266249	H3	healthy_control	completed	8328	36601	105
GSM7266250	H4	healthy_control	completed	8750	36601	105
GSM7266251	H5	healthy_control	completed	8936	36601	105
GSM7266252	H6	healthy_control	completed	8753	36601	105
GSM7266253	H7	healthy_control	completed	11400	36601	105
GSM7266254	H8	healthy_control	completed	10601	36601	105
GSM7266255	H9	healthy_control	completed	16925	36601	105
GSM7266256	N10a	seronegative_mg_pre	completed	11318	36601	105
GSM7266257	N10b	seronegative_mg_post	completed	11209	36601	105
GSM7266258	N1a	seronegative_mg_pre	completed	10266	36601	105
GSM7266259	N1b	seronegative_mg_post	completed	11107	36601	105
GSM7266260	N2a	seronegative_mg_pre	completed	9805	36601	105
GSM7266261	N2b	seronegative_mg_post	completed	11011	36601	105
GSM7266262	N3a	seronegative_mg_pre	completed	12082	36601	105
GSM7266263	N3b	seronegative_mg_post	completed	13532	36601	105
GSM7266264	N4a	seronegative_mg_pre	completed	11687	36601	105
GSM7266265	N4b	seronegative_mg_post	completed	9461	36601	105
GSM7266266	N5a	seronegative_mg_pre	completed	12820	36601	105
GSM7266267	N5b	seronegative_mg_post	completed	10534	36601	105
GSM7266268	N6a	seronegative_mg_pre	completed	10764	36601	105
GSM7266269	N6b	seronegative_mg_post	completed	11160	36601	105
GSM7266270	N7a	seronegative_mg_pre	completed	12101	36601	105
GSM7266271	N7b	seronegative_mg_post	completed	12602	36601	105
GSM7266272	N8a	seronegative_mg_pre	completed	12235	36601	105
GSM7266273	N8b	seronegative_mg_post	completed	15407	36601	105
GSM7266274	N9a	seronegative_mg_pre	completed	12252	36601	105
GSM7266275	N9b	seronegative_mg_post	completed	11539	36601	105
