accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	gene	n_cells	mean_log_norm	detection_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	MSR1	1293	0.0007401321253293443	0.0007733952049497294
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	MERTK	1293	0.0011909175592158437	0.002320185614849188
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	SLC15A4	1293	0.10581362365016804	0.102861562258314
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	TASL	1293	0.0820612433753268	0.08507347254447023
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CXorf21	1293	0.0820612433753268	0.08507347254447023
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IRF5	1293	0.05459675038404826	0.06109822119102862
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	GPR65	1293	0.1942504522925832	0.19180201082753287
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	TNFAIP3	1293	0.29317667845230366	0.2536736272235112
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	PTPN2	1293	0.5003281952517953	0.4300077339520495
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CLEC16A	1293	0.06978254763543468	0.07347254447022429
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	SH2B3	1293	0.054763732588945756	0.05723124516627997
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IL10	1293	0.0008411961568019599	0.0007733952049497294
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	OSMR	1293	0.0013188041187678762	0.0015467904098994587
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	IL6R	1293	0.019283420225491565	0.02088167053364269
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	ATG16L1	1293	0.036648669149741034	0.038669760247486466
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CARD9	1293	0.004533002151598417	0.005413766434648105
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	AXL	1293	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CFB	1293	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	CFH	1293	0.0005296232713255326	0.0007733952049497294
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	P2RX7	1293	0.015141770923589424	0.017014694508894045
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	NLRP3	1293	0.003921859594435076	0.0030935808197989174
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IFNG	1219	0.0004407756635651811	0.0008203445447087777
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IFNGR1	1219	0.6910875260438755	0.6513535684987695
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IFNGR2	1219	0.8098543914397102	0.6956521739130435
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	STAT1	1219	1.1533094821551277	0.7834290401968826
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IRF1	1219	1.0236348433999178	0.6997538966365874
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CXCL10	1219	0.03132970742361774	0.02132895816242822
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CD74	1219	2.665799644269153	0.8835110746513536
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	HLA-DRA	1219	2.625044879217046	0.8826907301066448
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	HLA-DRB1	1219	1.9538842442096307	0.8342904019688269
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	HLA-DPA1	1219	1.6366360628086587	0.7981952420016407
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	HLA-DPB1	1219	1.4719694813222939	0.7596390484003281
