gene	wave71_call	wave71_reason	meta_score	raw_channel_points	positive_channel_points	hard_no_channel_penalty	hard_block_penalty	soft_prior_penalty	text_prior_penalty	evidence_channel_count	positive_status_count	parked_status_count	hard_no_status_count	genetics_channel_count	perturbation_channel_count	modality_channel_count	expression_channel_count	reopener_channel_count	evidence_channels	hard_block_reason	soft_penalty_reason	top_calls	evidence_summary	blockers	source_waves
CD58	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	3.787943	6.346852	5.987943	0.7	0.0	0.0	1.5	4	0	4	1	4	1	2	1	0	external_genetics;genetics_expression_druggability;target_resolution;unrestricted_gene_screen			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE; PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE; DESCRIPTIVE_GENE_SIGNAL; NO_GO_WAVE63_TRANSITION_CONTROLLER	CD58 molecule; MS; 1; 2; Crohn; 0.9513845443725586; 0.9944626523267264; Mono_macro; 1.0; 2.0; ...(+14)	gate_druggable_surface; gate_perturbation_or_model; cross_disease_target_resolved; broad_genetic_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality	wave34;wave55;wave62;wave63;wave68
CARMIL1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	2.3844	2.3844	2.3844	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	9; 3.0; Crohn disease; type 1 diabetes mellitus; ulcerative colitis; 0.0; capping protein regulator and myosin 1 linker 1; Celiac; RA; T1D; ...(+2)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55
RAD51B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	2.24585	2.24585	2.24585	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13; 1.0; type 1 diabetes mellitus; 0.0; RAD51 paralog B; AITD; PBC; Psoriasis; RA; SLE; ...(+3)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55
PARK7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.79705	1.79705	1.79705	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	Parkinsonism associated deglycase; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.6109704515996791; 3; 0; ...(+5)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55
ADCY3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.5905	1.5905	1.5905	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	7; 0.0; adenylate cyclase 3; Crohn; Psoriasis; 0.1490696976643495; 0	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55
FADS1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.2898	1.2898	1.2898	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	9; 2.0; psoriasis; ulcerative colitis; 0.0; CHEMBL5840	gate_local_cell_state; gate_perturbation_or_model	wave34
CCDC88B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.2711	1.2711	1.2711	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	15; 3.0; Crohn disease; psoriasis; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
PRR5L	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.2711	1.2711	1.2711	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	9; 3.0; Crohn disease; type 1 diabetes mellitus; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
YDJC	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.2711	1.2711	1.2711	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	12; 3.0; Crohn disease; Sjogren syndrome; psoriasis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
ARID5B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.24645	1.24645	1.24645	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13; 1.0; psoriasis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
LITAF	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1963	1.1963	1.1963	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	7; 3.0; Crohn disease; type 1 diabetes mellitus; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
TMEM258	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1963	1.1963	1.1963	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	7; 3.0; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34
PUS10	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1779	1.1779	1.1779	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				pseudouridine synthase 10; Celiac; Crohn; MS; UC; 0.5871795903065286; 0.0; 0.0720229125503767; 1; 0		wave55
SPRED2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1779	1.1779	1.1779	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				sprouty related EVH1 domain containing 2; Crohn; MS; RA; SLE; 0.6798598760820634; 0.0; 0.1814504561204685; 1; 0		wave55
TAGAP	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1779	1.1779	1.1779	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				T cell activation RhoGTPase activating protein; AITD; Celiac; Crohn; MS; Psoriasis; RA; T1D; 0.7690720106401111; 0.0; ...(+3)		wave55
GENEPPIA	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.17	1.17	1.17	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
PPIA	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.17	1.17	1.17	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
GENENOP14	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.167228	1.167228	1.167228	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
NOP14	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.167228	1.167228	1.167228	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
GENENMI	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.164457	1.164457	1.164457	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
GENEATOX1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.161685	1.161685	1.161685	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
GENELRRC59	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.156141	1.156141	1.156141	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
LRRC59	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.156141	1.156141	1.156141	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60
C1Q_PHAGOCYTIC_MYELOID	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.15337	1.15337	1.15337	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION	module; 6; Crohn disease; Sjogren syndrome; psoriasis; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis		wave60
