route	architecture_module	interface_positive_count	interface_positive_diseases	available_compound_presence_count	real_l1000_reversal_q_le_0_05_count	ms_anchor	prior_clear_or_least_crowded	real_interface_perturbation_context	context_note	passes_wave151
ahr_tryptophan		5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	16	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
scfa_ffar_hcar		4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	22	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
bile_acid_fxr_tgr5		1	type 1 diabetes mellitus	38	0	False	True	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
retinoid_vdr_rxr		4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	51	0	True	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
tnfsf14_light_hvem_ltbr	tls_lymphoid_niche	1	type 1 diabetes mellitus	0	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
endothelial_entry	endothelial_entry	2	Crohn disease;type 1 diabetes mellitus	0	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
stromal_retention_fibrosis	stromal_retention_fibrosis	3	Crohn disease;psoriasis;ulcerative colitis	0	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
tls_lymphoid_niche	tls_lymphoid_niche	1	type 1 diabetes mellitus	0	0	False	False	False	no interface-cell perturbation context available in local L1000/Perturb-seq outputs	False
