metabolite_class	n_diseases_tested	n_diseases_same_direction	n_supportive_diseases_p10_abs_g35	dominant_direction	median_effect	max_abs_effect	supportive_diseases	n_normalizing_treatment_or_improvement_hits	gate_call
amino_acid	5	4	4	lower_in_case_or_worse	-0.7285506103150541	1.6670851771692927	AS,Crohn,RA,UC	1	DESCRIPTIVE_OR_WEAK
ceramide	6	5	3	higher_in_case_or_worse	0.7120768671406047	1.4039873196205723	MS_model,RA,SLE	1	DESCRIPTIVE_OR_WEAK
phosphatidylcholine	6	4	3	lower_in_case_or_worse	-0.35696916431659903	0.9432426506120939	AS,Crohn,UC	2	DESCRIPTIVE_OR_WEAK
unclassified	7	4	3	higher_in_case_or_worse	0.167971653508032	2.350326032356332	AS,MS_model,RA	0	DESCRIPTIVE_OR_WEAK
glycosphingolipid	5	4	3	higher_in_case_or_worse	0.6401670213202963	2.0881811552811946	MS_model,RA,UC	0	DESCRIPTIVE_OR_WEAK
lysophosphatidylcholine	6	4	2	higher_in_case_or_worse	0.09683674063043432	1.6964927092368995	MS_model,RA	1	DESCRIPTIVE_OR_WEAK
steroid	5	4	2	lower_in_case_or_worse	-0.6991715789946957	1.2226504536734102	Crohn,UC	0	DESCRIPTIVE_OR_WEAK
phosphatidylglycerol	3	3	2	higher_in_case_or_worse	0.4325830254523214	1.6262826453414199	MS_model,SLE	1	DESCRIPTIVE_OR_WEAK
eicosanoid_oxylipin	5	3	2	higher_in_case_or_worse	0.25577306096413227	3.444647633758333	MS_model,RA	0	DESCRIPTIVE_OR_WEAK
acylcarnitine	4	3	2	lower_in_case_or_worse	-0.45226169174243996	1.3113388016179222	Crohn,UC	0	DESCRIPTIVE_OR_WEAK
phosphatidylethanolamine	6	3	2	higher_in_case_or_worse	0.007991217033520154	1.2333437109471102	Crohn,MS_model	0	DESCRIPTIVE_OR_WEAK
fatty_acid	6	4	1	higher_in_case_or_worse	0.17371017651615991	1.9463283006828278	RA	1	DESCRIPTIVE_OR_WEAK
sphingomyelin	6	4	1	higher_in_case_or_worse	0.2198052019195932	1.8472520305540923	MS_model	0	DESCRIPTIVE_OR_WEAK
nicotinamide_nad	6	3	1	higher_in_case_or_worse	-0.32760991900778175	1.9710010046590702	AS	1	DESCRIPTIVE_OR_WEAK
pyrimidine	4	3	1	lower_in_case_or_worse	-0.31531524613312867	1.93165547211922	Crohn	0	DESCRIPTIVE_OR_WEAK
phosphatidylinositol	6	3	1	higher_in_case_or_worse	-0.025692221221918055	1.236302287124678	MS_model	0	DESCRIPTIVE_OR_WEAK
diacylglycerol	5	3	1	higher_in_case_or_worse	0.04259508297125851	1.2256065558661868	MS_model	0	DESCRIPTIVE_OR_WEAK
purine	5	3	1	higher_in_case_or_worse	0.03946652586655377	0.6745869171914296	AS	0	DESCRIPTIVE_OR_WEAK
sterol	4	2	1	higher_in_case_or_worse	-0.25766910211849264	4.416820601935362	MS_model	1	DESCRIPTIVE_OR_WEAK
cholesteryl_ester	3	2	1	higher_in_case_or_worse	0.29953440559005984	3.3564342461554486	MS_model	1	DESCRIPTIVE_OR_WEAK
phosphatidylserine	4	2	1	higher_in_case_or_worse	-0.007565818780922801	1.3442580241918018	MS_model	1	DESCRIPTIVE_OR_WEAK
phosphatidic_acid	3	2	1	higher_in_case_or_worse	0.011638668827883945	1.0561603680453937	MS_model	1	DESCRIPTIVE_OR_WEAK
triacylglycerol	4	2	1	higher_in_case_or_worse	-0.06859369722413668	2.7831958926081795	MS_model	0	DESCRIPTIVE_OR_WEAK
bile_acid	4	2	1	higher_in_case_or_worse	-0.23382957798714832	1.3366863946993244	Crohn	0	DESCRIPTIVE_OR_WEAK
lysophosphatidylethanolamine	7	4	0	higher_in_case_or_worse	0.1313639071383859	0.8175461346506732		0	DESCRIPTIVE_OR_WEAK
energy_organic_acid	1	1	0	higher_in_case_or_worse	0.15465071049107762	0.15465071049107762		0	DESCRIPTIVE_OR_WEAK
