study_id	local_sample_id	sample_source	mb_sample_id	raw_factor_string	raw_data	Disease status	Treatment
ST003328	AMC A SV P1	induced neural stem cell	SA362368	Disease status:AMC | Treatment:SV	DS1-93-010	AMC	SV
ST003328	AMC A SV P2	induced neural stem cell	SA362369	Disease status:AMC | Treatment:SV	DS1-93-011	AMC	SV
ST003328	AMC A SV P3	induced neural stem cell	SA362361	Disease status:AMC | Treatment:SV	DS1-93-012	AMC	SV
ST003328	AMC B SV P1	induced neural stem cell	SA362367	Disease status:AMC | Treatment:SV	DS1-93-013	AMC	SV
ST003328	AMC B SV P2	induced neural stem cell	SA362366	Disease status:AMC | Treatment:SV	DS1-93-014	AMC	SV
ST003328	AMC B SV P3	induced neural stem cell	SA362365	Disease status:AMC | Treatment:SV	DS1-93-015	AMC	SV
ST003328	AMC C SV P1	induced neural stem cell	SA362364	Disease status:AMC | Treatment:SV	DS1-93-016	AMC	SV
ST003328	AMC C SV P2	induced neural stem cell	SA362363	Disease status:AMC | Treatment:SV	DS1-93-017	AMC	SV
ST003328	AMC C SV P3	induced neural stem cell	SA362362	Disease status:AMC | Treatment:SV	DS1-93-018	AMC	SV
ST003328	AMC A P1	induced neural stem cell	SA362371	Disease status:AMC | Treatment:untreated	DS1-93-001	AMC	untreated
ST003328	AMC A P2	induced neural stem cell	SA362370	Disease status:AMC | Treatment:untreated	DS1-93-002	AMC	untreated
ST003328	AMC A P3	induced neural stem cell	SA362375	Disease status:AMC | Treatment:untreated	DS1-93-003	AMC	untreated
ST003328	AMC B P1	induced neural stem cell	SA362373	Disease status:AMC | Treatment:untreated	DS1-93-004	AMC	untreated
ST003328	AMC B P2	induced neural stem cell	SA362376	Disease status:AMC | Treatment:untreated	DS1-93-005	AMC	untreated
ST003328	AMC B P3	induced neural stem cell	SA362377	Disease status:AMC | Treatment:untreated	DS1-93-006	AMC	untreated
ST003328	AMC C P1	induced neural stem cell	SA362378	Disease status:AMC | Treatment:untreated	DS1-93-007	AMC	untreated
ST003328	AMC C P2	induced neural stem cell	SA362374	Disease status:AMC | Treatment:untreated	DS1-93-008	AMC	untreated
ST003328	AMC C P3	induced neural stem cell	SA362372	Disease status:AMC | Treatment:untreated	DS1-93-009	AMC	untreated
ST003328	PMA A SV P1	induced neural stem cell	SA362390	Disease status:PMS | Treatment:SV	DS1-93-031	PMS	SV
ST003328	PMA A SV P2	induced neural stem cell	SA362382	Disease status:PMS | Treatment:SV	DS1-93-032	PMS	SV
ST003328	PMA A SV P3	induced neural stem cell	SA362389	Disease status:PMS | Treatment:SV	DS1-93-033	PMS	SV
ST003328	PMA B SV P1	induced neural stem cell	SA362388	Disease status:PMS | Treatment:SV	DS1-93-034	PMS	SV
ST003328	PMA B SV P2	induced neural stem cell	SA362387	Disease status:PMS | Treatment:SV	DS1-93-035	PMS	SV
ST003328	PMA B SV P3	induced neural stem cell	SA362386	Disease status:PMS | Treatment:SV	DS1-93-036	PMS	SV
ST003328	PMS C SV P1	induced neural stem cell	SA362385	Disease status:PMS | Treatment:SV	DS1-93-037	PMS	SV
ST003328	PMS C SV P2	induced neural stem cell	SA362384	Disease status:PMS | Treatment:SV	DS1-93-038	PMS	SV
ST003328	PMS C SV P3	induced neural stem cell	SA362383	Disease status:PMS | Treatment:SV	DS1-93-039	PMS	SV
ST003328	PMS D SV P1	induced neural stem cell	SA362381	Disease status:PMS | Treatment:SV	DS1-93-040	PMS	SV
ST003328	PMS D SV P2	induced neural stem cell	SA362380	Disease status:PMS | Treatment:SV	DS1-93-041	PMS	SV
ST003328	PMS D SV P3	induced neural stem cell	SA362379	Disease status:PMS | Treatment:SV	DS1-93-042	PMS	SV
ST003328	PMA A P1	induced neural stem cell	SA362401	Disease status:PMS | Treatment:untreated	DS1-93-019	PMS	untreated
ST003328	PMA A P2	induced neural stem cell	SA362400	Disease status:PMS | Treatment:untreated	DS1-93-020	PMS	untreated
ST003328	PMA A P3	induced neural stem cell	SA362399	Disease status:PMS | Treatment:untreated	DS1-93-021	PMS	untreated
ST003328	PMA B P1	induced neural stem cell	SA362402	Disease status:PMS | Treatment:untreated	DS1-93-022	PMS	untreated
ST003328	PMA B P2	induced neural stem cell	SA362398	Disease status:PMS | Treatment:untreated	DS1-93-023	PMS	untreated
ST003328	PMA B P3	induced neural stem cell	SA362397	Disease status:PMS | Treatment:untreated	DS1-93-024	PMS	untreated
ST003328	PMS C P1	induced neural stem cell	SA362396	Disease status:PMS | Treatment:untreated	DS1-93-025	PMS	untreated
ST003328	PMS C P2	induced neural stem cell	SA362395	Disease status:PMS | Treatment:untreated	DS1-93-026	PMS	untreated
ST003328	PMS C P3	induced neural stem cell	SA362394	Disease status:PMS | Treatment:untreated	DS1-93-027	PMS	untreated
ST003328	PMS D P1	induced neural stem cell	SA362391	Disease status:PMS | Treatment:untreated	DS1-93-028	PMS	untreated
ST003328	PMS D P2	induced neural stem cell	SA362393	Disease status:PMS | Treatment:untreated	DS1-93-029	PMS	untreated
ST003328	PMS D P3	induced neural stem cell	SA362392	Disease status:PMS | Treatment:untreated	DS1-93-030	PMS	untreated
