study_id	disease	contrast	contrast_type	metabolite_class	n_case	n_control	n_features	mean_case	mean_control	hedges_g_case_minus_control	t	p	source_note	fdr_within_study_contrast
ST001949	RA	RA_vs_control	disease_control	acylcarnitine	20	20	1	0.09092606148994453	0.1513327043277597	-0.057205464130393534	-0.18456644425760244	0.8545816339864327	RA plasma, control/RA/RA+MTX, GC-MS	0.8993912447544921
ST001949	RA	RA_vs_control	disease_control	amino_acid	20	20	55	-0.09493450820150097	0.18411323388648185	-0.7285506103150541	-2.3505795757736587	0.024378868765862715	RA plasma, control/RA/RA+MTX, GC-MS	0.09828501031809996
ST001949	RA	RA_vs_control	disease_control	bile_acid	20	20	3	-0.2856728933360437	0.21872994387486933	-0.6809770460567292	-2.1970892802346618	0.03418546686960355	RA plasma, control/RA/RA+MTX, GC-MS	0.10744003873303971
ST001949	RA	RA_vs_control	disease_control	ceramide	20	20	17	0.33551012131322044	-0.31473641792836904	0.9593413113560839	3.0951975892167245	0.003741323306509185	RA plasma, control/RA/RA+MTX, GC-MS	0.03566402640930137
ST001949	RA	RA_vs_control	disease_control	cholesteryl_ester	20	20	9	0.15971940990398026	-0.09764098855416765	0.29953440559005984	0.9664111813962051	0.34002027602836554	RA plasma, control/RA/RA+MTX, GC-MS	0.534317576616003
ST001949	RA	RA_vs_control	disease_control	diacylglycerol	20	20	9	-0.044045455061279735	-0.08008392057671516	0.04259508297125851	0.1374278336234286	0.8915298343577618	RA plasma, control/RA/RA+MTX, GC-MS	0.8993912447544921
ST001949	RA	RA_vs_control	disease_control	eicosanoid_oxylipin	20	20	4	0.3641943715089825	-0.3074030145197374	0.9327265259572766	3.0093282342449643	0.004863276328541096	RA plasma, control/RA/RA+MTX, GC-MS	0.03566402640930137
ST001949	RA	RA_vs_control	disease_control	fatty_acid	20	20	8	0.28666374431752606	-0.10458744491587771	0.5918875875646924	1.9096530217466496	0.06375923941536141	RA plasma, control/RA/RA+MTX, GC-MS	0.1402703267137951
ST001949	RA	RA_vs_control	disease_control	glycosphingolipid	20	20	8	0.20870026911584483	-0.266539349653562	0.6401670213202963	2.0654207190199583	0.04807427465533776	RA plasma, control/RA/RA+MTX, GC-MS	0.1206324831324269
ST001949	RA	RA_vs_control	disease_control	lysophosphatidylcholine	20	20	21	0.24087121038325482	-0.29671552664679124	0.6310886259877707	2.03613038510588	0.04934965219053828	RA plasma, control/RA/RA+MTX, GC-MS	0.1206324831324269
ST001949	RA	RA_vs_control	disease_control	lysophosphatidylethanolamine	20	20	6	-0.014302245730730617	0.06891525852371595	-0.09952557155271835	-0.321107102851583	0.7499343219613556	RA plasma, control/RA/RA+MTX, GC-MS	0.8683450043763065
ST001949	RA	RA_vs_control	disease_control	nicotinamide_nad	20	20	2	-0.13458867327878776	0.46618827241537886	-0.7261886601371217	-2.3429590319588063	0.026805002814027257	RA plasma, control/RA/RA+MTX, GC-MS	0.09828501031809996
ST001949	RA	RA_vs_control	disease_control	phosphatidylcholine	20	20	79	-0.020033506648384998	0.08196584419788569	-0.16943022923675122	-0.5466459443227059	0.587852556737552	RA plasma, control/RA/RA+MTX, GC-MS	0.808297265514134
ST001949	RA	RA_vs_control	disease_control	phosphatidylethanolamine	20	20	25	0.01268544812960139	0.07353880783444763	-0.10792940017361724	-0.34822102964665447	0.7297423822586876	RA plasma, control/RA/RA+MTX, GC-MS	0.8683450043763065
ST001949	RA	RA_vs_control	disease_control	phosphatidylinositol	20	20	7	-0.03476383818005942	0.3337474117181973	-0.5063659131566546	-1.6337277829186057	0.11057972191853141	RA plasma, control/RA/RA+MTX, GC-MS	0.22115944383706282
ST001949	RA	RA_vs_control	disease_control	purine	20	20	11	-0.010154627667506941	-0.02662896539395839	0.03946652586655377	0.12733392617507658	0.8993912447544921	RA plasma, control/RA/RA+MTX, GC-MS	0.8993912447544921
ST001949	RA	RA_vs_control	disease_control	pyrimidine	20	20	3	-0.09049670133101077	0.1480649436686153	-0.3108251563447706	-1.0028394099137783	0.3223184754966807	RA plasma, control/RA/RA+MTX, GC-MS	0.534317576616003
ST001949	RA	RA_vs_control	disease_control	sphingomyelin	20	20	36	0.13314317080659524	-0.09324599454765656	0.3111389251149651	1.003851746534313	0.32216742185286096	RA plasma, control/RA/RA+MTX, GC-MS	0.534317576616003
ST001949	RA	RA_vs_control	disease_control	steroid	20	20	1	0.06475757858024148	0.19720872860250033	-0.14770927292629424	-0.476565931284829	0.6367043296605419	RA plasma, control/RA/RA+MTX, GC-MS	0.823970308972466
ST001949	RA	RA_vs_control	disease_control	sterol	20	20	2	0.16637170603414322	-0.011302738741084844	0.18116746516313562	0.5845147027232585	0.5626074932684842	RA plasma, control/RA/RA+MTX, GC-MS	0.808297265514134
ST001949	RA	RA_vs_control	disease_control	triacylglycerol	20	20	109	-0.3347540165687245	0.18928078981842839	-0.8916973041610624	-2.876952460484562	0.006557179461816505	RA plasma, control/RA/RA+MTX, GC-MS	0.036064487039990774
ST001949	RA	RA_vs_control	disease_control	unclassified	20	20	232	0.09345664203545032	-0.07848929575187243	0.997050475072646	3.21686160101863	0.00273858826723351	RA plasma, control/RA/RA+MTX, GC-MS	0.03566402640930137
ST001949	RA	RA_MTX_vs_RA	treatment_shift	acylcarnitine	20	20	1	-0.2422587658176986	0.09092606148994453	-0.3164195225679714	-1.0208889493657696	0.3139817302442579	RA plasma, control/RA/RA+MTX, GC-MS	0.729071779070514
ST001949	RA	RA_MTX_vs_RA	treatment_shift	amino_acid	20	20	55	-0.08917872568498167	-0.09493450820150097	0.015639836394670162	0.05046002223765288	0.9600293442283367	RA plasma, control/RA/RA+MTX, GC-MS	0.9600293442283367
ST001949	RA	RA_MTX_vs_RA	treatment_shift	bile_acid	20	20	3	0.06694294946117439	-0.2856728933360437	0.49853069399020633	1.6084484050914438	0.11612871308683621	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
