gene	modules	n_primary_contexts	nonresponse_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	wave86_call	direct_h5ad_tested_diseases	direct_h5ad_positive_p05_disease_count	direct_h5ad_positive_p05_diseases	direct_h5ad_positive_fdr10_disease_count	direct_h5ad_positive_fdr10_diseases	direct_h5ad_negative_p05_disease_count	direct_h5ad_negative_p05_diseases	direct_h5ad_top_positive_contexts	ms_wm_delta_log2_x	ms_wm_hedges_g	ms_wm_p_x	ms_wm_fdr_x	ms_wm_support	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts	geneformer_contexts_available	geneformer_support_context_count	geneformer_strong_context_count	geneformer_support_contexts	geneformer_best_context	geneformer_best_cosine_z	wave55_score	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	ms_genetic_association	ms_overall_score	local_positive_disease_count_x	local_positive_diseases_x	strict_residual_disease_count	foundation_recommendation	wave62_score	wave62_call	manual_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_qtl_h4	local_positive_disease_count_y	local_positive_diseases_y	ms_wm_delta_log2_y	ms_wm_p_y	ms_wm_fdr_y	prior_or_route_blocker	wave87_call	central_node_score
CD44	mif_cd74_receptor_state	4	4	3	3	-1.3047727761355623	0.7994791666666667	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	Crohn disease;ulcerative colitis	0		0		ibd_crohn_epithelial:0.311,p=0.0102;ibd_uc_epithelial:0.528,p=0.0441	1.3446537852001974	0.9541987285932504	0.0331669831445104	0.8506970233122761	MS_WM_POSITIVE_NOMINAL											0.0	0.0				11.0	3.0	AITD;SLE;T1D	1.0	SLE	0.0	0.0	2.0	Crohn disease;ulcerative colitis	0.0	do_not_promote	3.2877469886291055	NO_GO_WAVE62_TARGET_RESOLUTION		0.8089896440505981	SLE	2.0	SLE;T1D	0.0	1.0	SLE	0.0	2.0	Crohn disease;ulcerative colitis	1.3446537852001974	0.0331669831445104	0.8506970233122761	BLOCKED_ADHESION_MATRIX_PRIOR_ART_AND_BROAD_BIOLOGY	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	16.5
CXCL8	inflammatory_nfkb	4	4	3	3	-1.7015926386898363	0.8848958333333333	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	type 1 diabetes mellitus;ulcerative colitis	0		0		ibd_uc_myeloid:1.103,p=0.00116;t1d_ductal_cell:1.052,p=0.0116;t1d_acinar_cell:1.215,p=0.0191;ibd_uc_epithelial:0.492,p=0.0195	-0.0879956974423397	-0.1050666349502435	0.8090528791592078	0.9761732664217524	MS_WM_NULL_OR_WEAK	7.0	24.0	0.0003684924699233	-0.0167162413043635	0.4747335827123591	1.0	1.0	3.0	4.0	13.0	1.0	1.0	IBD_myeloid	IBD_myeloid	3.660171164213907	4.0	0.0		0.0		0.0	0.0	3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.0	do_not_promote_from_foundation_model																	BLOCKED_GENERIC_NEUTROPHIL_CHEMOKINE_LOW_MS_ANCHOR	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	14.0
IL1B	inflammatory_nfkb	4	4	3	3	-1.6949960469299326	0.8973958333333334	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	Crohn disease;ulcerative colitis	0		0		ibd_uc_myeloid:1.265,p=0.0116;ibd_uc_epithelial:0.568,p=0.0141;ibd_crohn_myeloid:1.062,p=0.0292;ibd_crohn_epithelial:0.431,p=0.0463	-0.4438671148785484	-0.4828107808113894	0.2706928133384321	0.9049965616313804	MS_WM_NULL_OR_WEAK											0.0	0.0				2.5	0.0		0.0		0.0	0.0	2.0	Crohn disease;ulcerative colitis	0.0																		BLOCKED_GENERIC_IL1_INFLAMMATION_AND_EXISTING_IL1_BLOCKADE	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	13.0
CCL4	inflammatory_nfkb	4	4	3	3	-1.533330874218231	0.8694010416666667	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	5	1	ulcerative colitis	0		0		ibd_uc_myeloid:0.68,p=0.0145	-0.0981219137349036	-0.100840627648996	0.8114413599753555	0.9761732664217524	MS_WM_NULL_OR_WEAK											0.0	0.0					0.0																										BLOCKED_BROAD_CHEMOKINE_REDUNDANCY	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	12.0
CCL3	inflammatory_nfkb	4	4	3	3	-1.3914078199742883	0.8479166666666667	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	5	1	ulcerative colitis	0		0		ibd_uc_myeloid:0.783,p=0.0407	-0.2101297312042689	-0.2519333477061233	0.5505093145587491	0.9390010612097776	MS_WM_NULL_OR_WEAK											0.0	0.0					0.0																										BLOCKED_BROAD_CHEMOKINE_REDUNDANCY	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	12.0
CCL2	inflammatory_nfkb	4	4	3	2	-1.4102593044201093	0.825	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	0		0		1	ulcerative colitis		0.0490525604706171	0.049947182378907	0.90646856397048	0.9859682246933096	MS_WM_NULL_OR_WEAK											0.0	0.0				15.0	5.0	AS;Crohn;Psoriasis;RA;UC	2.0	Crohn;UC	0.0	0.0	1.0	type 1 diabetes mellitus	0.0		2.201845169067383	NO_GO_WAVE62_TARGET_RESOLUTION		0.7018451690673828	UC	2.0	Crohn;UC	0.0	4.0	Celiac;Crohn;SLE;UC	0.0	1.0	type 1 diabetes mellitus	0.0490525604706171	0.90646856397048	0.9859682246933096	BLOCKED_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	12.0
ACSL1	lipid_loader_repair	4	4	3	2	-1.3279261929404635	0.8218005952380952	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	Crohn disease;ulcerative colitis	0		2	Sjogren syndrome;type 1 diabetes mellitus	ibd_crohn_myeloid:1.702,p=0.0145;ibd_uc_myeloid:1.978,p=0.0228;ibd_crohn_epithelial:0.128,p=0.0324	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418	MS_WM_NULL_OR_WEAK	7.0	14.0	1.905503735801091e-05	-0.0015333501978602	0.0328014320541298	0.0	0.0	2.0	5.0	13.0	0.0	0.0		IBD_myeloid	1.2725981210166508		0.0																										BLOCKED_AS_TARGET_DEMOTED_TO_MARKER_AFTER_MODULE_ADJUSTMENT	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	11.5
IFI30	ifn_apc;lysosomal_apc	4	4	3	2	-0.9749187121510496	0.79453125	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	1	ulcerative colitis	0		0		ibd_uc_myeloid:0.765,p=0.0365	0.21016237009791	0.3729738390500611	0.379946954952182	0.9141270983319502	MS_WM_NULL_OR_WEAK											0.0	0.0					0.0										1.6470071574432383	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	direct_antigen_processing_host_defense_and_druggability	0.6501023173332214	MS	1.0	MS	0.6501023173332214	3.0	Celiac;Crohn;MS	0.9959013728724722	3.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.21016237009791	0.379946954952182	0.9141270983319502	NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	11.5
GBP1	ifn_apc	4	4	2	2	-0.8449835988760043	0.7319568452380952	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	Crohn disease;ulcerative colitis	0		0		ibd_crohn_myeloid:2.005,p=0.00192;ibd_uc_myeloid:1.444,p=0.0102;ibd_crohn_epithelial:0.211,p=0.0205	0.491428502182563	0.8000728439177743	0.0681848307220474	0.8989378106274888	MS_WM_NULL_OR_WEAK											0.0	0.0					0.0																										NO_GO_IFN_RESPONSE_MARKER_NOT_DRUGGABLE_CONTROLLER	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	11.0
OSM	inflammatory_nfkb	4	4	2	2	-1.431254442057994	0.8145833333333333	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	6	2	Crohn disease;ulcerative colitis	0		0		ibd_uc_myeloid:0.826,p=0.0357;ibd_crohn_myeloid:0.494,p=0.0382	0.0762340874548801	0.0772104506000814	0.8590024396793193	0.9797533479060436	MS_WM_NULL_OR_WEAK											0.0	0.0					0.0																										BLOCKED_OSM_OSMR_IBD_RA_PRIOR_ART_AND_MS_DIRECTION_AMBIGUITY	NO_GO_PRIOR_ROUTE_OR_DRUGGABILITY_BLOCKED	10.0
