resource	label	query	count	top_hits	url
pubmed	SEL1L3_pubmed_perturbseq	SEL1L3[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=SEL1L3%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
gds	SEL1L3_gds_perturbseq	SEL1L3[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=SEL1L3%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
EuropePMC	SEL1L3_epmc_perturbseq	"""SEL1L3"" AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR scCRISPR)"	0		https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SEL1L3%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+scCRISPR%29&format=json&pageSize=5&resultType=lite
pubmed	FXYD5_pubmed_perturbseq	FXYD5[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=FXYD5%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
gds	FXYD5_gds_perturbseq	FXYD5[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=FXYD5%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
EuropePMC	FXYD5_epmc_perturbseq	"""FXYD5"" AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR scCRISPR)"	0		https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FXYD5%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+scCRISPR%29&format=json&pageSize=5&resultType=lite
pubmed	dysadherin_pubmed_perturbseq	dysadherin[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=dysadherin%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
gds	dysadherin_gds_perturbseq	dysadherin[All Fields] AND (Perturb-seq[All Fields] OR Perturbseq[All Fields] OR single-cell CRISPR[All Fields] OR scCRISPR[All Fields])	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=dysadherin%5BAll+Fields%5D+AND+%28Perturb-seq%5BAll+Fields%5D+OR+Perturbseq%5BAll+Fields%5D+OR+single-cell+CRISPR%5BAll+Fields%5D+OR+scCRISPR%5BAll+Fields%5D%29&retmode=json&retmax=5
EuropePMC	dysadherin_epmc_perturbseq	"""dysadherin"" AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR scCRISPR)"	1	40498965: EACR 2025 Congress: Innovative Cancer Science, 16-19 June 2025. (2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22dysadherin%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+scCRISPR%29&format=json&pageSize=5&resultType=lite
