gene	source_analysis	target_analysis	disease_name	target_module	positive_core_models	no_core_negative_nominal	m3_positive_perm_loo	m4_supportive	robust_positive	robust_negative	m3_slope	m3_p	m3_perm_p	m3_loo_positive_fraction	m4_slope	m4_p	model_signs
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	lysosomal_apc	True	True	True	True	True	False	1.2113539787791785	0.0034901387055257145	0.001999000499750125	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	lipid_loader_repair	True	True	True	True	True	False	0.6412312321236047	0.023620813102366484	0.015992003998001	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	lysosomal_apc	True	True	True	True	True	False	0.42594148250868635	0.03834714215082795	0.04547726136931534	1.0	0.5669042741909343	0.004331197797690754	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_crohn_epithelial	ibd_crohn_myeloid	Crohn disease	complement_phagocytosis	True	True	True	True	True	False	1.0553950751455867	0.04267881577100093	0.04297851074462768	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	complement_phagocytosis	True	True	False	True	False	False	0.6210147366690112	0.06130107336350997	0.05647176411794103	1.0	0.8689861839875166	0.01852466480385671	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	lipid_loader_repair	True	True	False	True	False	False	0.15176586860070165	0.25539674449400007	0.272863568215892	1.0			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	sjogren_gland_epithelial	sjogren_gland_apc	Sjogren syndrome	lipid_loader_repair	True	True	False	False	False	False	0.22811882734870406	0.3881643869255827	0.4287856071964018	1.0	0.3373085894724646	0.26014871313598426	M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M4_ifn_hla_extension:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	complement_phagocytosis	False	True	False	True	False	False	-0.11210030536162492	0.5923258230645335	0.5757121439280359	0.08333333333333333			M0_raw:-;M1_case:-;M2_target_inflammation:+;M3_source_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_uc_epithelial	ibd_uc_myeloid	ulcerative colitis	lysosomal_apc	True	True	False	True	False	False	0.010626493313274137	0.9604131099681764	0.9615192403798101	0.5833333333333334			M0_raw:+;M1_case:+;M2_target_inflammation:+;M3_source_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	complement_phagocytosis	False	False	False	True	False	False							M0_raw:-;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	lipid_loader_repair	False	True	False	True	False	False							M0_raw:+;M1_case:+;M2_target_inflammation:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	ibd_crohn_stromal	ibd_crohn_myeloid	Crohn disease	lysosomal_apc	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	complement_phagocytosis	False	True	False	True	False	False							M0_raw:-;M1_case:-;M2_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	lipid_loader_repair	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:+;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	ibd_uc_stromal	ibd_uc_myeloid	ulcerative colitis	lysosomal_apc	False	True	False	True	False	False							M0_raw:+;M1_case:-;M2_target_inflammation:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	psoriasis_keratinocyte	psoriasis_skin_apc	psoriasis	complement_phagocytosis	True	True	False	True	False	False							M0_raw:+;M1_case:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	psoriasis_keratinocyte	psoriasis_skin_apc	psoriasis	lipid_loader_repair	False	True	False	True	False	False							M0_raw:-;M1_case:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	psoriasis_keratinocyte	psoriasis_skin_apc	psoriasis	lysosomal_apc	False	True	False	True	False	False							M0_raw:+;M1_case:-;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	psoriasis_skin_stromal	psoriasis_skin_apc	psoriasis	complement_phagocytosis	False	True	False	True	False	False							M0_raw:-;M1_case:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	psoriasis_skin_stromal	psoriasis_skin_apc	psoriasis	lipid_loader_repair	False	True	False	True	False	False							M0_raw:-;M1_case:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	psoriasis_skin_stromal	psoriasis_skin_apc	psoriasis	lysosomal_apc	False	True	False	True	False	False							M0_raw:-;M1_case:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	sjogren_gland_stromal	sjogren_gland_apc	Sjogren syndrome	complement_phagocytosis	True	True	False	True	False	False							M0_raw:+;M1_case:+;M2_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
CD82	sjogren_gland_stromal	sjogren_gland_apc	Sjogren syndrome	lipid_loader_repair	False	True	False	True	False	False							M0_raw:+;M1_case:+;M2_target_inflammation:-;M5_adaptive_wave104_like:-;M6_target_context_excluding_outcome:-
CD82	sjogren_gland_stromal	sjogren_gland_apc	Sjogren syndrome	lysosomal_apc	True	True	False	True	False	False							M0_raw:+;M1_case:+;M2_target_inflammation:+;M5_adaptive_wave104_like:+;M6_target_context_excluding_outcome:+
