route	source	query	count	top_hits
TAM_receptor_agonism	PubMed	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (agonist OR activation OR GAS6 OR PROS1 OR ""Protein S"") AND (""multiple sclerosis"" OR EAE OR autoimmune OR lupus OR rheumatoid OR psoriasis OR colitis OR ""inflammatory bowel"")"	253	32601335: Distinct synovial tissue macrophage subsets regulate inflammation and remission in rheumatoid arthritis. | 35663975: The Role of M1/M2 Macrophage Polarization in Rheumatoid Arthritis Synovitis. | 39609125: Synovial tissue myeloid dendritic cell subsets exhibit distinct tissue-niche localization and function in health and rheumatoid arthritis. | 40452369: Efferocytosis and Its Role in Rheumatic Diseases. | 26799652: Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
TAM_receptor_agonism	PubMed	"(GAS6 OR PROS1 OR ""Protein S"") AND (MERTK OR MerTK OR AXL OR TYRO3) AND (efferocytosis OR macrophage OR microglia) AND autoimmune"	34	40589760: Hydroxychloroquine enhances efferocytosis and modulates inflammation via MerTK/Gas6 signaling in a pristane-induced lupus mouse model. | 41017741: PDGFRα(+)DPP4(+) Fibroblasts-Macrophage Crosstalk Induces Orbital Fibrosis in Treatment-Resistant Thyroid Eye Disease via the GAS6-AXL Pathway. | 33992683: Resolving inflammation by TAM receptor activation. | 38395061: GAS6/TAM Axis as Therapeutic Target in Liver Diseases. | 30335822: Tyro3/Axl/Mertk-deficient mice develop bone marrow edema which is an early pathological marker in rheumatoid arthritis.
TAM_receptor_agonism	EuropePMC	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (agonist OR activation OR GAS6 OR PROS1 OR ""Protein S"") AND (autoimmune OR ""multiple sclerosis"" OR lupus OR colitis)"	5856	41623683: Therapeutic potential of TAM receptors in autoimmune diseases: insights from original studies. [] | 41978837: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. [] | 41258149: From pathogenesis to therapeutic targeting: new insight into TAM receptors in rheumatoid arthritis. [] | 41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. [] | 40778495: Tyro3 deletion is protective in experimental autoimmune encephalomyelitis. []
TAM_receptor_agonism	EuropePMC	(MERTK OR MerTK OR AXL OR TYRO3) AND (bioRxiv OR medRxiv) AND (agonist OR GAS6 OR PROS1) AND autoimmune	48	PPR790434: Plasma proteomic associates of infection mortality in UK Biobank [] | 38935500: Microglial phagocytosis of single dying oligodendrocytes is mediated by CX3CR1 but not MERTK. [] | PPR745988: Spatial mapping of rheumatoid arthritis synovial niches reveals specific macrophage networks associated with response to therapy [] | 39293691: Skull bone marrow-derived immune cells infiltrate the injured cerebral cortex and exhibit anti-inflammatory properties. [] | 39570652: ACK1 and BRK non-receptor tyrosine kinase deficiencies are associated with familial systemic lupus and involved in efferocytosis. []
TAM_receptor_agonism	ClinicalTrials.gov	MERTK agonist	0	
TAM_receptor_agonism	ClinicalTrials.gov	GAS6	8	NCT04019288: AVB-S6-500 and Durvalumab in Treating Patients With Platinum-Resistant or Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer | TERMINATED | Platinum-Resistant Fallopian Tube Carcinoma; Platinum-Resistant Ovarian Carcinoma; Platinum-Resistant Primary Peritoneal Carcinoma | ['PHASE1', 'PHASE2'] | NCT03607955: Paclitaxel + Carboplatin With AVB-S6-500 in Women With Stage III or IV Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancer Receiving Neoadjuvant Chemotherapy | WITHDRAWN | Epithelial Ovarian Cancer; Primary Peritoneal Carcinoma; Fallopian Tube Cancer | ['PHASE1'] | NCT04518345: TP-0903 for the Treatment of FLT3 Mutated Acute Myeloid Leukemia | COMPLETED | Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia; Therapy-Related Acute Myeloid Leukemia | ['EARLY_PHASE1'] | NCT07535177: Gas6 and Soluble MerTK in Periodontal Diseases | RECRUITING | Periodontitis | [] | NCT05995522: Effect of Vitamin K2 Over Osteocalcin, Leptin, Cytokines, and Cardiovascular Risk in Young Adults With Overweight and Obesity | COMPLETED | Overweight and Obesity; Cardiometabolic Risk Factors | ['NA']
TAM_receptor_agonism	ClinicalTrials.gov	PROS1 Protein S autoimmune	8	NCT05230017: Chinese AntiphosPholipid Syndrome cohorT cOllaborative NEtworks | RECRUITING | Anti Phospholipid Syndrome | [] | NCT01649479: Comparative Prevalence of Psychiatric Manifestations in Purely Obstetrical Antiphospholipid Syndrome | TERMINATED | Antiphospholipid Syndrome | ['NA'] | NCT07023055: Serum TAM Receptor Tyrosine Kinase Ligands in Acute Pancreatitis | COMPLETED | Acute Pancreatic Necrosis; Acute Pancreatitis (AP) | [] | NCT06866769: Efficacy of Biomarkers and CEUS Versus CTA in AAA Follow-up Post-EVAR | RECRUITING | Abdominal Aortic Aneurysm Without Rupture | [] | NCT06727669: Longitudinal Cohort of Thrombosis and Hemostasis Diseases | RECRUITING | Immune Thrombocytopenia; Thrombotic Thrombocytopenic Purpura; Hemophilia A, Acquired | []
TAM_receptor_inhibition	PubMed	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (inhibitor OR antagonist OR blockade) AND (""multiple sclerosis"" OR EAE OR autoimmune OR lupus OR rheumatoid OR psoriasis OR colitis OR ""inflammatory bowel"")"	68	39570652: ACK1 and BRK non-receptor tyrosine kinase deficiencies are associated with familial systemic lupus and involved in efferocytosis. | 32075723: MerTK Blockade Fuels Anti-tumor Immunity. | 40589760: Hydroxychloroquine enhances efferocytosis and modulates inflammation via MerTK/Gas6 signaling in a pristane-induced lupus mouse model. | 39521598: AXL: A novel therapeutic target in IBD. | 40683675: Establishing Tyro3, Axl, and Mertk Chinese hamster ovary (CHO) reporter cell lines for cancer immunology and therapeutic applications.
TAM_receptor_inhibition	PubMed	"(bemcentinib OR gilteritinib OR ""AXL inhibitor"" OR ""MERTK inhibitor"") AND (autoimmune OR inflammatory OR lupus OR colitis OR arthritis)"	48	39977508: Neuronal FAM171A2 mediates α-synuclein fibril uptake and drives Parkinson's disease. | 40480981: GAS6/AXL signaling promotes M2 microglia efferocytosis to alleviate neuroinflammation in sepsis-associated encephalopathy. | 40329335: AXL promotes inflammatory breast cancer progression by regulating immunosuppressive macrophage polarization. | 39217874: Anti-inflammatory effects of MerTK by inducing M2 macrophage polarization via PI3K/Akt/GSK-3β pathway in gout. | 40589760: Hydroxychloroquine enhances efferocytosis and modulates inflammation via MerTK/Gas6 signaling in a pristane-induced lupus mouse model.
TAM_receptor_inhibition	EuropePMC	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (inhibitor OR antagonist OR blockade) AND autoimmune"	3574	41978837: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. [] | 41258149: From pathogenesis to therapeutic targeting: new insight into TAM receptors in rheumatoid arthritis. [] | 41993634: Advancements in nanomedicine for the therapeutic regulation of efferocytosis: opportunities and challenges. [] | 41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. [] | 41355868: Fluorinated pyrimidine 5-carboxamides as potential tools for MERTK targeted fluorine-18-PET-radioligand development. []
