route	direction	source	query	status	count	raw_path	url
TAM_receptor_agonism	agonism	PubMed	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (agonist OR activation OR GAS6 OR PROS1 OR ""Protein S"") AND (""multiple sclerosis"" OR EAE OR autoimmune OR lupus OR rheumatoid OR psoriasis OR colitis OR ""inflammatory bowel"")"	200	253	results_v3/wave32c_resolution_prior_art_audit/raw_api/pubmed__TAM_receptor_agonism__MERTK_OR_MerTK_OR_AXL_OR_TYRO3_OR_TAM_receptor_AND_agonist_OR_activation_OR_GAS6_OR_PROS1_.json	https://pubmed.ncbi.nlm.nih.gov/?term=%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3+OR+%22TAM+receptor%22%29+AND+%28agonist+OR+activation+OR+GAS6+OR+PROS1+OR+%22Protein+S%22%29+AND+%28%22multiple+sclerosis%22+OR+EAE+OR+autoimmune+OR+lupus+OR+rheumatoid+OR+psoriasis+OR+colitis+OR+%22inflammatory+bowel%22%29
TAM_receptor_agonism	agonism	PubMed	"(GAS6 OR PROS1 OR ""Protein S"") AND (MERTK OR MerTK OR AXL OR TYRO3) AND (efferocytosis OR macrophage OR microglia) AND autoimmune"	200	34	results_v3/wave32c_resolution_prior_art_audit/raw_api/pubmed__TAM_receptor_agonism__GAS6_OR_PROS1_OR_Protein_S_AND_MERTK_OR_MerTK_OR_AXL_OR_TYRO3_AND_efferocytosis_OR_macroph.json	https://pubmed.ncbi.nlm.nih.gov/?term=%28GAS6+OR+PROS1+OR+%22Protein+S%22%29+AND+%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3%29+AND+%28efferocytosis+OR+macrophage+OR+microglia%29+AND+autoimmune
TAM_receptor_agonism	agonism	EuropePMC	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (agonist OR activation OR GAS6 OR PROS1 OR ""Protein S"") AND (autoimmune OR ""multiple sclerosis"" OR lupus OR colitis)"	200	5856	results_v3/wave32c_resolution_prior_art_audit/raw_api/europepmc__TAM_receptor_agonism__MERTK_OR_MerTK_OR_AXL_OR_TYRO3_OR_TAM_receptor_AND_agonist_OR_activation_OR_GAS6_OR_PROS1_.json	https://europepmc.org/search?query=%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3+OR+%22TAM+receptor%22%29+AND+%28agonist+OR+activation+OR+GAS6+OR+PROS1+OR+%22Protein+S%22%29+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+colitis%29
TAM_receptor_agonism	agonism	EuropePMC	(MERTK OR MerTK OR AXL OR TYRO3) AND (bioRxiv OR medRxiv) AND (agonist OR GAS6 OR PROS1) AND autoimmune	200	48	results_v3/wave32c_resolution_prior_art_audit/raw_api/europepmc__TAM_receptor_agonism__MERTK_OR_MerTK_OR_AXL_OR_TYRO3_AND_bioRxiv_OR_medRxiv_AND_agonist_OR_GAS6_OR_PROS1_AND_aut.json	https://europepmc.org/search?query=%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3%29+AND+%28bioRxiv+OR+medRxiv%29+AND+%28agonist+OR+GAS6+OR+PROS1%29+AND+autoimmune
TAM_receptor_agonism	agonism	ClinicalTrials.gov	MERTK agonist	200	0	results_v3/wave32c_resolution_prior_art_audit/raw_api/clinicaltrials__TAM_receptor_agonism__MERTK_agonist.json	https://clinicaltrials.gov/search?term=MERTK+agonist
TAM_receptor_agonism	agonism	ClinicalTrials.gov	GAS6	200	8	results_v3/wave32c_resolution_prior_art_audit/raw_api/clinicaltrials__TAM_receptor_agonism__GAS6.json	https://clinicaltrials.gov/search?term=GAS6
TAM_receptor_agonism	agonism	ClinicalTrials.gov	PROS1 Protein S autoimmune	200	8	results_v3/wave32c_resolution_prior_art_audit/raw_api/clinicaltrials__TAM_receptor_agonism__PROS1_Protein_S_autoimmune.json	https://clinicaltrials.gov/search?term=PROS1+Protein+S+autoimmune
TAM_receptor_inhibition	inhibition	PubMed	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (inhibitor OR antagonist OR blockade) AND (""multiple sclerosis"" OR EAE OR autoimmune OR lupus OR rheumatoid OR psoriasis OR colitis OR ""inflammatory bowel"")"	200	68	results_v3/wave32c_resolution_prior_art_audit/raw_api/pubmed__TAM_receptor_inhibition__MERTK_OR_MerTK_OR_AXL_OR_TYRO3_OR_TAM_receptor_AND_inhibitor_OR_antagonist_OR_blockade_AND.json	https://pubmed.ncbi.nlm.nih.gov/?term=%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3+OR+%22TAM+receptor%22%29+AND+%28inhibitor+OR+antagonist+OR+blockade%29+AND+%28%22multiple+sclerosis%22+OR+EAE+OR+autoimmune+OR+lupus+OR+rheumatoid+OR+psoriasis+OR+colitis+OR+%22inflammatory+bowel%22%29
TAM_receptor_inhibition	inhibition	PubMed	"(bemcentinib OR gilteritinib OR ""AXL inhibitor"" OR ""MERTK inhibitor"") AND (autoimmune OR inflammatory OR lupus OR colitis OR arthritis)"	200	48	results_v3/wave32c_resolution_prior_art_audit/raw_api/pubmed__TAM_receptor_inhibition__bemcentinib_OR_gilteritinib_OR_AXL_inhibitor_OR_MERTK_inhibitor_AND_autoimmune_OR_inflamma.json	https://pubmed.ncbi.nlm.nih.gov/?term=%28bemcentinib+OR+gilteritinib+OR+%22AXL+inhibitor%22+OR+%22MERTK+inhibitor%22%29+AND+%28autoimmune+OR+inflammatory+OR+lupus+OR+colitis+OR+arthritis%29
TAM_receptor_inhibition	inhibition	EuropePMC	"(MERTK OR MerTK OR AXL OR TYRO3 OR ""TAM receptor"") AND (inhibitor OR antagonist OR blockade) AND autoimmune"	200	3574	results_v3/wave32c_resolution_prior_art_audit/raw_api/europepmc__TAM_receptor_inhibition__MERTK_OR_MerTK_OR_AXL_OR_TYRO3_OR_TAM_receptor_AND_inhibitor_OR_antagonist_OR_blockade_AND.json	https://europepmc.org/search?query=%28MERTK+OR+MerTK+OR+AXL+OR+TYRO3+OR+%22TAM+receptor%22%29+AND+%28inhibitor+OR+antagonist+OR+blockade%29+AND+autoimmune
