database	query	status	id	name	type	organism	url	raw_path
ChEMBL target	ABCA1	200	CHEMBL1641361	Phospholipid-transporting ATPase ABCA1	SINGLE PROTEIN	Mus musculus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL1641361/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ABCA1.json
ChEMBL target	ABCA1	200	CHEMBL2362986	Phospholipid-transporting ATPase ABCA1	SINGLE PROTEIN	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL2362986/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ABCA1.json
ChEMBL target	ALOX15	200	CHEMBL2381	Arachidonate 12-lipoxygenase	SINGLE PROTEIN	Sus scrofa	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL2381/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ALOX15.json
ChEMBL target	ALOX15	200	CHEMBL2741	Arachidonate 12-lipoxygenase	SINGLE PROTEIN	Rattus norvegicus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL2741/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ALOX15.json
ChEMBL target	ALOX15	200	CHEMBL2903	Polyunsaturated fatty acid lipoxygenase ALOX15	SINGLE PROTEIN	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL2903/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ALOX15.json
ChEMBL target	ALOX15	200	CHEMBL4358	Polyunsaturated fatty acid lipoxygenase ALOX15	SINGLE PROTEIN	Oryctolagus cuniculus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4358/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ALOX15.json
ChEMBL target	ALOX15	200	CHEMBL3259476	Polyunsaturated fatty acid lipoxygenase ALOX15	SINGLE PROTEIN	Mus musculus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3259476/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__ALOX15.json
ChEMBL target	AXL	200	CHEMBL4895	Tyrosine-protein kinase receptor UFO	SINGLE PROTEIN	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4895/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__AXL.json
ChEMBL target	AXL	200	CHEMBL5169079	Protein cereblon/AXL	PROTEIN-PROTEIN INTERACTION	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL5169079/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__AXL.json
ChEMBL target	AXL	200	CHEMBL4523666	TEL/AXL	CHIMERIC PROTEIN	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4523666/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__AXL.json
ChEMBL target	AXL	200	CHEMBL5465244	von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase receptor UFO	PROTEIN-PROTEIN INTERACTION	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL5465244/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__AXL.json
ChEMBL target	AXL	200	CHEMBL6066566	Tyrosine-protein kinase Mer/Tyrosine-protein kinase receptor UFO	PROTEIN FAMILY	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL6066566/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__AXL.json
ChEMBL target	FPR2	200	CHEMBL4227	N-formyl peptide receptor 2	SINGLE PROTEIN	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4227/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__FPR2.json
ChEMBL target	FPR2	200	CHEMBL4739842	Formyl peptide receptor 2	SINGLE PROTEIN	Mus musculus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4739842/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__FPR2.json
ChEMBL target	FPR2	200	CHEMBL3038479	fMet-Leu-Phe receptor 1/2	PROTEIN FAMILY	Homo sapiens	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3038479/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__FPR2.json
ChEMBL target	FPR2	200	CHEMBL3407315	Formyl peptide receptor-related sequence 1	SINGLE PROTEIN	Mus musculus	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3407315/	results_v3/wave32c_resolution_prior_art_audit/raw_api/chembl_target__FPR2.json
