source	gene	positive_disease_count	negative_disease_count	positive_fdr10_compartment_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	discovery_priority_score
broad_h5ad_gene_discovery	STAT1	3	0	0	Crohn disease;psoriasis;ulcerative colitis		0.5378996098681981	0.1363451431707629	0.8989378106274888	18.57678482091551
broad_h5ad_gene_discovery	CD74	4	1	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.2553907019006836	0.2187160729350419	0.8993702893651148	14.5
broad_h5ad_gene_discovery	MED16	2	0	0	Crohn disease;type 1 diabetes mellitus		-0.0601508185563499	0.8241295054203107	0.9761732664217524	9.0
broad_h5ad_gene_discovery	CIITA	2	0	0	Crohn disease;type 1 diabetes mellitus		-0.1592290360524426	0.5752493711426078	0.944231150833099	9.0
broad_h5ad_gene_discovery	CCNC	2	1	0	Crohn disease;ulcerative colitis	Crohn disease	0.2872210471681988	0.1694354583767501	0.8989378106274888	4.0
broad_h5ad_gene_discovery	MED23	1	0	0	Crohn disease		0.0317996351044662	0.8414584880631772	0.9761732664217524	4.0
broad_h5ad_gene_discovery	CDK8	1	0	0	Crohn disease		0.2627363759890375	0.2957111900709055	0.9075477698307116	4.0
broad_h5ad_gene_discovery	MED12	1	1	0	psoriasis	Sjogren syndrome	-0.1656637561262375	0.3621951006741888	0.9141270983319502	0.0
broad_h5ad_gene_discovery	CDK19	1	1	0	psoriasis	Sjogren syndrome	0.1847248653316384	0.3114712842194295	0.9101660033610162	0.0
broad_h5ad_gene_discovery	MED13	0	0	0			-0.0351427646586142	0.8727299420377506	0.9807593074474495	0.0
wave14_gsk3b_local_gate	CD74	5	0	3	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis					
wave14_gsk3b_local_gate	CIITA	3	0	2	Crohn disease;psoriasis;type 1 diabetes mellitus					
wave14_gsk3b_local_gate	MED16	2	0	1	Crohn disease;ulcerative colitis					
