sample_id	product_id	url
CSM5MCXD	CSM5MCXD	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCXD_taxonomic_profile.biom
CSM5MCYS	CSM5MCYS	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCYS_taxonomic_profile.biom
CSM67U9J	CSM67U9J	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67U9J_taxonomic_profile.biom
CSM67UA2	CSM67UA2	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UA2_taxonomic_profile.biom
CSM67UGC	CSM67UGC	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UGC_taxonomic_profile.biom
CSM79HG5	CSM79HG5	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM79HG5_taxonomic_profile.biom
CSM79HGP	CSM79HGP	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM79HGP_taxonomic_profile.biom
CSM5MCVL	CSM5MCVL	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCVL_taxonomic_profile.biom
CSM5MCVN	CSM5MCVN	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCVN_taxonomic_profile.biom
CSM67UBF	CSM67UBF	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UBF_taxonomic_profile.biom
CSM67UBH	CSM67UBH	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UBH_taxonomic_profile.biom
CSM67UBN	CSM67UBN	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UBN_taxonomic_profile.biom
CSM67UBR	CSM67UBR	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UBR_taxonomic_profile.biom
CSM79HJW	CSM79HJW	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM79HJW_taxonomic_profile.biom
CSM79HJY	CSM79HJY	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM79HJY_taxonomic_profile.biom
CSM5FZ4M	CSM5FZ4M	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5FZ4M_taxonomic_profile.biom
CSM5MCWQ	CSM5MCWQ	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCWQ_taxonomic_profile.biom
CSM67UBX	CSM67UBX	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UBX_taxonomic_profile.biom
