dataset	system	module	n	effect_post_minus_pre	p	fdr	note
GSE183047	psoriasis_secukinumab_myeloid_apc_like	complement_phagocytosis	4	-0.2298912004275605	0.0652902808363822	0.9746745559541504	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	hif_nampt_metabolic	4	-0.0283425107811834	0.6984370375343655	1.0	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	hla_ii_apc	4	-0.2072477692075008	0.5250152357140361	1.0	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	ifn_apc	4	-0.203260057040912	0.2436645314516889	0.9746745559541504	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	il17_keratinocyte_inflammation	4	-0.4988988665994913	0.1130823354447519	0.9746745559541504	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	inflammatory_nfkb	4	-0.0705403850133464	0.33447296188207	1.0	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	lipid_loader_repair	4	-0.0746882813279917	0.5129028104961393	1.0	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	lysosomal_apc	4	-0.2083469576235257	0.0198361269680745	0.7426697512616767	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	mif_cd74_receptor_state	4	-0.249084355967583	0.3980937583504341	1.0	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	mixscale_validated_ifng_readout	4	-0.1795388048540151	0.2265430134773833	0.9746745559541504	pharmacodynamic only; no responder/non-responder stratification
GSE183047	psoriasis_secukinumab_myeloid_apc_like	regulatory_dc_markers	4	-0.1827998257368343	0.1097388708143147	0.9746745559541504	pharmacodynamic only; no responder/non-responder stratification
