	hla_ii_apc	ifn_apc	lysosomal_apc	mif_cd74_receptor_state
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=NR	-0.24859027033510808	-1.0248686463849501	-1.1318272110330883	0.037207919698050804
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=R	-0.3003001937582315	-1.4269480753314243	-1.4247046484396604	-0.1400168603424992
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=NR	-0.35353416634681156	-0.9899743613102887	-0.9811241542377397	0.00839357177130471
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=R	-0.6410179965651179	-1.5097281051898361	-1.3274540578319192	-0.3606078033182216
GSE183047|secukinumab|marker_compartment=keratinocyte_like	-0.026332363397472983	-0.06132020771710256	0.03545485115048539	-0.08143005635644969
GSE183047|secukinumab|marker_compartment=myeloid_apc_like	-0.2272505344209078	-0.21372681081434247	-0.18084907747889128	-0.2693342624278827
GSE183047|secukinumab|marker_compartment=t_cell_like	-0.06444502389403949	-0.09848772449716231	0.0036549148269326426	-0.05442972990064945
GSE235357|dimethyl fumarate|response=NR	-0.4096278047203451	-0.879562592036773	0.06452470404957195	-0.443274459317066
GSE235357|dimethyl fumarate|response=R	-0.010949531153772974	-0.46518727673837645	0.5686972458704893	-0.3543456058628843
GSE24742|rituximab|response=good	-0.7011378769375779	-0.9298766738347649	-0.3274725851767981	-0.7421274660155007
GSE24742|rituximab|response=moderate	-0.20273805069118822	-0.34183308339593704	-0.13680070907031353	-0.10837479327851303
GSE24742|rituximab|response=poor	-0.06650169462704314	-0.10193938512782362	-0.25236905682315586	0.014176670505678094
GSE250453|fingolimod|response=NR	-1.884667750739212	-0.7890917467667447	-0.10335075746213582	-1.1647303339063586
GSE250453|fingolimod|response=R	-1.361159652129238	-0.4820349056311192	0.5691357741301061	-1.1691889346533355
GSE253006|tofacitinib|group=No responder;marker_compartment=b_plasma_like	0.2705492513885443	0.30428526809726403	0.05294981780207425	0.2934593417545398
GSE253006|tofacitinib|group=No responder;marker_compartment=epithelial_like	0.1403040291071951	0.15120547647744584	0.07791604375835298	0.14639139546093183
GSE253006|tofacitinib|group=No responder;marker_compartment=myeloid_apc_like	0.0488778630757158	0.15043660093968914	0.030971538373371073	0.05113600420090604
GSE253006|tofacitinib|group=No responder;marker_compartment=stromal_endothelial_like	-0.10701543940780117	0.04925144797013893	-0.05612965161219238	-0.06241899124754832
GSE253006|tofacitinib|group=No responder;marker_compartment=t_cell_like	-0.038390797109728605	0.007214056322444831	-0.02378442203520598	-0.08200417584372324
GSE253006|tofacitinib|group=Responder;marker_compartment=b_plasma_like	-0.19728854422824937	-0.16215872073837806	-0.01781227496097148	-0.22660981646435974
GSE253006|tofacitinib|group=Responder;marker_compartment=epithelial_like	-0.29015679791334537	-0.26355949659173705	-0.046549760420340036	-0.327501425113525
GSE253006|tofacitinib|group=Responder;marker_compartment=myeloid_apc_like	0.14908605187644747	-0.05081286421129436	-0.10992292164709969	0.04954865710372391
GSE253006|tofacitinib|group=Responder;marker_compartment=stromal_endothelial_like	-0.06787578708881509	-0.24953374268938386	-0.22798910842423567	-0.1200847099020713
GSE253006|tofacitinib|group=Responder;marker_compartment=t_cell_like	-0.11973839149879402	-0.14367350840089022	-0.06654245797357208	-0.08873732358386013
