dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	ifn_apc	9	-1.9255434007258156	-1.7456604993280438	-5.272955126513753	0.0007525962550074363	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.005420330681231634
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	hla_ii_apc	9	-1.1544738997911397	-1.1055940814974616	-3.634872199379995	0.006638041357729385	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.011948474443912893
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	lysosomal_apc	9	-1.0319543302689347	-1.0139368026283133	-4.230735797609949	0.002873478890715151	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.00646532750410909
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	mif_cd74_receptor_state	9	0.11227318362226733	0.017007613870865912	0.3431173044517324	0.740352451795128	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.740352451795128
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	mixscale_validated_ifng_readout	9	-0.6741986513441963	-0.6896195027243217	-4.4397677112315295	0.002168616372839029	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.00646532750410909
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	lipid_loader_repair	9	0.22042770892309035	0.14625764025068413	1.6010938759025284	0.14802374216878694	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.19031623993129748
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	complement_phagocytosis	9	0.09905257132234231	-0.0420802817260425	0.5037249655528104	0.6280302816504677	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.7065340668567762
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	hif_nampt_metabolic	9	-0.8097438633091034	-0.8593475586740383	-3.319593961239223	0.010546448010664022	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.015819672015996034
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	inflammatory_nfkb	9	-0.8434979223495347	-0.6775045007810485	-4.892909616192088	0.0012045179291625852	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.005420330681231634
GSE106992	IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	ifn_apc	18	-2.4393785909674586	-2.314695356430879	-13.099026505442014	2.6038891440373574e-10	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	2.343500229633622e-09
