truth	scenario	severity	cohorts	primary_pass_rate	individual_guard_flag_rate	individual_guarded_acceptable_pass_rate	joint_guard_flag_rate	joint_guarded_acceptable_pass_rate	mean_auc	mean_joint_technical_attenuation	mean_max_feature_metadata_auc	mean_max_feature_abs_spearman	mean_max_feature_attenuation
planted	batch_only	0.0	80	0.875	0.6375	0.3375	0.1125	0.775	0.786986111111111	0.015194444444444444	0.6096944444444444	0.21112933054060173	0.014736111111111106
planted	batch_only	0.25	80	0.8875	0.75	0.2125	0.1875	0.7375	0.7862916666666667	0.022763888888888896	0.6244027777777778	0.2423751772806318	0.02286111111111111
planted	batch_only	0.5	80	0.9125	1.0	0.0	0.475	0.4625	0.7935416666666667	0.050763888888888886	0.6880694444444444	0.3163556875709864	0.052208333333333336
planted	batch_only	0.75	80	0.9625	1.0	0.0	0.8	0.1875	0.8019444444444443	0.105125	0.7677083333333333	0.40590002678265574	0.1093611111111111
planted	batch_only	1.0	80	0.9625	1.0	0.0	0.9875	0.0	0.8155416666666667	0.17038888888888887	0.849375	0.48989893865987516	0.1845138888888889
planted	batch_plus_depth	0.0	80	0.95	0.5375	0.4375	0.05	0.9	0.7869166666666667	0.01006944444444444	0.6101805555555556	0.20545225996780275	0.014638888888888885
planted	batch_plus_depth	0.25	80	0.975	0.8125	0.1875	0.225	0.75	0.7925833333333333	0.030194444444444433	0.6399722222222223	0.24805891377369874	0.028138888888888887
planted	batch_plus_depth	0.5	80	0.975	0.9875	0.0125	0.6875	0.2875	0.8140416666666667	0.07497222222222223	0.6996249999999999	0.3352750127704395	0.06084722222222222
planted	batch_plus_depth	0.75	80	0.975	1.0	0.0	0.975	0.025	0.8341388888888888	0.13654166666666667	0.7721250000000001	0.45031896377900543	0.12001388888888889
planted	batch_plus_depth	1.0	80	1.0	1.0	0.0	1.0	0.0	0.8527083333333334	0.22195833333333334	0.8579166666666668	0.5288822355443454	0.2028611111111111
planted	batch_plus_steroid	0.0	80	0.8875	0.65	0.3125	0.0125	0.875	0.7850416666666666	0.007861111111111114	0.6072083333333333	0.19728420278217557	0.014055555555555566
planted	batch_plus_steroid	0.25	80	0.95	0.75	0.2125	0.225	0.725	0.7931805555555556	0.02698611111111112	0.627	0.24017842788540672	0.024624999999999998
planted	batch_plus_steroid	0.5	80	0.9375	0.975	0.025	0.7	0.2375	0.8092222222222223	0.06895833333333333	0.6761111111111111	0.3389113233236936	0.046069444444444455
planted	batch_plus_steroid	0.75	80	0.95	1.0	0.0	0.9125	0.075	0.814125	0.1231111111111111	0.7355694444444445	0.430204395676465	0.09305555555555556
planted	batch_plus_steroid	1.0	80	0.9875	1.0	0.0	0.9875	0.0125	0.8544583333333333	0.17777777777777776	0.78675	0.5173539606360276	0.13802777777777778
planted	distributed_weak_technical	0.0	80	0.9	0.5625	0.4	0.1	0.8	0.7843333333333333	0.01011111111111111	0.6083888888888889	0.19288601897255264	0.013652777777777778
planted	distributed_weak_technical	0.25	80	0.9375	0.625	0.3375	0.1125	0.825	0.7769444444444444	0.015611111111111107	0.61275	0.239567288779548	0.017499999999999995
planted	distributed_weak_technical	0.5	80	0.9625	0.825	0.1625	0.25	0.7125	0.7880694444444444	0.029569444444444443	0.6294722222222222	0.315614585684674	0.028902777777777788
planted	distributed_weak_technical	0.75	80	0.9875	0.9625	0.0375	0.65	0.3375	0.8131944444444444	0.07254166666666667	0.6679861111111112	0.3825352194411492	0.05494444444444445
planted	distributed_weak_technical	1.0	80	0.9625	1.0	0.0	0.8125	0.1625	0.8204305555555556	0.09884722222222223	0.6883472222222222	0.44157681423525014	0.07098611111111111
planted	immune_tone_plus_batch	0.0	80	0.725	0.7125	0.2375	0.1125	0.6375	0.7349305555555555	0.010888888888888896	0.6164305555555556	0.2086581517617429	0.016000000000000004
planted	immune_tone_plus_batch	0.25	80	0.8625	0.7875	0.1875	0.15	0.7375	0.7650138888888889	0.018763888888888892	0.6210833333333333	0.238088049061233	0.02148611111111111
planted	immune_tone_plus_batch	0.5	80	0.9375	0.775	0.2	0.2125	0.725	0.7967916666666667	0.02525	0.6319861111111111	0.2563872328746205	0.02819444444444443
planted	immune_tone_plus_batch	0.75	80	0.975	0.9625	0.0375	0.4	0.5875	0.818	0.03947222222222223	0.6670694444444444	0.3297774564980934	0.04763888888888888
planted	immune_tone_plus_batch	1.0	80	0.9875	1.0	0.0	0.6	0.3875	0.836125	0.06091666666666666	0.7023472222222222	0.3781369805002792	0.06744444444444445
planted	independent_technical	0.0	80	0.9625	0.725	0.275	0.0875	0.875	0.8005694444444444	0.016833333333333346	0.6170694444444444	0.21005704868022193	0.016958333333333346
planted	independent_technical	0.25	80	0.9125	0.65	0.3125	0.05	0.8625	0.778	0.009097222222222225	0.6096527777777778	0.19666269036601233	0.014986111111111106
planted	independent_technical	0.5	80	0.925	0.6875	0.275	0.05	0.875	0.7886111111111112	0.01315277777777778	0.6137916666666666	0.20328828942867658	0.017305555555555553
planted	independent_technical	0.75	80	0.9375	0.6875	0.3	0.0875	0.85	0.7981666666666667	0.013680555555555548	0.6169305555555555	0.19621929457770984	0.016097222222222218
planted	independent_technical	1.0	80	0.9125	0.6625	0.3125	0.075	0.8375	0.7793194444444445	0.013652777777777772	0.6134861111111112	0.1933235859805323	0.015097222222222217
planted	normalization_plus_depth	0.0	80	0.95	0.5125	0.4625	0.0625	0.8875	0.7854583333333334	0.012083333333333338	0.6080277777777778	0.20042519606481202	0.01556944444444445
planted	normalization_plus_depth	0.25	80	0.95	0.8625	0.125	0.4125	0.5375	0.7937083333333333	0.037722222222222226	0.6371666666666667	0.3295201492447864	0.032625
planted	normalization_plus_depth	0.5	80	0.9875	0.975	0.025	0.6875	0.3	0.8184861111111111	0.07116666666666666	0.6851666666666667	0.4962689142692576	0.06263888888888888
planted	normalization_plus_depth	0.75	80	1.0	1.0	0.0	0.8875	0.1125	0.8437777777777777	0.11812500000000001	0.7321805555555556	0.617404834676299	0.0942361111111111
planted	normalization_plus_depth	1.0	80	1.0	1.0	0.0	0.9875	0.0125	0.8778472222222222	0.18990277777777778	0.791125	0.7140948874687415	0.14838888888888888
synthetic_null	batch_only	0.0	80	0.0	0.6375	0.0	0.0	0.0	0.49733333333333335	-0.052097222222222225	0.6166666666666667	0.19556019732407146	-0.04173611111111112
synthetic_null	batch_only	0.25	80	0.0	0.8875	0.0	0.0375	0.0	0.505	-0.05486111111111112	0.6340277777777777	0.23954479709574378	-0.041236111111111105
synthetic_null	batch_only	0.5	80	0.0	1.0	0.0	0.1375	0.0	0.5229722222222223	-0.030777777777777775	0.6869305555555555	0.3021434850291532	-0.013694444444444448
synthetic_null	batch_only	0.75	80	0.025	1.0	0.0	0.3	0.0	0.5487638888888889	-0.0047499999999999955	0.7604444444444445	0.36847974723294363	0.013263888888888898
synthetic_null	batch_only	1.0	80	0.05	1.0	0.0	0.575	0.0	0.5935833333333334	0.05287499999999999	0.853125	0.40164361986906466	0.059777777777777784
synthetic_null	batch_plus_depth	0.0	80	0.025	0.6125	0.0125	0.025	0.025	0.4943194444444444	-0.06376388888888887	0.6108055555555556	0.19922083517946082	-0.05443055555555556
synthetic_null	batch_plus_depth	0.25	80	0.0	0.8	0.0	0.0625	0.0	0.5097777777777778	-0.04798611111111112	0.6315277777777778	0.23298360077756194	-0.035402777777777776
synthetic_null	batch_plus_depth	0.5	80	0.05	0.9625	0.0	0.225	0.0	0.5597361111111111	0.008944444444444446	0.6920555555555555	0.2930483738034476	0.01827777777777779
synthetic_null	batch_plus_depth	0.75	80	0.1625	1.0	0.0	0.5375	0.0	0.5899305555555555	0.043555555555555556	0.7643194444444444	0.3724121275296338	0.0477638888888889
synthetic_null	batch_plus_depth	1.0	80	0.2125	1.0	0.0	0.7375	0.0	0.638	0.09716666666666667	0.8436388888888888	0.4339341367498073	0.10318055555555557
synthetic_null	batch_plus_steroid	0.0	80	0.0	0.675	0.0	0.0125	0.0	0.511263888888889	-0.048125	0.6209305555555555	0.20528943632136887	-0.03761111111111111
synthetic_null	batch_plus_steroid	0.25	80	0.0	0.75	0.0	0.025	0.0	0.4974444444444444	-0.05640277777777778	0.62425	0.24576991340635762	-0.04477777777777778
synthetic_null	batch_plus_steroid	0.5	80	0.0	0.95	0.0	0.2625	0.0	0.5520555555555555	0.0026666666666666635	0.6727361111111112	0.3047215010594483	0.011333333333333338
synthetic_null	batch_plus_steroid	0.75	80	0.0875	1.0	0.0	0.6125	0.0	0.5975277777777778	0.04048611111111111	0.7360555555555556	0.37667573115198366	0.04626388888888889
synthetic_null	batch_plus_steroid	1.0	80	0.25	1.0	0.0	0.8	0.0	0.6540972222222222	0.10780555555555556	0.7811805555555555	0.44479480129587834	0.09543055555555556
synthetic_null	distributed_weak_technical	0.0	80	0.0	0.6	0.0	0.0125	0.0	0.5009166666666667	-0.060736111111111116	0.6063888888888889	0.2063226065016052	-0.04776388888888889
synthetic_null	distributed_weak_technical	0.25	80	0.0	0.675	0.0	0.0625	0.0	0.5151111111111111	-0.047069444444444435	0.6219444444444444	0.2283494997548896	-0.03277777777777778
synthetic_null	distributed_weak_technical	0.5	80	0.0	0.7875	0.0	0.1	0.0	0.5193749999999999	-0.035666666666666666	0.6287361111111112	0.31210023881071614	-0.01631944444444443
synthetic_null	distributed_weak_technical	0.75	80	0.0375	0.9625	0.0	0.2875	0.0	0.5523611111111111	-0.011833333333333342	0.6545416666666666	0.3511756129289997	0.005958333333333334
