confounder	raw_locked_auc	raw_locked_auc_ci_low	raw_locked_auc_ci_high	confounder_auc_oriented	confounder_orientation	spearman_with_locked	adjusted_locked_auc	adjusted_auc_ci_low	adjusted_auc_ci_high	adjusted_permutation_p	loocv_auc_confounder_only	loocv_auc_locked_plus_confounder	auc_attenuation	verdict
delta_ifn_suppression_inverse_isg	0.8111111111111111	0.5714285714285714	1.0	0.7222222222222222	-1	-0.6719298245614035	0.7888888888888889	0.5454545454545454	0.9888888888888889	0.021989005497251374	0.5777777777777777	0.7333333333333333	0.022222222222222254	survives
delta_t_cell_composition	0.8111111111111111	0.5714285714285714	1.0	0.6888888888888889	-1	-0.6666666666666666	0.8	0.5594561688311689	1.0	0.019490254872563718	0.5888888888888889	0.7222222222222222	0.011111111111111072	survives
baseline_proliferation	0.8111111111111111	0.5714285714285714	1.0	0.6111111111111112	1	0.3929824561403509	0.8111111111111111	0.6111111111111112	0.9762175324675323	0.014992503748125937	0.3333333333333333	0.7444444444444445	0.0	survives
baseline_t_cell_composition	0.8111111111111111	0.5714285714285714	1.0	0.5222222222222223	1	0.3543859649122807	0.8111111111111111	0.5909090909090909	0.9777777777777777	0.015992003998001	0.0	0.7	0.0	survives
baseline_ifn_suppression_inverse_isg	0.8111111111111111	0.5714285714285714	1.0	0.6	1	0.3350877192982456	0.8222222222222222	0.5951298701298702	1.0	0.015992003998001	0.32222222222222224	0.7222222222222222	-0.011111111111111072	survives
baseline_b_cell_composition	0.8111111111111111	0.5714285714285714	1.0	0.5111111111111111	1	0.28070175438596495	0.8333333333333334	0.6190476190476191	1.0	0.009995002498750625	0.0	0.7555555555555555	-0.022222222222222254	survives
delta_b_cell_composition	0.8111111111111111	0.5714285714285714	1.0	0.6222222222222222	-1	-0.46140350877192987	0.8333333333333334	0.613474025974026	1.0	0.00849575212393803	0.43333333333333335	0.6888888888888889	-0.022222222222222254	survives
delta_oxphos	0.8111111111111111	0.5714285714285714	1.0	0.5666666666666667	1	0.03859649122807017	0.8444444444444444	0.6363636363636364	1.0	0.0069965017491254375	0.4222222222222222	0.6888888888888889	-0.033333333333333326	survives
baseline_apc_hla_level	0.8111111111111111	0.5714285714285714	1.0	0.5111111111111111	1	-0.5807017543859649	0.8555555555555555	0.7045454545454546	1.0	0.0079960019990005	0.0	0.7333333333333333	-0.0444444444444444	survives
baseline_glucocorticoid_response	0.8111111111111111	0.5714285714285714	1.0	0.5444444444444444	1	0.4333333333333333	0.8555555555555555	0.6444444444444445	1.0	0.006496751624187906	0.15555555555555556	0.7	-0.0444444444444444	survives
delta_stat1_axis	0.8111111111111111	0.5714285714285714	1.0	0.6111111111111112	-1	-0.5719298245614035	0.8555555555555555	0.6110119047619048	1.0	0.005997001499250375	0.5222222222222223	0.7333333333333333	-0.0444444444444444	survives
baseline_stat1_axis	0.8111111111111111	0.5714285714285714	1.0	0.5666666666666667	-1	0.28596491228070176	0.8666666666666667	0.6590909090909091	1.0	0.00399800099950025	0.1	0.8	-0.05555555555555558	survives
baseline_oxphos	0.8111111111111111	0.5714285714285714	1.0	0.5333333333333333	-1	0.22807017543859648	0.8888888888888888	0.6888888888888889	1.0	0.0024987506246876563	0.0	0.8	-0.07777777777777772	survives
delta_general_inflammatory_tone	0.8111111111111111	0.5714285714285714	1.0	0.5	1	-0.2	0.8888888888888888	0.6856547619047619	1.0	0.001999000499750125	0.0	0.7777777777777778	-0.07777777777777772	survives
baseline_monocyte_myeloid_composition	0.8111111111111111	0.5714285714285714	1.0	0.6666666666666667	-1	0.04035087719298246	0.8888888888888888	0.6785714285714286	1.0	0.0029985007496251873	0.45555555555555555	0.7777777777777778	-0.07777777777777772	survives
delta_glycolysis	0.8111111111111111	0.5714285714285714	1.0	0.6888888888888889	-1	-0.6578947368421053	0.9	0.7142857142857143	1.0	0.0009995002498750624	0.15555555555555556	0.7666666666666667	-0.0888888888888889	survives
delta_glucocorticoid_response	0.8111111111111111	0.5714285714285714	1.0	0.5777777777777777	1	-0.13684210526315788	0.9	0.6931599650349651	1.0	0.001999000499750125	0.0	0.8222222222222222	-0.0888888888888889	survives
baseline_general_inflammatory_tone	0.8111111111111111	0.5714285714285714	1.0	0.5888888888888889	-1	0.26666666666666666	0.9111111111111111	0.717948717948718	1.0	0.0024987506246876563	0.34444444444444444	0.7888888888888889	-0.09999999999999998	survives
delta_monocyte_myeloid_composition	0.8111111111111111	0.5714285714285714	1.0	0.6	-1	-0.3649122807017544	0.9222222222222223	0.7333333333333333	1.0	0.001999000499750125	0.0	0.7777777777777778	-0.11111111111111116	survives
delta_immunometabolism_hif_nampt	0.8111111111111111	0.5714285714285714	1.0	0.5666666666666667	-1	-0.5508771929824561	0.9333333333333333	0.7857142857142857	1.0	0.001999000499750125	0.0	0.7666666666666667	-0.12222222222222223	survives
baseline_glycolysis	0.8111111111111111	0.5714285714285714	1.0	0.5333333333333333	-1	0.5719298245614035	0.9444444444444444	0.8214285714285714	1.0	0.0009995002498750624	0.0	0.8	-0.1333333333333333	survives
delta_proliferation	0.8111111111111111	0.5714285714285714	1.0	0.7111111111111111	1	-0.28070175438596495	0.9555555555555556	0.8461538461538461	1.0	0.0009995002498750624	0.15555555555555556	0.7666666666666667	-0.1444444444444445	survives
baseline_immunometabolism_hif_nampt	0.8111111111111111	0.5714285714285714	1.0	0.6333333333333333	-1	0.41052631578947374	0.9777777777777777	0.9047619047619048	1.0	0.0004997501249375312	0.4	0.9222222222222223	-0.16666666666666663	survives
