features	risk_set	raw_locked_auc	joint_adjusted_auc	joint_adjusted_auc_ci_low	joint_adjusted_auc_ci_high	joint_adjusted_permutation_p	loocv_auc_confounders_only	loocv_auc_locked_plus_confounders	auc_attenuation	verdict
baseline_apc_hla_level;baseline_glucocorticoid_response;delta_glucocorticoid_response	baseline_and_steroid	0.8111111111111111	0.9333333333333333	0.7954545454545454	1.0	0.001999000499750125	0.15555555555555556	0.7888888888888889	-0.12222222222222223	survives
baseline_monocyte_myeloid_composition;delta_monocyte_myeloid_composition;baseline_t_cell_composition;delta_t_cell_composition;baseline_b_cell_composition;delta_b_cell_composition	composition	0.8111111111111111	0.8111111111111111	0.566602564102564	0.9886426767676767	0.012993503248375811	0.4666666666666667	0.6222222222222222	0.0	survives
baseline_glycolysis;delta_glycolysis;baseline_immunometabolism_hif_nampt;delta_immunometabolism_hif_nampt;baseline_general_inflammatory_tone;delta_general_inflammatory_tone;baseline_stat1_axis;delta_stat1_axis;baseline_ifn_suppression_inverse_isg;delta_ifn_suppression_inverse_isg	metabolic_inflammatory_stat1	0.8111111111111111	0.6555555555555556	0.38622835497835495	0.8977840909090906	0.1629185407296352	0.6111111111111112	0.7333333333333333	0.15555555555555556	attenuates
