cohort	module	n_genes	n_present	fraction_present	present_genes
GSE235357	IFN_APC	7	7	1.0	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA
GSE235357	HLAII	6	6	1.0	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE235357	glycolysis	14	14	1.0	HK1;HK2;GPI;PFKP;PFKM;ALDOA;GAPDH;PGK1;PGAM1;ENO1;PKM;LDHA;SLC2A1;PFKFB3
GSE235357	oxphos	13	13	1.0	NDUFA1;NDUFA2;NDUFA9;NDUFB8;SDHA;SDHB;UQCRC1;UQCRC2;COX4I1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1
GSE235357	immunometabolism_hif_nampt	10	10	1.0	NAMPT;HIF1A;SLC2A1;LDHA;PFKFB3;ENO1;HK2;VEGFA;BNIP3;NDRG1
GSE235357	glucocorticoid_response	10	9	0.9	FKBP5;TSC22D3;DUSP1;KLF9;ZBTB16;PER1;SGK1;NFKBIA;SOCS1
GSE235357	general_inflammatory_tone	11	11	1.0	IL1B;TNF;IL6;CXCL8;CCL2;NFKB1;NFKBIA;PTGS2;ICAM1;JUN;FOS
GSE235357	ifn_suppression_inverse_isg	10	10	1.0	ISG15;IFI6;IFI44L;MX1;OAS1;OAS2;IFIT1;IFIT3;RSAD2;CXCL10
GSE235357	stat1_axis	9	9	1.0	STAT1;IRF1;GBP1;GBP2;CXCL10;IDO1;TAP1;PSMB9;WARS1
GSE235357	proliferation	10	10	1.0	MKI67;TOP2A;PCNA;MCM2;MCM5;TYMS;UBE2C;BIRC5;CDK1;CCNB1
GSE235357	monocyte_myeloid_composition	9	9	1.0	LYZ;LST1;S100A8;S100A9;FCGR3A;MS4A7;CD14;CTSS;CST3
GSE235357	t_cell_composition	8	7	0.875	CD3D;CD3E;CD4;CD8A;IL7R;CCR7;NKG7
GSE235357	b_cell_composition	6	6	1.0	MS4A1;CD79A;CD79B;CD74;BANK1;CD19
GSE253006_TOF_exact	IFN_APC	7	7	1.0	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA
GSE253006_TOF_exact	HLAII	6	6	1.0	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE253006_TOF_exact	glycolysis	14	14	1.0	HK1;HK2;GPI;PFKP;PFKM;ALDOA;GAPDH;PGK1;PGAM1;ENO1;PKM;LDHA;SLC2A1;PFKFB3
GSE253006_TOF_exact	oxphos	13	13	1.0	NDUFA1;NDUFA2;NDUFA9;NDUFB8;SDHA;SDHB;UQCRC1;UQCRC2;COX4I1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1
GSE253006_TOF_exact	immunometabolism_hif_nampt	10	10	1.0	NAMPT;HIF1A;SLC2A1;LDHA;PFKFB3;ENO1;HK2;VEGFA;BNIP3;NDRG1
GSE253006_TOF_exact	glucocorticoid_response	10	10	1.0	FKBP5;TSC22D3;DUSP1;KLF9;ZBTB16;PER1;SGK1;NFKBIA;GILZ;SOCS1
GSE253006_TOF_exact	general_inflammatory_tone	11	11	1.0	IL1B;TNF;IL6;CXCL8;CCL2;NFKB1;NFKBIA;PTGS2;ICAM1;JUN;FOS
GSE253006_TOF_exact	ifn_suppression_inverse_isg	10	10	1.0	ISG15;IFI6;IFI44L;MX1;OAS1;OAS2;IFIT1;IFIT3;RSAD2;CXCL10
GSE253006_TOF_exact	stat1_axis	9	9	1.0	STAT1;IRF1;GBP1;GBP2;CXCL10;IDO1;TAP1;PSMB9;WARS1
GSE253006_TOF_exact	proliferation	10	10	1.0	MKI67;TOP2A;PCNA;MCM2;MCM5;TYMS;UBE2C;BIRC5;CDK1;CCNB1
GSE253006_TOF_exact	monocyte_myeloid_composition	9	9	1.0	LYZ;LST1;S100A8;S100A9;FCGR3A;MS4A7;CD14;CTSS;CST3
GSE253006_TOF_exact	t_cell_composition	8	8	1.0	CD3D;CD3E;TRAC;CD4;CD8A;IL7R;CCR7;NKG7
GSE253006_TOF_exact	b_cell_composition	6	6	1.0	MS4A1;CD79A;CD79B;CD74;BANK1;CD19
