compartment	combo	is_ifn_stat	auc
b_plasma_like	CD74,GBP1,HLA-DRA,IRF1	0	0.85
b_plasma_like	CD74,GBP1,HLA-DRA,ISG15	0	0.85
b_plasma_like	CD74,GBP1,HLA-DRA,STAT1	0	0.85
b_plasma_like	CD74,GBP1,IRF1,ISG15	0	0.95
b_plasma_like	CD74,GBP1,IRF1,STAT1	0	0.95
b_plasma_like	CD74,GBP1,ISG15,STAT1	0	0.95
b_plasma_like	CD74,HLA-DRA,IRF1,ISG15	0	0.85
b_plasma_like	CD74,HLA-DRA,IRF1,STAT1	0	0.85
b_plasma_like	CD74,HLA-DRA,ISG15,STAT1	0	0.85
b_plasma_like	CD74,IRF1,ISG15,STAT1	0	0.95
b_plasma_like	GBP1,HLA-DRA,IRF1,ISG15	0	0.85
b_plasma_like	GBP1,HLA-DRA,IRF1,STAT1	0	0.85
b_plasma_like	GBP1,HLA-DRA,ISG15,STAT1	0	0.85
b_plasma_like	GBP1,IRF1,ISG15,STAT1	1	0.95
b_plasma_like	HLA-DRA,IRF1,ISG15,STAT1	0	0.85
epithelial_like	CD74,GBP1,HLA-DRA,IRF1	0	0.95
epithelial_like	CD74,GBP1,HLA-DRA,ISG15	0	0.95
epithelial_like	CD74,GBP1,HLA-DRA,STAT1	0	0.95
epithelial_like	CD74,GBP1,IRF1,ISG15	0	0.95
epithelial_like	CD74,GBP1,IRF1,STAT1	0	1.0
epithelial_like	CD74,GBP1,ISG15,STAT1	0	0.95
epithelial_like	CD74,HLA-DRA,IRF1,ISG15	0	0.95
epithelial_like	CD74,HLA-DRA,IRF1,STAT1	0	1.0
epithelial_like	CD74,HLA-DRA,ISG15,STAT1	0	0.95
epithelial_like	CD74,IRF1,ISG15,STAT1	0	0.95
epithelial_like	GBP1,HLA-DRA,IRF1,ISG15	0	0.95
epithelial_like	GBP1,HLA-DRA,IRF1,STAT1	0	1.0
epithelial_like	GBP1,HLA-DRA,ISG15,STAT1	0	0.9
epithelial_like	GBP1,IRF1,ISG15,STAT1	1	0.95
epithelial_like	HLA-DRA,IRF1,ISG15,STAT1	0	0.95
myeloid_apc_like	CD74,GBP1,HLA-DRA,IRF1	0	0.65
myeloid_apc_like	CD74,GBP1,HLA-DRA,ISG15	0	0.65
myeloid_apc_like	CD74,GBP1,HLA-DRA,STAT1	0	0.65
myeloid_apc_like	CD74,GBP1,IRF1,ISG15	0	0.9
myeloid_apc_like	CD74,GBP1,IRF1,STAT1	0	0.95
myeloid_apc_like	CD74,GBP1,ISG15,STAT1	0	0.85
myeloid_apc_like	CD74,HLA-DRA,IRF1,ISG15	0	0.6
myeloid_apc_like	CD74,HLA-DRA,IRF1,STAT1	0	0.65
myeloid_apc_like	CD74,HLA-DRA,ISG15,STAT1	0	0.65
myeloid_apc_like	CD74,IRF1,ISG15,STAT1	0	0.8
myeloid_apc_like	GBP1,HLA-DRA,IRF1,ISG15	0	0.8
myeloid_apc_like	GBP1,HLA-DRA,IRF1,STAT1	0	0.85
myeloid_apc_like	GBP1,HLA-DRA,ISG15,STAT1	0	0.7
myeloid_apc_like	GBP1,IRF1,ISG15,STAT1	1	0.9
myeloid_apc_like	HLA-DRA,IRF1,ISG15,STAT1	0	0.75
stromal_endothelial_like	CD74,GBP1,HLA-DRA,IRF1	0	0.65
stromal_endothelial_like	CD74,GBP1,HLA-DRA,ISG15	0	0.75
stromal_endothelial_like	CD74,GBP1,HLA-DRA,STAT1	0	0.75
stromal_endothelial_like	CD74,GBP1,IRF1,ISG15	0	0.55
stromal_endothelial_like	CD74,GBP1,IRF1,STAT1	0	0.6
stromal_endothelial_like	CD74,GBP1,ISG15,STAT1	0	0.8
stromal_endothelial_like	CD74,HLA-DRA,IRF1,ISG15	0	0.6
stromal_endothelial_like	CD74,HLA-DRA,IRF1,STAT1	0	0.6
stromal_endothelial_like	CD74,HLA-DRA,ISG15,STAT1	0	0.8
stromal_endothelial_like	CD74,IRF1,ISG15,STAT1	0	0.55
stromal_endothelial_like	GBP1,HLA-DRA,IRF1,ISG15	0	0.6
stromal_endothelial_like	GBP1,HLA-DRA,IRF1,STAT1	0	0.6
stromal_endothelial_like	GBP1,HLA-DRA,ISG15,STAT1	0	0.9
stromal_endothelial_like	GBP1,IRF1,ISG15,STAT1	1	0.55
stromal_endothelial_like	HLA-DRA,IRF1,ISG15,STAT1	0	0.55
t_cell_like	CD74,GBP1,HLA-DRA,IRF1	0	1.0
t_cell_like	CD74,GBP1,HLA-DRA,ISG15	0	0.75
t_cell_like	CD74,GBP1,HLA-DRA,STAT1	0	1.0
t_cell_like	CD74,GBP1,IRF1,ISG15	0	0.85
t_cell_like	CD74,GBP1,IRF1,STAT1	0	1.0
t_cell_like	CD74,GBP1,ISG15,STAT1	0	1.0
t_cell_like	CD74,HLA-DRA,IRF1,ISG15	0	0.9
t_cell_like	CD74,HLA-DRA,IRF1,STAT1	0	1.0
t_cell_like	CD74,HLA-DRA,ISG15,STAT1	0	0.95
t_cell_like	CD74,IRF1,ISG15,STAT1	0	0.95
t_cell_like	GBP1,HLA-DRA,IRF1,ISG15	0	0.65
t_cell_like	GBP1,HLA-DRA,IRF1,STAT1	0	0.9
t_cell_like	GBP1,HLA-DRA,ISG15,STAT1	0	0.7
t_cell_like	GBP1,IRF1,ISG15,STAT1	1	0.8
t_cell_like	HLA-DRA,IRF1,ISG15,STAT1	0	0.75
