compartment	ifn_stat_auc	combos_same_or_better	total_combos	empirical_combo_p	percentile	best_combo	best_combo_auc
b_plasma_like	0.95	5	15	0.3333333333333333	0.6666666666666666	CD74,GBP1,IRF1,ISG15	0.95
epithelial_like	0.95	14	15	0.9333333333333333	0.06666666666666667	CD74,GBP1,IRF1,STAT1	1.0
myeloid_apc_like	0.9	3	15	0.2	0.8	CD74,GBP1,IRF1,STAT1	0.95
t_cell_like	0.8	11	15	0.7333333333333333	0.26666666666666666	CD74,GBP1,HLA-DRA,IRF1	1.0
stromal_endothelial_like	0.55	15	15	1.0	0.0	GBP1,HLA-DRA,ISG15,STAT1	0.9
