module	n_genes_in_ms_signature	mean_delta_log2	min_p	n_nominal_positive_genes	n_fdr_positive_genes	genes_seen
endothelial_entry	4	-0.18501356806488567	0.2213737142984286	0	0	VCAM1,SELE,ANGPT2,ICAM1
stromal_retention_fibrosis	8	0.1520557242976115	0.0174383647823735	2	0	ITGAV,ITGB1,SERPINE1,TGFB3,TGFB2,COL1A1,PDPN,TGFB1
epithelial_chemokine_entry	4	0.7423681824033252	0.0611072952242856	0	0	CCL20,CXCL1,CXCL2,CXCL3
tls_lymphoid_niche	4	-0.6676107390326087	0.0346281449012922	0	0	LTBR,TNFSF14,LTB,CCL19
tl1a_comparator	2	-0.6288376255087749	0.050422655662573	0	0	TNFRSF25,TNFSF15
