analysis	module	n_genes_present	genes_present
ibd_crohn_myeloid	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
ibd_crohn_myeloid	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
ibd_crohn_myeloid	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
ibd_crohn_myeloid	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
ibd_crohn_myeloid	tl1a_comparator	2	TNFSF15,TNFRSF25
ibd_crohn_myeloid	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_myeloid	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_myeloid	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_myeloid	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
ibd_crohn_myeloid	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
ibd_crohn_myeloid	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_myeloid	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
ibd_crohn_myeloid	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_myeloid	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_uc_myeloid	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
ibd_uc_myeloid	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
ibd_uc_myeloid	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
ibd_uc_myeloid	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
ibd_uc_myeloid	tl1a_comparator	2	TNFSF15,TNFRSF25
ibd_uc_myeloid	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_myeloid	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_myeloid	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_myeloid	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
ibd_uc_myeloid	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
ibd_uc_myeloid	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_uc_myeloid	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
ibd_uc_myeloid	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_uc_myeloid	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_crohn_epithelial	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
ibd_crohn_epithelial	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
ibd_crohn_epithelial	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
ibd_crohn_epithelial	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
ibd_crohn_epithelial	tl1a_comparator	2	TNFSF15,TNFRSF25
ibd_crohn_epithelial	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_epithelial	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_epithelial	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
