module	source_disease_positive_count	paired_receiver_positive_count	ms_anchor_pass	direct_prior_or_comparator_block	passes_architecture_gate
endothelial_entry	2	0	False	False	False
stromal_retention_fibrosis	3	0	True	False	False
epithelial_chemokine_entry	3	0	False	True	False
tls_lymphoid_niche	1	1	False	False	False
tl1a_comparator	1	0	False	True	False
