gene	classes	local_score	orchestrator_call	broad_positive_disease_count	broad_negative_disease_count	ms_wm_delta_log2	ms_wm_p	orchestrator_expression_support_diseases	orchestrator_residual_state_support_diseases	orchestrator_priority_score	surface_delta_support_diseases	surface_residual_support_diseases	surface_confounder_dominant_diseases	surface_rank_score	geneformer_support_contexts	geneformer_strong_support_contexts	real_perturbation_alignment_call	foundation_rescue_recommendation	wave18_accessible_call	wave18_accessible_reason	opentargets_diseases_any	opentargets_diseases_score_ge_0_5	central_node_score
CD300E	tolerogenic_checkpoint	8.75	DEMOTE_LOCAL_TRIAGE	3.0	0.0	-1.516556121882542	0.131192827685522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade			0.0	0.0	0.0
BCL6	alternate_inhibitory_or_lipid_sensor_controller	6.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	-0.3881696689106366	0.2148442198867346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
BTLA	tolerogenic_checkpoint	6.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
CD24	tolerogenic_checkpoint	6.0	DEMOTE_LOCAL_TRIAGE	4.0	0.0	-0.3131457372415891	0.79096128985077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			PARK	state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5154, ClinicalTrials=1)	0.0	0.0	0.0
CISH	alternate_inhibitory_or_lipid_sensor_controller	6.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	-1.137765720030445	0.0079122846169366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
GALC	lysosomal_lipid_controller	6.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	0.1897668310526405	0.4547265367950667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
CD300LF	tolerogenic_checkpoint	4.75	DEMOTE_LOCAL_TRIAGE	1.0	0.0	-0.0991212524448474	0.7089814372180329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model			0.0	0.0	0.0
CSK	alternate_inhibitory_or_lipid_sensor_controller	4.0	DEMOTE_LOCAL_TRIAGE	2.0	0.0	-0.000363974153462	0.9987222625774989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
LILRB3	tolerogenic_checkpoint	4.0	DEMOTE_LOCAL_TRIAGE	2.0	0.0	-0.3769548589371787	0.5039530830837081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
LRRK2	lysosomal_lipid_controller	4.0	DEMOTE_LOCAL_TRIAGE	2.0	0.0	0.6195523948131534	0.1043486548165995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0
