donor_id	group	disease	marker_compartment	n_cells
Healthy1	control	normal	ambiguous	1983
Healthy1	control	normal	b_plasma_like	2626
Healthy1	control	normal	epithelial_like	8719
Healthy1	control	normal	myeloid_apc_like	2250
Healthy1	control	normal	stromal_endothelial_like	103
Healthy1	control	normal	t_cell_like	4720
Healthy2	control	normal	ambiguous	803
Healthy2	control	normal	b_plasma_like	2567
Healthy2	control	normal	epithelial_like	4165
Healthy2	control	normal	myeloid_apc_like	1771
Healthy2	control	normal	stromal_endothelial_like	371
Healthy2	control	normal	t_cell_like	1241
celiac1	case	celiac disease	ambiguous	1065
celiac1	case	celiac disease	b_plasma_like	4502
celiac1	case	celiac disease	epithelial_like	7460
celiac1	case	celiac disease	myeloid_apc_like	1709
celiac1	case	celiac disease	stromal_endothelial_like	165
celiac1	case	celiac disease	t_cell_like	1349
celiac2	case	celiac disease	ambiguous	1569
celiac2	case	celiac disease	b_plasma_like	6524
celiac2	case	celiac disease	epithelial_like	8317
celiac2	case	celiac disease	myeloid_apc_like	2835
celiac2	case	celiac disease	stromal_endothelial_like	1457
celiac2	case	celiac disease	t_cell_like	5506
celiac304	case	celiac disease	ambiguous	1509
celiac304	case	celiac disease	b_plasma_like	2833
celiac304	case	celiac disease	epithelial_like	3889
celiac304	case	celiac disease	myeloid_apc_like	844
celiac304	case	celiac disease	stromal_endothelial_like	152
celiac304	case	celiac disease	t_cell_like	8211
celiac_a2	case	celiac disease	ambiguous	1302
celiac_a2	case	celiac disease	b_plasma_like	7890
celiac_a2	case	celiac disease	epithelial_like	3338
celiac_a2	case	celiac disease	myeloid_apc_like	1652
celiac_a2	case	celiac disease	stromal_endothelial_like	478
celiac_a2	case	celiac disease	t_cell_like	7552
