gene	dataset	endpoint	comparison	n	response_coef	response_p	raw_hedges_g_response_minus_other	raw_p	model_status	response_fdr	ra_suppression_response_support	ra_restoration_response_support
LILRA5	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.518167909166403	0.025202165285343813	0.03146974512578165	0.9343792594000839	ok	0.6756379246488238	False	True
LAIR1	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.771736625287788	0.033802769003198625	0.707940238298557	0.020822011061080385	ok	0.6756379246488238	False	False
LAIR1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.5642426479009285	0.042276798171252565	0.10596800980119829	0.7504726683647255	ok	0.6756379246488238	False	True
LAIR1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.510594064377904	0.05836236368822796	0.3686328578885066	0.24802642806462893	ok	0.6756379246488238	False	False
LILRA4	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	3.8163916471489756e-16	0.0658577613930804	0.2533272125821204	0.32728688127978534	ok	0.6756379246488238	False	False
LILRA6	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	4.198030811863873e-16	0.06841001773821814	0.2533272125821204	0.32728688127978534	ok	0.6756379246488238	False	False
LILRB4	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.5219871815387118	0.08310158493870648	0.008026873689588878	0.9831590122262152	ok	0.6756379246488238	False	True
LAIR1	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.6426000752925802	0.08445474058110297	0.5708396592412462	0.11957063756436785	ok	0.6756379246488238	False	False
LILRB3	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	-0.4096845227488034	0.12357911974108786	-0.28150038157998053	0.3329695260548952	ok	0.8396876451736043	False	False
LILRA1	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.5463658617348008	0.13465651480713092	0.7213605309180433	0.052625662028969004	ok	0.8396876451736043	False	False
LILRA6	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	-0.5720470423818076	0.14790720858024672	-0.5400954319487807	0.3388006961962017	ok	0.8396876451736043	False	False
LILRA4	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	-0.5503958785538543	0.1574414334700508	-0.5400954319487807	0.3388006961962017	ok	0.8396876451736043	False	False
FCGR2B	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	-0.5060570459998043	0.18311985409143228	-0.3665493804411326	0.25952611704033823	ok	0.8409540696510261	False	False
LILRB3	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	-0.35009626392556203	0.18868185151135372	-0.016199288769381457	0.9709985648354944	ok	0.8409540696510261	False	False
CD300LF	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.4644050124787168	0.19709861007445925	0.23408572440856423	0.45200354935482734	ok	0.8409540696510261	False	False
FCGR2B	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	-0.37633045113948654	0.22564993858889895	-0.17724536122967802	0.6356274213600486	ok	0.9025997543555958	False	False
CD300LF	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.4697341428318772	0.2502205335750319	0.15210130953005566	0.5697458613508622	ok	0.9283432956640542	False	False
LILRA5	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.2601561951376296	0.26109655190551523	0.017831166407661435	0.9330360324267446	ok	0.9283432956640542	False	False
LILRA4	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	5.100087019371813e-16	0.2830335318873789	0.5400954319487807	0.3388006961962017	ok	0.9533761074101184	False	False
SIGLEC10	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.25055628155790655	0.3318829063879685	-0.042970816380754354	0.891952156522785	ok	1.0	False	False
LILRA1	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.36092280653333547	0.333948862934201	0.5651735242915517	0.011825734406713938	ok	1.0	False	False
