trial	nct_id	brief_title	status	status_verified	last_update_posted	enrollment	enrollment_type	allocation	masking	arms	comparator_type	ipd_sharing	ipd_route	primary_outcomes	source_url	api_url	date_accessed_utc	epistemic_class	not_project_grounded_marker	coverage_caveat	edss_cdp	composite_cdp	mri	nfl	chi3l1	lymphocyte	immunoglobulin	pharmacokinetics
HERCULES	NCT04411641	Nonrelapsing Secondary Progressive Multiple Sclerosis (NRSPMS) Study of Bruton's Tyrosine Kinase (BTK) Inhibitor Tolebrutinib (SAR442168) (HERCULES)	COMPLETED	2025-06	2025-07-02	1131	ACTUAL	RANDOMIZED	TRIPLE	SAR442168 | Placebo	placebo	YES	Vivli	Time to Onset of 6-Month Confirmed Disability Progression (CDP) as Assessed by Expanded Disability Status Scale (EDSS)	https://clinicaltrials.gov/study/NCT04411641	https://clinicaltrials.gov/api/v2/studies/NCT04411641	2026-08-05T23:00:14Z	external-verifiable	NOT_PROJECT_GROUNDED	Registry-listed outcome only; approved IPD/substudy package coverage unverified	primary	not_listed	secondary	secondary	secondary	not_listed	secondary	secondary
PERSEUS	NCT04458051	Primary Progressive Multiple Sclerosis (PPMS) Study of Bruton's Tyrosine Kinase (BTK) Inhibitor Tolebrutinib (SAR442168) (PERSEUS)	COMPLETED	2026-01	2026-01-07	767	ACTUAL	RANDOMIZED	TRIPLE	SAR442168 | Placebo	placebo	YES	Vivli	6-month composite Confirmed Disability Progression (cCDP)	https://clinicaltrials.gov/study/NCT04458051	https://clinicaltrials.gov/api/v2/studies/NCT04458051	2026-08-05T23:00:14Z	external-verifiable	NOT_PROJECT_GROUNDED	Registry-listed outcome only; approved IPD/substudy package coverage unverified	secondary	primary	secondary	secondary	secondary	secondary	secondary	secondary
FENtrepid	NCT04544449	A Study to Evaluate the Efficacy and Safety of Fenebrutinib Compared With Ocrelizumab in Adult Participants With Primary Progressive Multiple Sclerosis	ACTIVE_NOT_RECRUITING	2026-06	2026-06-23	985	ACTUAL	RANDOMIZED	DOUBLE	Fenebrutinib | Ocrelizumab	active	YES	Roche controlled sharing	Time to Onset of Composite 12-week Confirmed Disability Progression (cCDP12)	https://clinicaltrials.gov/study/NCT04544449	https://clinicaltrials.gov/api/v2/studies/NCT04544449	2026-08-05T23:00:14Z	external-verifiable	NOT_PROJECT_GROUNDED	Registry-listed outcome only; approved IPD/substudy package coverage unverified	secondary	primary	secondary	secondary	not_listed	not_listed	not_listed	secondary
