module	gilt_lysosomal_apc	hla_ii_apc	ifn_apc	mif_cd74_receptor_state
gilt_lysosomal_apc	0.0	0.0	0.0	0.0
hla_ii_apc	0.0	0.0	0.40529077	0.48604991
ifn_apc	0.0	0.40529077	0.0	0.30160064
mif_cd74_receptor_state	0.0	0.48604991	0.30160064	0.0
