module_a	module_b	median_supported_spearman	n_supported_modalities	supported_modalities
hla_ii_apc	ifn_apc	0.7113043478260869	2	perturbation_mixscale;treatment_pharmacodynamic
hla_ii_apc	mif_cd74_receptor_state	0.8530404378230465	4	cell_state_h5ad;perturbation_mixscale;treatment_pharmacodynamic;treatment_response_tests
ifn_apc	mif_cd74_receptor_state	0.5293233082706766	3	perturbation_mixscale;treatment_pharmacodynamic;treatment_response_tests
