analysis	disease_name	compartment	role	gene	candidate_class	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_fdr10	positive_trend	negative_trend
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CALR	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	1.018774258946049	0.6521333821482892	0.3666408767977597	2.2550807251128413	4.231407256986765	0.003927431492413765	0.13340794454193738	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CALR	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.5659370270959837	0.41609371650322036	0.14984331059276335	1.308527787715256	2.4553063290584025	0.0394423289655559	0.23393381317502118	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD274	glycan_checkpoint_surface	mean_log_norm	6.0	6.0	0.00793527507713626	0.0019443314366160644	0.005990943640520195	1.5874916783336601	2.9787509304222457	0.021471109845213304	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD274	glycan_checkpoint_surface	detection_fraction	6.0	6.0	0.009786451326371999	0.0022805087954677083	0.007505942530904291	1.5164318782255235	2.8454151475790157	0.02590861217174078	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD44	glycan_checkpoint_surface	mean_log_norm	6.0	6.0	0.2023704349089788	0.08740265545397656	0.11496777945500224	1.988691861826204	3.7315582907218747	0.010200793258424521	0.15950331276809251	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD44	glycan_checkpoint_surface	detection_fraction	6.0	6.0	0.16543888485458144	0.07105680374031903	0.09438208111426241	1.7055520091884315	3.200277962771006	0.022552336899459423	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD74	state_markers_positive_controls	mean_log_norm	6.0	6.0	1.038698399919156	0.28416070927424114	0.7545376906449148	1.617302261852663	3.034687162785283	0.013221801777364778	0.18951249214222848	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD74	state_markers_positive_controls	detection_fraction	6.0	6.0	0.5253054273220389	0.16562127961984088	0.35968414770219803	2.0201422728492724	3.7905714763503267	0.003540360352713075	0.13340794454193738	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD83	glycan_checkpoint_surface	mean_log_norm	6.0	6.0	0.025832229478912266	0.01620299983205784	0.009629229646854427	0.8231822865709061	1.5446096729174943	0.1535800355766968	0.4002388805938159	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD83	glycan_checkpoint_surface	detection_fraction	6.0	6.0	0.020999186974026668	0.014606417417798912	0.006392769556227756	0.8472471450285901	1.5897646935702947	0.1456813194717667	0.3854951838329827	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD86	glycan_checkpoint_surface	mean_log_norm	6.0	6.0	0.002670505075285665	0.0016317474290988435	0.0010387576461868215	0.23844908966420014	0.4474230998433532	0.664367203402901	0.781370768958028	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CD86	glycan_checkpoint_surface	detection_fraction	6.0	6.0	0.0015614886466763876	0.0007507823409136247	0.0008107063057627629	0.35579109056248504	0.667602266212444	0.5224384806461873	0.7068448380875625	False	False	False
