cohort	n	responders	nonresponders	auc	hedges_g	hedges_g_variance	exact_one_sided_auc_p	exact_label_assignments	direction_consistent_auc_gt_half
GSE235357	10	5	5	0.72	0.6512291126085582	0.42650620981930815	0.15476190476190477	252	True
GSE250453	10	5	5	0.6	0.15023033010758816	0.4014105720052647	0.34523809523809523	252	True
GSE253006_TOF_exact	9	5	4	0.95	1.8110591428518386	0.6842810870648026	0.015873015873015872	126	True
GSE85034_ADA	14	9	5	0.5111111111111111	0.04420897273132324	0.3111925458306927	0.5	2002	True
