gene	target_chembl_id	activity_records_nM	potency_records_relation_eq_lt_lte	unique_molecules_all	unique_molecules_potency	best_potency_nM	median_potency_nM	activity_type_counts
CTSH	CHEMBL2225	122	60	102	47	0.46	5795.5	{'IC50': 93, 'Ki': 29}
CTSS	CHEMBL2954	78	53	58	45	0.1	60.0	{'IC50': 71, 'Ki': 7}
CTSB	CHEMBL4072	152	110	93	60	0.077	810.0	{'IC50': 112, 'Ki': 40}
CTSL	CHEMBL3837	131	109	94	80	0.025	994.0	{'IC50': 113, 'Ki': 18}
CTSC	CHEMBL2252	58	51	26	19	1.0	21.27	{'IC50': 56, 'Ki': 1, 'Kd': 1}
CTSZ	CHEMBL4160	14	5	11	5	316.23	3162.28	{'IC50': 13, 'Ki': 1}
