gene	target_chembl_id	molecule_chembl_id	canonical_smiles	standard_type	standard_relation	standard_value_nM	assay_type	document_chembl_id	bao_label
CTSH	CHEMBL4160	CHEMBL371420	CC(C)N(C#N)NC(=O)O[C@@H](C)CC1CCCCC1	Ki	=	0.46	B	CHEMBL1139621	single protein format
CTSH	CHEMBL4160	CHEMBL371749	CCCC[C@H](NC(=O)O[C@@H]1C[C@H](C)C[C@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL195301	CCCC[C@H](NC(=O)OC1C[C@H](C)C[C@@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL196240	CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL195963	CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	2000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL196298	CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL193582	CCCC[C@H](NC(=O)OC1C2(C)CCC(C2)C1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL197509	CCCC[C@H](NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	5000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL196896	CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	500.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL194068	CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	>	13000.0	B	CHEMBL1143550	single protein format
CTSH	CHEMBL4160	CHEMBL96875	CCCC[C@@H](C=O)NC(=O)OC(C)(C)C	IC50	>	13000.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL426308	CCCC[C@@H](/C=N/NC(=O)N1CCc2ccccc21)NC(=O)OC1(Cc2ccccc2)CCCC1	IC50	>	13000.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL203663	CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)O[C@H](Cc1ccccc1)C(C)C	IC50	=	190.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL204605	CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)O[C@@H](C)Cc1ccccc1	IC50	=	230.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL381715	CCCC[C@@H](/C=N/NC(=O)N1CCc2ccccc21)NC(=O)OC(C)(C)C	IC50	>	13000.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL205173	CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)OC(C)(C)C	IC50	>	13000.0	B	CHEMBL1138109	single protein format
CTSH	CHEMBL4160	CHEMBL117658	CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCC1	IC50	>	13000.0	B	CHEMBL1138109	single protein format
