tissue_analysis	myeloid_analysis	dataset_path	disease_name	tissue_compartment	gene	myeloid_module	n_paired_donors	spearman_rho_all	spearman_p_all	n_case_paired_donors	spearman_rho_case	spearman_p_case	sender_tissue_delta	sender_tissue_p	sender_tissue_up_trend	sender_tissue_down_trend	all_link_positive	case_link_positive	bridge_link_positive	upregulated_bridge_link
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2A	lysosomal_apc	22	-0.42848163231753195	0.04663475972273857	9	-0.7538191051195527	0.018973168397567974	0.0022839659513471102	0.8290493945546495	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2A	inflammatory_nfkb	22	0.37529914480844484	0.08522942845663777	9	0.2945959721156873	0.4415805293135582	0.0022839659513471102	0.8290493945546495	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2A	c15_mocci_costate	22	-0.3267616012328022	0.13773442819698312	9	-0.5477225575051661	0.12687036692367107	4.240779976665296e-05	0.3434363961379137	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2A	lipid_loader_repair	6	0.6571428571428573	0.1561749271137024	3			-0.012382246056496569	0.3853589714129023	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2A	c15_mocci_costate	6	-0.6	0.208	3			-0.012382246056496569	0.3853589714129023	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2A	lipid_loader_repair	22	-0.22662991836258745	0.310480368298156	9	-0.4938814826645346	0.17660454552215987	0.0022839659513471102	0.8290493945546495	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2A	inflammatory_nfkb	22	-0.22357372715928564	0.3172250291283439	9	-0.27386127875258304	0.4757972385180242	4.240779976665296e-05	0.3434363961379137	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2A	inflammatory_nfkb	6	0.48571428571428577	0.3287230320699708	3			-0.012382246056496569	0.3853589714129023	False	False	False	False	False	False
psoriasis_keratinocyte	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	ADORA2A	lysosomal_apc	6	0.4285714285714286	0.3965014577259473	3			-0.012382246056496569	0.3853589714129023	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2A	lipid_loader_repair	6	-0.3714285714285715	0.4684781341107872	3			0.06326110774048328	0.058586108376119626	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2A	lysosomal_apc	6	0.3714285714285715	0.4684781341107872	3			0.06326110774048328	0.058586108376119626	False	False	False	False	False	False
ibd_crohn_epithelial	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	ADORA2A	inflammatory_nfkb	12	-0.2183565733705734	0.49536675951629733	6	-0.6546536707079772	0.15830242337545788	0.00011111404428961248	0.36321746764912244	False	False	False	False	False	False
psoriasis_skin_stromal	psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	ADORA2A	inflammatory_nfkb	6	-0.3142857142857143	0.5440932944606415	3			0.06326110774048328	0.058586108376119626	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2A	lysosomal_apc	22	-0.1203858530857692	0.5935859254827766	9	0.0	1.0	4.240779976665296e-05	0.3434363961379137	False	False	False	False	False	False
sjogren_gland_stromal	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	ADORA2A	lipid_loader_repair	22	-0.08598989506126371	0.7035807503529059	9	0.27386127875258304	0.4757972385180242	4.240779976665296e-05	0.3434363961379137	False	False	False	False	False	False
sjogren_gland_epithelial	sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	ADORA2A	c15_mocci_costate	22	-0.07796069191673008	0.7302080819914967	9	-0.511210657494869	0.1595531417170865	0.0022839659513471102	0.8290493945546495	False	False	False	False	False	False
