gene	bridge_link_count	bridge_link_disease_count	bridge_link_diseases	upregulated_bridge_link_count	upregulated_bridge_link_disease_count	upregulated_bridge_link_diseases	raw_up_tissue_disease_count	raw_down_tissue_disease_count	case_link_count	best_bridge_link	wave30_axis_count	best_wave30_axis	best_wave30_call	best_wave30_centrality	best_wave30_intervention_score	wave30_prior_blocking	best_wave30_gate_failures	bridge_score	wave103_call	wave103_call_priority
CALR	9	3	Crohn disease;Sjogren syndrome;ulcerative colitis	7	2	Crohn disease;ulcerative colitis	4	0	3	ibd_uc_epithelial->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.888|p_all=0.000114|rho_case=0.314|p_case=0.544|sender_delta=0.459|sender_p=0.000691	0					False		21.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
HIF1A	9	3	Crohn disease;Sjogren syndrome;ulcerative colitis	8	2	Crohn disease;ulcerative colitis	3	0	4	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.923|p_all=1.86e-05|rho_case=0.771|p_case=0.0724|sender_delta=1.12|sender_p=0.000612	0					False		21.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
STAT3	7	3	Crohn disease;Sjogren syndrome;ulcerative colitis	4	2	Crohn disease;ulcerative colitis	2	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.784|p_all=1.56e-05|rho_case=0.967|p_case=2.16e-05|sender_delta=-0.113|sender_p=0.333	1	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	20.052	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
ITGAV	9	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	4	2	Crohn disease;ulcerative colitis	2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.719|p_all=0.000164|rho_case=0.833|p_case=0.00527|sender_delta=-0.0532|sender_p=0.496	1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	False	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	20.011	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
IL1B	6	3	Crohn disease;psoriasis;ulcerative colitis	3	2	Crohn disease;ulcerative colitis	2	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.832|p_all=0.000785|rho_case=0.543|p_case=0.266|sender_delta=0.431|sender_p=0.0463	1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	19.165527637502574	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
C2	5	2	Crohn disease;ulcerative colitis	5	2	Crohn disease;ulcerative colitis	2	0	3	ibd_uc_epithelial->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.895|p_all=8.37e-05|rho_case=0.829|p_case=0.0416|sender_delta=0.786|sender_p=0.00266	0					False		17.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
CFB	5	2	Crohn disease;ulcerative colitis	5	2	Crohn disease;ulcerative colitis	4	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.86|p_all=0.000332|rho_case=0.6|p_case=0.208|sender_delta=0.406|sender_p=0.00712	0					False		17.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
CXCL1	4	2	Crohn disease;ulcerative colitis	4	2	Crohn disease;ulcerative colitis	3	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.79|p_all=0.00222|rho_case=0.771|p_case=0.0724|sender_delta=0.637|sender_p=0.0181	0					False		17.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
NAMPT	8	3	Crohn disease;Sjogren syndrome;ulcerative colitis	5	2	Crohn disease;ulcerative colitis	2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.814|p_all=4.12e-06|rho_case=0.733|p_case=0.0246|sender_delta=-0.0418|sender_p=0.647	0					False		17.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
TIMP1	6	2	Crohn disease;ulcerative colitis	6	2	Crohn disease;ulcerative colitis	4	0	1	ibd_uc_epithelial->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.72|p_all=0.00824|rho_case=-0.0857|p_case=0.872|sender_delta=1.2|sender_p=0.00662	0					False		17.0	REOPEN_FOR_WAVE104_BRIDGE_PERTURBATION_AUDIT	0
