analysis	dataset_path	disease_name	compartment	role	donor_id	disease	group	n_cells	cell_types	gene	mean_log_norm	mean_z_vs_controls	detection_fraction
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCL5	0.041696309748861696	0.12114144351762073	0.04938271604938271
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCL7	0.058071062771768274	0.058071062771768274	0.037037037037037035
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCL8	0.10114863851594133	0.35188667283065633	0.06172839506172839
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCR2	0.041993105115651165	0.24053655058542292	0.04938271604938271
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCR5	0.09209530296314636	0.5932035107043158	0.14814814814814814
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CCR6	0.04180409536652489	0.33772746542226645	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD200	0.014867319470946912	0.014867319470946912	0.012345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD200R1	0.029068713386457862	-0.11058524316144996	0.024691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD24	0.02808398852907156	0.013524810050888993	0.012345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD27	0.008345086276379829	0.008345086276379829	0.012345679012345678
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD274	0.28065278772367724	0.841748557635131	0.24691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD36	0.05897600276615754	-0.37983906987872956	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD40	0.28092363590331554	0.522383867674438	0.2962962962962963
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD40LG	0.0	0.0	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD44	2.148079255931331	0.7282170660010979	0.8148148148148148
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD70	0.012842512153997988	0.012842512153997988	0.024691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CD74	1.917137667525842	-0.10715671360765887	0.5432098765432098
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CFB	0.0	-0.03843312210120446	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CFD	0.3043501306666445	0.2905446678353977	0.2222222222222222
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CHUK	0.037275098724293354	0.049787997037109386	0.07407407407407407
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CIITA	0.4257222781318115	0.6260619793366151	0.32098765432098764
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CSF1	0.3639616178965742	-0.059924922414592956	0.1728395061728395
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CSF2	0.0	-0.0849331722035608	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CSF3	0.0	-0.038433122101204684	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL1	0.0	-0.21026445144775024	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL10	0.6270412057515656	1.390370109729823	0.24691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL11	0.24968003179071996	2.516864441170736	0.1111111111111111
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL12	0.03476210226800997	-0.2939329523316974	0.024691358024691357
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL13	0.0	0.0	0.0
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid cell	CXCL2	0.2184630345550847	-0.11396461533799855	0.13580246913580246
