dataset	n_contexts	within_dataset_spearman	mean_hla_ii_apc	mean_receptor_state
GSE106992	4	0.19999999999999998	-1.1758762333480473	-0.2235092103858815
GSE183047	3	1.0	-0.018916196235835403	-0.12061001103715725
GSE235357	2	nan	-0.45562851785889336	-1.1154532941440995
GSE24742	3	1.0	-0.4287196283084518	-0.27232558926306577
GSE250453	2	nan	-2.461162644143469	-0.9116582330782766
GSE253006	10	0.6242424242424242	-0.00946783723587464	-0.06377820587852892
