gene	resource	query_label	query	status	count	top_records	url	summary_url
GALC	NCBI gds	canonical_geo_perturbation	GALC[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	21	200280915: RBM10 Deficiency Promotes Brain Metastasis by Modulating Sphingolipid Metabolism in an Animal Model of EGFR Mutation Lung Adenocarcinoma (; ) | 200169249: RNA-sequencing and ChIP-sequencing of STAT3 in Zdhhc5 knockout oligodendrocytes (; ) | 200169248: ChIP-sequencing of STAT3 in Zdhhc5 knockout oligodendrocytes (; ) | 200169247: RNA-sequencing of Zdhhc5 knockout oligodendrocytes (; ) | 200197319: Transient gene melting governs the timing of oligodendrocyte maturation (; )	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=GALC%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=gds&id=200280915%2C200169249%2C200169248%2C200169247%2C200197319&retmode=json
GALC	NCBI pubmed	canonical_pubmed_titleabs_perturbation	GALC[Title/Abstract] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	169		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=GALC%5BTitle%2FAbstract%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=41818026%2C41814734%2C41580724%2C41476250%2C41439962&retmode=json
GALC	NCBI pubmed	canonical_pubmed_perturbseq	"GALC[All Fields] AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR ""single cell CRISPR"" OR ""pooled CRISPR"" OR ""CRISPR screen"")"	200	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=GALC%5BAll+Fields%5D+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&retmode=json&retmax=5	
GALC	Europe PMC	canonical_europepmc_titleabs_perturbation		200	234	40185098: STING mediates lysosomal quality control and recovery through its proton channel function and TFEB activation in lysosomal storage disorders. (Mol Cell; 2025) | 40069781: RBM10 deficiency promotes brain metastasis by modulating sphingolipid metabolism in a BBB model of EGFR mutant lung adenocarcinoma. (J Exp Clin Cancer Res; 2025) | 41377449: CRISPR-mediated correction of &lt;i&gt;GALC&lt;/i&gt; mutations in Krabbe disease neural models - opportunities and risks. (Ann Med Surg (Lond); 2025) | 40305757: Brain accumulation of lactosylceramide characterizes GALC deficiency in a zebrafish model of Krabbe disease. (Brain; 2025) | 42026681: In vivo adenine base editing of mutant Galc gene ameliorates Krabbe disease progression. (Genome Med; 2026)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22GALC%22+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&format=json&pageSize=5&resultType=lite	
GALC	Europe PMC	canonical_europepmc_perturbseq		200	38	36120556: Recent advances in the use of CRISPR/Cas for understanding the early development of molecular gaps in glial cells. (Front Cell Dev Biol; 2022) | PPR995465: Artemis (DCLRE1C) Acts as a Target to Enhance Radiotherapy Response in Triple-Negative Breast Cancer (PPR; 2025) | 40892926: Identification of AMOTL2 as an antiviral factor that enhances the human type I interferon response against Zika virus. (Proc Natl Acad Sci U S A; 2025) | 41154337: Artemis (DCLRE1C) Acts as a Target to Enhance Radiotherapy Response in Triple-Negative Breast Cancer. (Cancers (Basel); 2025) | 37497775: Breaking enhancers to gain insights into developmental defects. (Elife; 2023)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GALC%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&format=json&pageSize=5&resultType=lite	
CD58	NCBI gds	canonical_geo_perturbation	CD58[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	50	200308760: A versatile one-shot high-multiplex base editing strategy enables the generation of 20-plex knockout CAR T cells with enhanced anti-tumor efficacy (; ) | 200292279: DUSP6 ablation restores CAR T fitness impaired by tumor CD58 loss through invigoration of AP-1 signaling (; ) | 200230423: Sphingosine-1 phosphate receptor 1 (S1PR1) is crucial for maintaining the stem cell properties of acute myeloid leukemia stem cells (; ) | 200225235: Genome-wide CRISPR screen to identify CD58 regulators (; ) | 200202083: Genome-Wide CRISPR Screen Identifies Pharmacogenomic Determinants of Blinatumomab Resistance in Acute Lymphoblastic Leukemia (; )	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=CD58%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=gds&id=200308760%2C200292279%2C200230423%2C200225235%2C200202083&retmode=json
CD58	NCBI pubmed	canonical_pubmed_titleabs_perturbation	CD58[Title/Abstract] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	301	41844571: DUSP6 ablation restores CAR T-cell fitness impaired by tumor CD58 loss through invigoration of AP-1 signaling. (Signal Transduct Target Ther; 2026 Mar 17) | 41819524: Integrative Mendelian randomization and experimental validation unveil novel druggable targets in primary biliary cholangitis. (Eur J Pharmacol; 2026 Apr 10) | 41789068: Dysfunctional decidual CD2(+)CD4(+)T cells regulated by Rev-erbα - GFPT1 - GPI anchored CD58 axis of decidual stromal cells underlies sleep disturbance induced recurrent pregnancy loss. (Front Immunol; 2026) | 41704997: Measurable Residual Disease Assessment in B-Lymphoblastic Leukemia Using 5- and 10-Color Flow Cytometry: An Institutional Experience. (Cureus; 2026 Jan) | 41585043: Immune synapse molecules knockout in induced pluripotent stem cells enables broad NK cell resistance in T cell progeny. (Regen Ther; 2026 Mar)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=CD58%5BTitle%2FAbstract%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=41844571%2C41819524%2C41789068%2C41704997%2C41585043&retmode=json
CD58	NCBI pubmed	canonical_pubmed_perturbseq	"CD58[All Fields] AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR ""single cell CRISPR"" OR ""pooled CRISPR"" OR ""CRISPR screen"")"	200	1	38557174: Deletion of the TMEM30A gene enables leukemic cell evasion of NK cell cytotoxicity. (Proc Natl Acad Sci U S A; 2024 Apr 9)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=CD58%5BAll+Fields%5D+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=38557174&retmode=json
CD58	Europe PMC	canonical_europepmc_titleabs_perturbation		200	325	41844571: DUSP6 ablation restores CAR T-cell fitness impaired by tumor CD58 loss through invigoration of AP-1 signaling. (Signal Transduct Target Ther; 2026) | 40001116: Cancer ATF4-mediated CD58 endocytosis impairs anti-tumor immunity and immunotherapy. (J Transl Med; 2025) | 41789068: Dysfunctional decidual CD2&lt;sup&gt;+&lt;/sup&gt;CD4&lt;sup&gt;+&lt;/sup&gt;T cells regulated by Rev-erbα - GFPT1 - GPI anchored CD58 axis of decidual stromal cells underlies sleep disturbance induced recurrent pregnancy loss. (Front Immunol; 2026) | 41438981: CD58 reshapes the immunosuppressive microenvironment in gliomas through PD-L1 upregulation. (Front Oncol; 2025) | 40953922: Pancreatic cancer cells escape T/NK cell immune surveillance through the expressional separation of CD58. (J Immunother Cancer; 2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22CD58%22+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&format=json&pageSize=5&resultType=lite	
CD58	Europe PMC	canonical_europepmc_perturbseq		200	58	PPR1068517: Multiplexed Perturbation Enables Scalable Pooled Screens (PPR; 2025) | 40325913: Identification of Target Genes Using Innovative Screening Systems. (Pathol Int; 2025) | 37875911: CRISPR screening in hematology research: from bulk to single-cell level. (J Hematol Oncol; 2023) | 42078799: High-throughput screening to engineer optimal T cell therapies: current knowledge and future prospects. (Front Oncol; 2026) | 40588529: Perturbomics: CRISPR-Cas screening-based functional genomics approach for drug target discovery. (Exp Mol Med; 2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CD58%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&format=json&pageSize=5&resultType=lite	
IL7R	NCBI gds	canonical_geo_perturbation	IL7R[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	62	200280505: Leukaemia cell intrinsic and extrinsic factors cooperate to facilitate the survival and proliferation of KMT2A-rearranged B-ALL in the CNS niche. (; ) | 200289013: Graded constitutive NF-κB signaling in B cells drives SLL/CLL-like lymphomagenesis and overcomes microenvironment dependence (; ) | 200301057: Highly efficient generation of functional TCRγδ+ T cells from human embryonic stem cells (; ) | 200206459: Gene expression profile at single cell level of thymic stromal cells (; ) | 200266482: MEK inhibition prevents human skin graft rejection by promoting CD8+TCF1+ T cells over CD8 effector differentiated T cells. (; )	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=IL7R%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=gds&id=200280505%2C200289013%2C200301057%2C200206459%2C200266482&retmode=json
IL7R	NCBI pubmed	canonical_pubmed_titleabs_perturbation	IL7R[Title/Abstract] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation OR inhibition OR inhibitor OR blockade OR antagonist OR agonist)	200	533	42185247: Insulin enables acquisition of the IL7R(+) memory phenotype in PD1(+) T cells in RA tissues. (Cell Death Dis; 2026 May 25) | 42180716: RNA binding protein YWHAZ mediates specific mRNA translation and regulates cell proliferation and apoptosis in diabetic foot ulcer. (Front Med (Lausanne); 2026) | 42146336: CXCL13-CXCR5 Signaling in CD8⁺ T Cell Recruitment and Lymphoid Immune Organization in Clear Cell Renal Cell Carcinoma. (bioRxiv; 2026 May 7) | 42039710: Optimal Adjuvant Therapy Selection for Chinese BRAF V600-Mutant Stage III Melanoma: A Multicenter Efficacy Comparison of Targeted Agents, Immunotherapy, and Combinatorial Strategies. (MedComm (2020); 2026 May) | 41973040: ATF7ip inhibits the tumor immune response by promoting terminal CD8+ T cell Exhaustion. (Cancer Immunol Res; 2026 Apr 13)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=IL7R%5BTitle%2FAbstract%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=42185247%2C42180716%2C42146336%2C42039710%2C41973040&retmode=json
IL7R	NCBI pubmed	canonical_pubmed_perturbseq	"IL7R[All Fields] AND (""Perturb-seq"" OR Perturbseq OR ""single-cell CRISPR"" OR ""single cell CRISPR"" OR ""pooled CRISPR"" OR ""CRISPR screen"")"	200	1	37205457: Orthogonal CRISPR screens to identify transcriptional and epigenetic regulators of human CD8 T cell function. (bioRxiv; 2023 May 1)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=IL7R%5BAll+Fields%5D+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&retmode=json&retmax=5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=37205457&retmode=json
IL7R	Europe PMC	canonical_europepmc_titleabs_perturbation		200	402	41360767: IL7R remodels immunosuppression tumor microenvironment and promotes macrophage polarization by regulating NF-κB/CXCL1 axis in ovarian cancer. (Cell Death Dis; 2025) | 41732268: Discovery of key regulators in classical monocyte phenotypes linked to COVID-19 severity using single-cell multi-omics sequencing. (iScience; 2026) | 41609049: Overexpression of IL7R Attenuates Cerebral Ischemia-Reperfusion Injury by Inhibiting Apoptosis. (J Integr Neurosci; 2026) | 41249788: Distinct functional heterogeneity of TP53 R175 mutations in platinum-resistant ovarian cancer: unveiling molecular mechanisms and therapeutic targets. (Cell Death Dis; 2025) | 40885520: A PBX1-IL7R axis mediates liver fibrosis in non-alcoholic fatty liver disease. (Life Sci; 2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22IL7R%22+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation+OR+inhibition+OR+inhibitor+OR+blockade+OR+antagonist+OR+agonist%29&format=json&pageSize=5&resultType=lite	
IL7R	Europe PMC	canonical_europepmc_perturbseq		200	87	38813729: Single-cell CRISPR screening characterizes transcriptional deregulation in T-cell acute lymphoblastic leukemia. (Haematologica; 2024) | 39946463: KLF2 maintains lineage fidelity and suppresses CD8 T cell exhaustion during acute LCMV infection. (Science; 2025) | 41639465: Atlas-guided discovery of transcription factors for T cell programming. (Nature; 2026) | 41307784: Single-cell sequencing reveals the complexity of cutaneous T-cell lymphoma. (Discov Oncol; 2025) | 38242867: The CUL5 E3 ligase complex negatively regulates central signaling pathways in CD8&lt;sup&gt;+&lt;/sup&gt; T cells. (Nat Commun; 2024)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL7R%22+AND+%28%22Perturb-seq%22+OR+Perturbseq+OR+%22single-cell+CRISPR%22+OR+%22single+cell+CRISPR%22+OR+%22pooled+CRISPR%22+OR+%22CRISPR+screen%22%29&format=json&pageSize=5&resultType=lite	
