gene	query_term	target_chembl_id	activity_status	activity_count	activity_url
IL7R	interleukin-7 receptor	CHEMBL4804253	200	0	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4804253&limit=1
IL7R	interleukin-7 receptor	CHEMBL1959	200	14	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1959&limit=1
IL7R	interleukin-7 receptor	CHEMBL2189148	200	10	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2189148&limit=1
IL7R	interleukin-7 receptor	CHEMBL4106128	200	108	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4106128&limit=1
IL7R	interleukin-7 receptor	CHEMBL4296013	200	1119	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4296013&limit=1
IL7R	IL-7 receptor alpha	CHEMBL4804253	200	0	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4804253&limit=1
IL7R	IL-7 receptor alpha	CHEMBL3580490	200	0	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3580490&limit=1
IL7R	IL-7 receptor alpha	CHEMBL2050	200	14	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2050&limit=1
IL7R	IL-7 receptor alpha	CHEMBL4289	200	2	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4289&limit=1
IL7R	IL-7 receptor alpha	CHEMBL2364155	200	1	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364155&limit=1
CD58	LFA-3	CHEMBL3885600	200	9	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3885600&limit=1
CD58	LFA-3	CHEMBL2040	200	9	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2040&limit=1
CD58	LFA-3	CHEMBL3790	200	7	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3790&limit=1
CD58	LFA-3	CHEMBL1075188	200	31	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1075188&limit=1
CD58	LFA-3	CHEMBL1803	200	170	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1803&limit=1
IFI30	gamma-interferon-inducible lysosomal thiol reductase	CHEMBL4295911	200	54	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4295911&limit=1
IFI30	gamma-interferon-inducible lysosomal thiol reductase	CHEMBL2364171	200	0	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364171&limit=1
IFI30	gamma-interferon-inducible lysosomal thiol reductase	CHEMBL3286073	200	3	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3286073&limit=1
IFI30	gamma-interferon-inducible lysosomal thiol reductase	CHEMBL3712964	200	13	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3712964&limit=1
IFI30	gamma-interferon-inducible lysosomal thiol reductase	CHEMBL4630802	200	16	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4630802&limit=1
GALC	galactocerebrosidase	CHEMBL3713095	200	1988	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3713095&limit=1
GALC	galactocerebrosidase	CHEMBL2218	200	11	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2218&limit=1
