seed	analysis_route	n_requested	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n	median_observed_events	median_observed_dropout_fraction	conclusive_count	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	median_score_z	median_one_step_log_hr_per_observed_sd
54801	unadjusted	80	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	250	162	0.648	72.0	10.0	0.0	5	0.02	0.008572324384058198	0.045955643131568594	-0.0682567294893445	-0.01942792607321389
54801	source_treatment_stratified	80	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	250	162	0.648	72.0	10.0	0.0	7	0.028	0.013628058600839217	0.05665777612286046	0.05602809547570554	0.01552183990590424
54801	unadjusted	80	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	250	156	0.624	72.0	10.0	0.0	6	0.024	0.01104477730613677	0.051362123813526464	0.26165801233734876	0.07367688162794823
54801	source_treatment_stratified	80	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	250	156	0.624	72.0	10.0	0.0	11	0.044	0.02474379816749356	0.07705777097235189	-0.13156435853337067	-0.037194491048325756
54801	unadjusted	80	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	250	114	0.456	72.0	9.0	0.25	5	0.02	0.008572324384058198	0.045955643131568594	0.04609561956812406	0.01390053126894593
54801	source_treatment_stratified	80	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	250	114	0.456	72.0	9.0	0.25	8	0.032	0.01630236549364963	0.06186240283408649	0.1034686628417832	0.0305197263244621
54801	unadjusted	80	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	250	119	0.476	72.0	9.0	0.24305019305019304	7	0.028	0.013628058600839217	0.05665777612286046	0.2876631987579026	0.08515277033346628
54801	source_treatment_stratified	80	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	250	119	0.476	72.0	9.0	0.24305019305019304	6	0.024	0.01104477730613677	0.051362123813526464	-0.12073609517750468	-0.04135727566485682
54801	unadjusted	80	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	250	165	0.66	72.0	11.0	0.0	36	0.144	0.10586256867804505	0.19291234056271145	1.1408690117112343	0.32228705479463793
54801	source_treatment_stratified	80	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	250	165	0.66	72.0	11.0	0.0	31	0.124	0.08874849146643424	0.17063174975414006	1.0598183754208326	0.3191570936101193
54801	unadjusted	80	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	250	164	0.656	72.0	11.0	0.0	54	0.216	0.16949229589420706	0.2711034182192054	1.5142484849091757	0.44406486426640024
54801	source_treatment_stratified	80	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	250	164	0.656	72.0	11.0	0.0	28	0.112	0.07863430779240635	0.1571091326160586	1.012966852839848	0.31416521888869475
54801	unadjusted	80	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	250	135	0.54	72.0	10.0	0.24647607702997815	26	0.104	0.07196523249243102	0.14802034070796105	1.1844396860176494	0.3635124972885641
54801	source_treatment_stratified	80	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	250	135	0.54	72.0	10.0	0.24647607702997815	27	0.108	0.07529194840055528	0.15257255840387324	1.0869723113860148	0.3516089121528152
54801	unadjusted	80	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	250	122	0.488	72.0	9.0	0.25	39	0.156	0.11626576522540502	0.20614594482746082	1.5386362338053041	0.4572555751377211
