analysis_route	n_requested	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_observed_events_across_seeds	median_observed_dropout_fraction_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds
source_treatment_stratified	80	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	486	0.648	72.0	10.0	0.0	0.028	0.018385518311681247	0.04242495885736207	0.02	0.036	0.05602809547570554	0.01469647754475728
source_treatment_stratified	80	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	453	0.604	72.0	10.0	0.0	0.036	0.024857550894557396	0.0518713927631462	0.032	0.044	-0.11295803221377151	-0.03052497986263139
source_treatment_stratified	80	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	355	0.47333333333333333	72.0	9.0	0.25	0.02666666666666667	0.017327811345943734	0.04082958807498954	0.02	0.032	0.01629304519729207	0.004694830346426966
source_treatment_stratified	80	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	357	0.476	72.0	9.0	0.24647607702997815	0.02266666666666667	0.014199343378675632	0.0359988227979275	0.02	0.024	0.04146340902994956	0.013193202871008634
source_treatment_stratified	80	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	492	0.656	72.0	11.0	0.0	0.12	0.09865830025020086	0.14521454153843572	0.1	0.136	1.0598183754208326	0.3191570936101193
source_treatment_stratified	80	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	486	0.648	72.0	11.0	0.0	0.11066666666666666	0.09016805702545727	0.135133240526409	0.096	0.124	0.9513574033445742	0.3057816543175306
source_treatment_stratified	80	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	408	0.544	72.0	10.0	0.24647607702997815	0.11066666666666666	0.09016805702545727	0.135133240526409	0.108	0.116	1.0869723113860148	0.3516089121528152
source_treatment_stratified	80	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	366	0.488	72.0	9.0	0.25	0.084	0.06620534116381135	0.10603440142585396	0.068	0.108	0.9223783433764787	0.3134996442736679
source_treatment_stratified	80	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	495	0.66	72.0	11.0	0.0	0.2773333333333333	0.2464899785708037	0.31044603749481836	0.268	0.296	1.7298091431608567	0.520726237560772
source_treatment_stratified	80	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	508	0.6773333333333333	72.0	11.0	0.0	0.24133333333333334	0.21207788254502463	0.27322503432162626	0.228	0.268	1.6348278484887806	0.5310982532147972
source_treatment_stratified	80	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	370	0.49333333333333335	72.0	9.0	0.2465753424657534	0.204	0.17670283600322756	0.234313903916342	0.164	0.248	1.759439774763252	0.5298535381568545
source_treatment_stratified	80	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	364	0.48533333333333334	72.0	9.0	0.25	0.18533333333333332	0.15915253704684845	0.2147211143991804	0.176	0.192	1.635872049282137	0.5456995031946437
source_treatment_stratified	80	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	22.0	0.0	0.052	0.03826992623985369	0.07029595039517048	0.036	0.064	-0.08300381621394637	-0.016394405478238262
source_treatment_stratified	80	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	22.0	0.0	0.044	0.03149969729595624	0.06114771285040764	0.036	0.052	-0.10760176296203791	-0.02851657998003255
source_treatment_stratified	80	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	749	0.9986666666666667	72.0	19.0	0.25	0.06533333333333333	0.04976959333295865	0.08532706078316597	0.044	0.1	0.09427837001105507	0.0247658031557646
source_treatment_stratified	80	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	746	0.9946666666666667	72.0	19.0	0.25	0.04666666666666667	0.03374375637979117	0.06420980926279282	0.036	0.06	0.03606097590426223	0.010137029108122673
source_treatment_stratified	80	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	21.5	0.0	0.328	0.2953507655886458	0.36240220490515807	0.296	0.348	1.5204117337074454	0.3422990117609042
source_treatment_stratified	80	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	22.0	0.0	0.24666666666666667	0.2171584631903454	0.27875676466874566	0.212	0.308	1.2764192055376808	0.3087849247666762
source_treatment_stratified	80	0.3	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	749	0.9986666666666667	72.0	19.0	0.2465753424657534	0.32	0.2876051355063722	0.35422936849877146	0.292	0.344	1.434874273794357	0.34147702620473536
source_treatment_stratified	80	0.3	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	749	0.9986666666666667	72.0	19.0	0.2465753424657534	0.24	0.21080873629347988	0.2718411028250609	0.216	0.28	1.2278431840088304	0.3258384844805106
