n_requested	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	source_treatment_stratified	unadjusted	stratified_minus_unadjusted_probability
80	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.028	0.02266666666666667	0.005333333333333332
80	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.036	0.030666666666666665	0.005333333333333332
80	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.02666666666666667	0.025333333333333333	0.0013333333333333357
80	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.02266666666666667	0.034666666666666665	-0.011999999999999997
80	0.15	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.12	0.13733333333333334	-0.01733333333333334
80	0.15	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.11066666666666666	0.22933333333333333	-0.11866666666666667
80	0.15	1.5	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.11066666666666666	0.11066666666666666	0.0
80	0.15	1.5	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.084	0.14933333333333335	-0.06533333333333334
80	0.15	2.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.2773333333333333	0.288	-0.010666666666666658
80	0.15	2.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.24133333333333334	0.4226666666666667	-0.18133333333333335
80	0.15	2.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.204	0.212	-0.008000000000000007
80	0.15	2.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.18533333333333332	0.31066666666666665	-0.12533333333333332
80	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.052	0.04933333333333333	0.0026666666666666644
80	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.044	0.07466666666666667	-0.030666666666666675
80	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	0.06533333333333333	0.052	0.013333333333333329
80	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	0.04666666666666667	0.068	-0.021333333333333336
80	0.3	1.5	0.0	0.0	1.6	0.7	0.7	0.1	0.05	0.328	0.3333333333333333	-0.005333333333333301
80	0.3	1.5	0.0	0.8	1.6	0.7	0.7	0.1	0.05	0.24666666666666667	0.5226666666666666	-0.2759999999999999
