analysis_route	n_requested	event_probability_before_dropout	molecular_hazard_ratio_per_latent_sd	dropout_probability	assignment_strength	source_hazard_ratio	treatment_hazard_ratio	measurement_reliability	missing_rate	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_observed_events_across_seeds	median_observed_dropout_fraction_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds
source_treatment_stratified	80	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	486	0.648	72.0	10.0	0.0	0.028	0.018385518311681247	0.04242495885736207	0.02	0.036	0.05602809547570554	0.01469647754475728
source_treatment_stratified	80	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	453	0.604	72.0	10.0	0.0	0.036	0.024857550894557396	0.0518713927631462	0.032	0.044	-0.11295803221377151	-0.03052497986263139
source_treatment_stratified	80	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	355	0.47333333333333333	72.0	9.0	0.25	0.02666666666666667	0.017327811345943734	0.04082958807498954	0.02	0.032	0.01629304519729207	0.004694830346426966
source_treatment_stratified	80	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	357	0.476	72.0	9.0	0.24647607702997815	0.02266666666666667	0.014199343378675632	0.0359988227979275	0.02	0.024	0.04146340902994956	0.013193202871008634
source_treatment_stratified	80	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	22.0	0.0	0.052	0.03826992623985369	0.07029595039517048	0.036	0.064	-0.08300381621394637	-0.016394405478238262
source_treatment_stratified	80	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	72.0	22.0	0.0	0.044	0.03149969729595624	0.06114771285040764	0.036	0.052	-0.10760176296203791	-0.02851657998003255
source_treatment_stratified	80	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	749	0.9986666666666667	72.0	19.0	0.25	0.06533333333333333	0.04976959333295865	0.08532706078316597	0.044	0.1	0.09427837001105507	0.0247658031557646
source_treatment_stratified	80	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	746	0.9946666666666667	72.0	19.0	0.25	0.04666666666666667	0.03374375637979117	0.06420980926279282	0.036	0.06	0.03606097590426223	0.010137029108122673
source_treatment_stratified	120	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	721	0.9613333333333334	108.0	16.0	0.0	0.05733333333333333	0.04284097160939368	0.07633721601807068	0.048	0.076	0.03755646984187508	0.008296087426492113
source_treatment_stratified	120	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	736	0.9813333333333333	108.0	16.0	0.0	0.050666666666666665	0.03713392397865151	0.06877887490826262	0.04	0.06	0.001197852888136476	0.00033892330341451897
source_treatment_stratified	120	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	706	0.9413333333333334	108.0	14.0	0.25	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.032	0.048	0.020804668120640017	0.005632480319393285
source_treatment_stratified	120	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	694	0.9253333333333333	108.0	15.0	0.25	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.032	0.048	-0.01900621160728279	-0.005915624284400139
source_treatment_stratified	120	0.3	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	108.0	33.0	0.0	0.052	0.03826992623985369	0.07029595039517048	0.04	0.068	-0.07262335382424404	-0.012865949293723006
source_treatment_stratified	120	0.3	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	108.0	32.0	0.0	0.04933333333333333	0.036000821007074746	0.06725890013172933	0.048	0.052	0.005343888559933804	0.0011195601483087918
source_treatment_stratified	120	0.3	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	108.0	29.0	0.25	0.050666666666666665	0.03713392397865151	0.06877887490826262	0.044	0.056	0.04262106058666869	0.008240261348821807
source_treatment_stratified	120	0.3	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	108.0	29.0	0.2465693937814834	0.042666666666666665	0.030382884716889838	0.059611447681364005	0.036	0.052	0.0033237929656754995	0.0006528150925930122
source_treatment_stratified	160	0.15	1.0	0.0	0.0	1.6	0.7	0.7	0.1	0.05	750	750	1.0	145.0	22.0	0.0	0.048	0.03487072634594164	0.06573591704475239	0.04	0.052	0.01440024763776633	0.0030782222268443157
source_treatment_stratified	160	0.15	1.0	0.0	0.8	1.6	0.7	0.7	0.1	0.05	750	750	1.0	145.0	21.0	0.0	0.04533333333333334	0.03262003557583651	0.06268045231863743	0.036	0.056	-0.039410247593467354	-0.009563824482450325
source_treatment_stratified	160	0.15	1.0	0.25	0.0	1.6	0.7	0.7	0.1	0.05	750	747	0.996	144.0	19.0	0.2465753424657534	0.048	0.03487072634594164	0.06573591704475239	0.032	0.064	-0.01619183800792283	-0.005009704406154545
source_treatment_stratified	160	0.15	1.0	0.25	0.8	1.6	0.7	0.7	0.1	0.05	750	749	0.9986666666666667	144.0	19.0	0.24822695035460993	0.044	0.03149969729595624	0.06114771285040764	0.036	0.052	0.02483526403096354	0.005923662710806791
