disease_name	tested_contexts	positive_contexts	myeloid_positive_contexts	best_rho	best_p	best_fdr	disease_pass
Crohn disease	3	0	0				False
Sjogren syndrome	3	2	0	0.9905888687479248	4.394811997952035e-09	1.1865992394470494e-07	False
psoriasis	3	0	0				False
rheumatoid arthritis	1	0	0	0.46581571226656693	0.051381566658942404	0.1541446999768272	False
type 1 diabetes mellitus	5	0	0				False
ulcerative colitis	3	0	0				False
