gene	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	ms_wm_delta_log2	ms_wm_p	discovery_priority_score	central_node_priority_score	central_node_axis	central_node_positive_disease_count	central_node_negative_disease_count	disease_axis_priority_score	disease_axis_mentioned_disease_count	disease_axis_mentioned_diseases	wave19_local_score	wave19_call	local_chembl_activity_values_nM_count	local_chembl_best_standard_value_nM
ATG16L1	0.0	0.0			-0.0960188702877271	0.748415654224524	0.1764703097991287	3.529406195982574	unassigned	0.0	0.0	0	0		0.0		0	
CARD9	2.0	0.0	psoriasis;type 1 diabetes mellitus		-0.4691972101237329	0.13197995180624	9.0	0.0		0.0	0.0	0	0		0.0		0	
CLEC16A	1.0	0.0	Crohn disease		0.1097171053941039	0.5873801680223918	4.0	0.0		0.0	0.0	0	0		0.0		0	
GPR65	1.0	2.0	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	0.6241465917972195	-4.0	0.0		0.0	0.0	0	0		0.0		0	
IL10	0.0	0.0			0.5386340709389863	0.0920894843746553	2.0	0.0		0.0	0.0	0	0		0.0		0	
IL6R	0.0	2.0		psoriasis;ulcerative colitis	0.3662122714747209	0.0384363893169096	-1.0	0.0		0.0	0.0	0	0		0.0		0	
IRF5	0.0	0.0			-0.160335979633075	0.5711412387155418	0.0	0.0		0.0	0.0	0	0		0.0		0	
OSMR	1.0	0.0	psoriasis		-0.1853364301887587	0.8643590462425126	6.5	0.0		0.0	0.0	0	0		0.0		0	
PTPN2	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.0059418057306839	0.9843569990044077	18.0	0.0		0.0	0.0	0	0		0.0		0	
SH2B3	1.0	0.0	ulcerative colitis		-0.150958184932211	0.5634203150143879	4.0	0.0		0.0	0.0	0	0		0.0		0	
TNFAIP3	3.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	psoriasis	0.328353196360478	0.3606610619177491	8.0	0.0		0.0	0.0	0	0		0.0		0	
TYK2	2.0	0.0	psoriasis;type 1 diabetes mellitus		-0.0976695299908261	0.5321339034622258	8.0	0.0		0.0	0.0	0	0		4.0	DEMOTE_LOCAL_TRIAGE	0	
