disease	dataset	modality	compartment	hla_ii_apc	mif_cd74_receptor_state	source_class
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	0.4503735094246705	0.4783751733076208	reused_direct_h5ad
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	0.1090355372346904	0.1887295411445655	reused_direct_h5ad
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	0.6931345213347653	0.7164278365991426	additional_atlas
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	1.698558975446072	1.7902925785741668	additional_atlas
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	0.0528030148358123	0.0992238226129082	reused_direct_h5ad
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	0.2036768517163498	0.2069560003041781	reused_direct_h5ad
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	0.4676104408018866	0.4588787263388331	additional_atlas
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	0.5196932069471483	0.4731839531570336	additional_atlas
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	0.0952933379540874	0.1633470977365826	additional_atlas
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	0.1014945494060883	0.0811486473462826	additional_atlas
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	0.1189710281839624	0.0807603715395715	additional_atlas
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	0.3658192373547676	0.385680484148362	reused_direct_h5ad
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	0.2687575984952437	0.0879500765288029	reused_direct_h5ad
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	-0.0677871166801269	-0.0450643548870716	reused_direct_h5ad
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	0.0919654525127152	0.0812568330810173	reused_direct_h5ad
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	0.4516314833111438	0.5042026549942139	reused_direct_h5ad
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	0.2235528871445532	0.1720618892473699	reused_direct_h5ad
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	0.3812501418830969	0.4394729298112865	reused_direct_h5ad
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	0.1453383370787183	0.2908169398201553	reused_direct_h5ad
