seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	cluster_arrivals	bonferroni_ever_crossing	cluster_e_ever_crossing	cluster_e_final_q90	cluster_e_maximum_q95	cluster_e_minus_bonferroni_crossing
57161	2	0.25	1.0	50000	6	0.00472	0.00522	1.2910408513939124	3.9856708455608922	0.0004999999999999996
57161	2	0.25	0.5	50000	6	0.38234	0.41364	746.2318926754704	5883.695433551879	0.031299999999999994
57161	2	0.25	0.25	50000	6	0.95192	0.96044	34877248115.562515	2180899984034.0002	0.008519999999999972
57161	2	0.5	1.0	50000	6	0.00478	0.00598	1.2813637558741215	4.088690097742502	0.0011999999999999997
57161	2	0.5	0.5	50000	6	0.33924	0.38288	539.6860349637726	4666.181591374966	0.04364000000000001
57161	2	0.5	0.25	50000	6	0.9243	0.9385	9935344195.848637	526427501388.24475	0.01419999999999999
57161	2	0.75	1.0	50000	6	0.00426	0.00644	1.2818399680792592	4.202948747534725	0.0021800000000000005
57161	2	0.75	0.5	50000	6	0.27744	0.3421	320.2514374934165	2678.1311294784105	0.06466
57161	2	0.75	0.25	50000	6	0.8765	0.9025	2268449444.495571	144273097298.46878	0.026000000000000023
57161	3	0.25	1.0	50000	4	0.00446	0.00404	1.409085169898367	3.3011291287335056	-0.00042000000000000023
57161	3	0.25	0.5	50000	4	0.3108	0.32806	275.0541976986915	1524.8189065383172	0.017259999999999998
57161	3	0.25	0.25	50000	4	0.91068	0.92076	440233796.2871576	13026032999.43344	0.010079999999999978
57161	3	0.5	1.0	50000	4	0.00328	0.00392	1.4155800079201637	3.5094336078748687	0.0006399999999999999
57161	3	0.5	0.5	50000	4	0.25756	0.28726	180.55774624397108	1066.6113777776904	0.029700000000000004
57161	3	0.5	0.25	50000	4	0.85164	0.8692	121202108.49702571	3906825279.077389	0.01756000000000002
57161	3	0.75	1.0	50000	4	0.00246	0.00456	1.382545822397367	3.5392319330427595	0.0021
57161	3	0.75	0.5	50000	4	0.19138	0.23968	101.35162704914177	613.9317333476182	0.04830000000000001
57161	3	0.75	0.25	50000	4	0.76046	0.79672	17322462.813388813	556971941.8410012	0.03625999999999996
57161	4	0.25	1.0	50000	3	0.00356	0.00266	1.4674011948338181	2.8695687738208497	-0.0008999999999999998
57161	4	0.25	0.5	50000	3	0.25806	0.2586	128.87632078646192	591.3254202162217	0.0005399999999999849
57161	4	0.25	0.25	50000	3	0.86568	0.87306	25222052.93535009	620751660.528776	0.007379999999999942
