axis	placement	grade	n
axis_01_ifn_apc	far	provisional	1
axis_01_ifn_apc	far	supported	1
axis_01_ifn_apc	intermediate	supported	1
axis_01_ifn_apc	near	robust	2
axis_01_ifn_apc	near	supported	4
axis_01_ifn_apc	unresolved	provisional	3
axis_04_lipid_lysosomal	far	provisional	2
axis_04_lipid_lysosomal	far	supported	1
axis_04_lipid_lysosomal	intermediate	provisional	3
axis_04_lipid_lysosomal	near	provisional	2
axis_04_lipid_lysosomal	near	supported	1
axis_04_lipid_lysosomal	unresolved	provisional	3
axis_07_treatment_response	contradictory	supported	1
axis_07_treatment_response	far	supported	1
axis_07_treatment_response	near	supported	1
axis_07_treatment_response	unresolved	provisional	9
